pool_address,coverage_arrays,notional_usd,token_in,token_out,amount_in_raw,quote_attempted,quote_success,amount_out_raw,price_impact,fee,bins_crossed,coverage_sufficient,confidence,invalid_reason,latency_ms
5BKxfWMbmYBAEWvyPZS9esPducUba9GqyMjtLCfbaqyF,12,10U,Y,X,10000000,true,false,,,,,no,0,Insufficient liquidity in binArrays for swapQuote,180
5BKxfWMbmYBAEWvyPZS9esPducUba9GqyMjtLCfbaqyF,12,20U,Y,X,20000000,true,false,,,,,no,0,Insufficient liquidity in binArrays for swapQuote,376
5BKxfWMbmYBAEWvyPZS9esPducUba9GqyMjtLCfbaqyF,15,10U,Y,X,10000000,true,false,,,,,no,0,Insufficient liquidity in binArrays for swapQuote,350
5BKxfWMbmYBAEWvyPZS9esPducUba9GqyMjtLCfbaqyF,15,20U,Y,X,20000000,true,false,,,,,no,0,Insufficient liquidity in binArrays for swapQuote,51
