window,retained_sample_count,baseline_p10,baseline_p5,baseline_p1,filtered_p10,filtered_p5,filtered_p1,tail_improvement_p10,tail_improvement_p5,tail_improvement_p1,opportunity_retention_rate,false_quarantine_rate,missed_profit_rate,verdict
recent_24h,302,-0.184230833029789,-0.557454300847024,-2.63606842930328,-0.18053890953471,-0.555802612463727,-2.61380929072371,0.0036919234950789914,0.0016516883832969897,0.02225913857957007,0.9565217391304348,0.03164556962025317,0.001238701574293516,PASS
recent_48h,336,-0.648375501525092,-0.864863363897764,-1.75913868220465,-0.442025630949097,-0.783588087075274,-1.39350905763138,0.20634987057599502,0.08127527682248992,0.36562962457327,0.8918918918918919,0.08333333333333333,0.0422736964441905,PASS
recent_72h,287,-0.564794633898852,-2.7790014233184,-11.2625424398271,-0.258602963900683,-0.565627975916071,-2.7790014233184,0.306191669998169,2.213373447402329,8.4835410165087,0.7938931297709924,0.140625,0.2516057705284425,WARN
recent_7d,1159,-0.627554591031942,-1.3662139976873,-4.71815592772652,-0.257564887326133,-1.01662568592542,-3.80135275674046,0.369989703705809,0.3495883117618801,0.9168031709860598,0.6489283074648928,0.25745257452574527,0.1391275432333197,WARN
