horizon,retained_sample_count,baseline_p10,baseline_p5,baseline_p1,filtered_p10,filtered_p5,filtered_p1,tail_improvement_p10,tail_improvement_p5,tail_improvement_p1,opportunity_retention_rate,false_quarantine_rate,missed_profit_rate,verdict
15m,287,-0.0756753163372644,-0.985759106615996,-11.1884097801967,-0.0360172239678468,-0.172733747182063,-0.571951942896834,0.03965809236941761,0.813025359433933,10.616457837299865,0.7766323024054983,0.16927083333333334,0.27994299782754956,WARN
30m,287,-0.258671591822368,-1.29898534176133,-11.1804485622206,-0.139563144390262,-0.31684503582688,-0.984854590327505,0.119108447432106,0.98214030593445,10.195593971893095,0.7765567765567766,0.15885416666666666,0.19262151158593593,PASS
1h,287,-0.36456482387396,-2.44506947025506,-11.1500794635119,-0.184323028960673,-0.393367440454724,-2.437593026413,0.18024179491328698,2.051702029800336,8.712486437098901,0.8007518796992481,0.13802083333333334,0.18826943164363638,PASS
2h,287,-0.564794633898852,-2.7790014233184,-11.2625424398271,-0.258602963900683,-0.565627975916071,-2.7790014233184,0.306191669998169,2.213373447402329,8.4835410165087,0.7938931297709924,0.140625,0.2516057705284425,WARN
