threshold_set,remaining_pool_count,research_candidate_count,shadow_only_count,watch_count,reject_count,which_pools_pass,which_pools_fail,main_blockers,can_run_counterfactual_under_this_filter
strict_current,6,0,0,0,6,,0x7cb770d0513c30e0cb45e4899e4a2cbeed6f9830;0xe47f7dba68a00dc1a6f11458bcdfca810e1cfebf;0xc9034c3e7f58003e6ae0c8438e7c8f4598d5acaa;0x82dbe18346a8656dbb5e76f74bf3ae279cc16b29;0x3c4384f3664b37a3cb5a5cb3452b4b4a3aa1256f;0xdc5a40b5be693afb1864c558da73e7d51b70579e53689cb3a41f85e6cdd6a7f6,holder_concentration,no
moderate_research,6,0,0,0,6,,0x7cb770d0513c30e0cb45e4899e4a2cbeed6f9830;0xe47f7dba68a00dc1a6f11458bcdfca810e1cfebf;0xc9034c3e7f58003e6ae0c8438e7c8f4598d5acaa;0x82dbe18346a8656dbb5e76f74bf3ae279cc16b29;0x3c4384f3664b37a3cb5a5cb3452b4b4a3aa1256f;0xdc5a40b5be693afb1864c558da73e7d51b70579e53689cb3a41f85e6cdd6a7f6,holder_concentration,no
data_ready_watch,6,0,0,1,5,0xe47f7dba68a00dc1a6f11458bcdfca810e1cfebf,0x7cb770d0513c30e0cb45e4899e4a2cbeed6f9830;0xc9034c3e7f58003e6ae0c8438e7c8f4598d5acaa;0x82dbe18346a8656dbb5e76f74bf3ae279cc16b29;0x3c4384f3664b37a3cb5a5cb3452b4b4a3aa1256f;0xdc5a40b5be693afb1864c558da73e7d51b70579e53689cb3a41f85e6cdd6a7f6,trader_or_stability_missing,no
no_holder_relaxation,6,0,0,0,6,,0x7cb770d0513c30e0cb45e4899e4a2cbeed6f9830;0xe47f7dba68a00dc1a6f11458bcdfca810e1cfebf;0xc9034c3e7f58003e6ae0c8438e7c8f4598d5acaa;0x82dbe18346a8656dbb5e76f74bf3ae279cc16b29;0x3c4384f3664b37a3cb5a5cb3452b4b4a3aa1256f;0xdc5a40b5be693afb1864c558da73e7d51b70579e53689cb3a41f85e6cdd6a7f6,holder_concentration,no
no_trader_relaxation,6,0,0,0,6,,0x7cb770d0513c30e0cb45e4899e4a2cbeed6f9830;0xe47f7dba68a00dc1a6f11458bcdfca810e1cfebf;0xc9034c3e7f58003e6ae0c8438e7c8f4598d5acaa;0x82dbe18346a8656dbb5e76f74bf3ae279cc16b29;0x3c4384f3664b37a3cb5a5cb3452b4b4a3aa1256f;0xdc5a40b5be693afb1864c558da73e7d51b70579e53689cb3a41f85e6cdd6a7f6,holder_concentration,no
exit_depth_strict,6,0,0,0,6,,0x7cb770d0513c30e0cb45e4899e4a2cbeed6f9830;0xe47f7dba68a00dc1a6f11458bcdfca810e1cfebf;0xc9034c3e7f58003e6ae0c8438e7c8f4598d5acaa;0x82dbe18346a8656dbb5e76f74bf3ae279cc16b29;0x3c4384f3664b37a3cb5a5cb3452b4b4a3aa1256f;0xdc5a40b5be693afb1864c558da73e7d51b70579e53689cb3a41f85e6cdd6a7f6,holder_concentration,no
