variant_name,window,horizon,proof_unit_type,capacity_usd,sample_count,retained_sample_count,invalid_count,baseline_p10,baseline_p5,baseline_p1,filtered_median,filtered_p10,filtered_p5,filtered_p1,tail_improvement_p10,tail_improvement_p5,tail_improvement_p1,tail_improved,opportunity_retention_rate,false_filter_rate,missed_profit_rate,fee_minus_exit_cost_median,fee_minus_exit_cost_p10,worst_pool_contribution,sample_sufficiency
baseline_hold_all,recent_24h,15m,pool_window,10,320,312,8,-0.00309310876784736,-0.0192076183236021,-0.600864409020093,0.00451543375940374,-0.00309310876784736,-0.0192076183236021,-0.600864409020093,0.0,0.0,0.0,False,1.0,0.0,0.0,-0.07443534999002728,-0.08355887473677012,0.6353261033099746,USABLE
baseline_hold_all,recent_24h,15m,pool_window,20,320,312,8,-0.00309310876784736,-0.0192076183236021,-0.600864409020093,0.00451543375940374,-0.00309310876784736,-0.0192076183236021,-0.600864409020093,0.0,0.0,0.0,False,1.0,0.0,0.0,-0.22171136873785233,-0.2547097099536495,0.6353261033099746,USABLE
baseline_hold_all,recent_24h,15m,pool_window,50,320,312,8,-0.00309310876784736,-0.0192076183236021,-0.600864409020093,0.00451543375940374,-0.00309310876784736,-0.0192076183236021,-0.600864409020093,0.0,0.0,0.0,False,1.0,0.0,0.0,-1.1306830195544904,-1.3145940031848748,0.6353261033099746,USABLE
baseline_hold_all,recent_24h,30m,pool_window,10,320,308,12,-0.0152968593407819,-0.107298777115507,-2.62224011178802,0.00902275861796034,-0.0152968593407819,-0.107298777115507,-2.62224011178802,0.0,0.0,0.0,False,1.0,0.0,0.0,-0.07397028200643095,-0.08642272893534649,0.6624238310375402,USABLE
baseline_hold_all,recent_24h,30m,pool_window,20,320,308,12,-0.0152968593407819,-0.107298777115507,-2.62224011178802,0.00902275861796034,-0.0152968593407819,-0.107298777115507,-2.62224011178802,0.0,0.0,0.0,False,1.0,0.0,0.0,-0.22078123277065967,-0.26603395710520583,0.6624238310375402,USABLE
baseline_hold_all,recent_24h,30m,pool_window,50,320,308,12,-0.0152968593407819,-0.107298777115507,-2.62224011178802,0.00902275861796034,-0.0152968593407819,-0.107298777115507,-2.62224011178802,0.0,0.0,0.0,False,1.0,0.0,0.0,-1.1283576796365087,-1.3813808250002904,0.6624238310375402,USABLE
baseline_hold_all,recent_24h,1h,pool_window,10,320,300,20,-0.0379185663199207,-0.204437906272458,-2.66009070509995,0.0165572549726266,-0.0379185663199207,-0.204437906272458,-2.66009070509995,0.0,0.0,0.0,False,1.0,0.0,0.0,-0.0730401460392383,-0.08522764584912243,0.6973486450361421,USABLE
baseline_hold_all,recent_24h,1h,pool_window,20,320,300,20,-0.0379185663199207,-0.204437906272458,-2.66009070509995,0.0165572549726266,-0.0379185663199207,-0.204437906272458,-2.66009070509995,0.0,0.0,0.0,False,1.0,0.0,0.0,-0.21892096083627435,-0.26364379093275775,0.6973486450361421,USABLE
baseline_hold_all,recent_24h,1h,pool_window,50,320,300,20,-0.0379185663199207,-0.204437906272458,-2.66009070509995,0.0165572549726266,-0.0379185663199207,-0.204437906272458,-2.66009070509995,0.0,0.0,0.0,False,1.0,0.0,0.0,-1.1237069998005453,-1.3754054095691701,0.6973486450361421,USABLE
baseline_hold_all,recent_24h,2h,pool_window,10,320,284,36,-0.179036996105911,-0.555802612463727,-2.63859340709767,0.0162940403662876,-0.179036996105911,-0.555802612463727,-2.63859340709767,0.0,0.0,0.0,False,1.0,0.0,0.0,-0.07117987410485296,-0.0828374796766743,0.7352484407865673,PRELIMINARY
baseline_hold_all,recent_24h,2h,pool_window,20,320,284,36,-0.179036996105911,-0.555802612463727,-2.63859340709767,0.0162940403662876,-0.179036996105911,-0.555802612463727,-2.63859340709767,0.0,0.0,0.0,False,1.0,0.0,0.0,-0.2152004169675037,-0.25886345858786153,0.7352484407865673,PRELIMINARY
baseline_hold_all,recent_24h,2h,pool_window,50,320,284,36,-0.179036996105911,-0.555802612463727,-2.63859340709767,0.0162940403662876,-0.179036996105911,-0.555802612463727,-2.63859340709767,0.0,0.0,0.0,False,1.0,0.0,0.0,-1.1144056401286189,-1.3634545787069294,0.7352484407865673,PRELIMINARY
baseline_hold_all,recent_48h,15m,pool_window,10,384,384,0,-0.000734622366618248,-0.461600703701914,-1.27354731296865,0.00599491192197387,-0.000734622366618248,-0.461600703701914,-1.27354731296865,0.0,0.0,0.0,False,1.0,0.0,0.0,-0.08107540224154104,-0.10160942608359505,0.501480070568068,USABLE
baseline_hold_all,recent_48h,15m,pool_window,20,384,384,0,-0.000734622366618248,-0.461600703701914,-1.27354731296865,0.00599491192197387,-0.000734622366618248,-0.461600703701914,-1.27354731296865,0.0,0.0,0.0,False,1.0,0.0,0.0,-0.24572739012856948,-0.31999570125837035,0.501480070568068,USABLE
baseline_hold_all,recent_48h,15m,pool_window,50,384,384,0,-0.000734622366618248,-0.461600703701914,-1.27354731296865,0.00599491192197387,-0.000734622366618248,-0.461600703701914,-1.27354731296865,0.0,0.0,0.0,False,1.0,0.0,0.0,-1.2645325016341498,-1.6784550906477897,0.501480070568068,USABLE
