capacity_usd,best_variant_name,best_window,best_horizon,tail_improvement_p10,tail_improvement_p5,tail_improvement_p1,opportunity_retention_rate,fee_minus_exit_cost_median,status
10,exit_depth_min_20usd,recent_7d,2h,0.6136355995844137,1.3417539761886572,4.697793198926697,0.09586056644880174,-0.03019162661271542,WARN
20,exit_depth_min_20usd,recent_7d,2h,0.6136355995844137,1.3417539761886572,4.697793198926697,0.09586056644880174,-0.06169366980043904,WARN
50,exit_depth_min_20usd,recent_7d,2h,0.6136355995844137,1.3417539761886572,4.697793198926697,0.09586056644880174,-0.23886828845427902,WARN
