horizon,completed_count,position_count,invalid_count,future_position_mark_coverage,p10_net_pnl_pct,p5_net_pnl_pct,p1_net_pnl_pct,top20_vs_bottom20_signal,worst_position_contribution,worst_pool_contribution,sample_sufficiency
6h,40,69,29,0.6231884057971014,0.021267795342581053,5.3928536516423264e-05,-3.7968926830533434,better,1.0,1.0,EARLY
12h,39,69,30,0.5942028985507246,-7.496623900508085,-7.732506535753577,-8.218048987367093,worse,0.13371648146681134,0.8418515280102861,EARLY
24h,8,69,61,0.13043478260869565,0.007943368776594184,0.007943368776594184,0.007943368776594184,worse,,,INSUFFICIENT
