window,horizon,proof_unit_type,sample_count,valid_count,invalid_count,hold_median,hold_p10,hold_p5,hold_p1,hold_win_rate,risk_median,risk_p10,risk_p5,risk_p1,risk_win_rate,no_entry_quarantine_count,opportunity_count,loss_saved_median,loss_saved_p10,tail_improvement_p10,tail_improvement_p5,tail_improvement_p1,false_exit_rate,missed_profit_rate,fee_proxy_median,exit_cost_proxy_median,fee_proxy_vs_exit_cost_median,worst_pool_contribution,worst_event_contribution
recent_168h,15m,intent_window,1353,1352,1,0.13378267884151,0.000614608180157461,8.438164039148432e-05,-0.027453406510744568,0.9548816568047337,0.13378267884151,0.000614608180157461,8.438164039148432e-05,-0.027453406510744568,0.9548816568047337,1,1291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00637855922813388,1.2255734926824393,-1.2149425188003307,0.4699847335184225,1.0000000000000002
recent_168h,15m,pool_window,1824,1819,5,0.004878477499253948,-0.01591348329244936,-0.4550626817902124,-2.7261266374404474,0.822429906542056,0.004877925358941471,-0.01591348329244936,-0.4550626817902124,-2.7261266374404474,0.822429906542056,5,1496,0.0,0.0,0.0,0.0,0.0,0.0005497526113249038,0.002748763056624519,0.005109847134795725,1.116073643623593,-1.1135324996341107,0.4159616590832253,0.9973791379734933
recent_168h,1h,intent_window,1353,1349,4,0.13859746420694136,0.000614608180157461,7.567990424206528e-05,-2.4886554509406693,0.9525574499629355,0.13656142729372506,0.0004878284060083615,6.777431153182079e-05,-2.4886554509406693,0.9503335804299481,4,1285,0.0,0.0,-0.00012677977414909947,-7.905592710244491e-06,0.0,0.0037064492216456633,0.02001482579688658,0.02551423691253552,1.2255734926824393,-1.187043843293453,0.3626012150678496,1.0
recent_168h,1h,pool_window,1824,1816,8,0.014527440044553025,-0.2876195492331995,-1.0842217114837083,-4.411856472848699,0.7736784140969163,0.014358165966471824,-0.2703461785217567,-1.0698713125199788,-4.411856472848699,0.7758810572687225,8,1410,0.0,0.0,0.017273370711442804,0.014350398963729472,0.0,0.003854625550660793,0.019823788546255508,0.02048668651669257,1.1201770728890958,-1.1005643242066383,0.4814189674310781,0.955539962855056
recent_168h,2h,intent_window,1353,1345,8,0.14752963218219292,0.00047140650588062277,6.783722233194567e-05,-2.5136849387649587,0.950185873605948,0.14333194109840974,0.00044853381430698386,-0.0014660903678418435,-2.5136849387649587,0.9449814126394052,8,1278,0.0,0.0,-2.2872691573638912e-05,-0.0015339275901737892,0.0,0.0037174721189591076,0.03717472118959108,0.05141945402658274,1.2255734926824393,-1.1445806199876931,0.5176297627097206,1.0
recent_168h,2h,pool_window,1824,1809,15,0.02183489579319756,-0.6369160414961897,-1.4474096615240735,-4.718155927726522,0.7280265339966833,0.0212388306601948,-0.6151129948775202,-1.3307371381393067,-4.718155927726522,0.732448866777225,15,1326,0.0,0.0,0.021803046618669497,0.11667252338476675,0.0,0.004975124378109453,0.037589828634604756,0.04183848385271147,1.1308639149818946,-1.0860982547184144,0.4454332961841393,0.9383666256319447
recent_168h,30m,intent_window,1353,1351,2,0.13514280307259696,0.0014596921414948838,7.567990424206528e-05,-0.027453406510744568,0.9533678756476683,0.13392910737113653,0.0012012002007395495,7.212293772340672e-05,-0.027453406510744568,0.9526276831976314,2,1288,0.0,0.0,-0.0002584919407553343,-3.5569665186585553e-06,0.0,0.0022205773501110288,0.006661732050333087,0.01275711845626776,1.2255734926824393,-1.2043115449182218,0.4210980243997645,1.0
recent_168h,30m,pool_window,1824,1818,6,0.00872324444291709,-0.09968294852319409,-0.8000885374580311,-3.439328855554037,0.8047304730473047,0.008772429530292971,-0.09920277830471375,-0.7857358565492565,-3.439328855554037,0.8052805280528053,6,1464,0.0,0.0,0.0004801702184803469,0.014352680908774618,0.0,0.0033003300330033004,0.00935093509350935,0.01021969426959145,1.116073643623593,-1.1101260504607005,0.41110783666001355,0.9916056037302404
recent_24h,15m,intent_window,388,384,4,0.18309023949468609,0.009343176069677384,0.004022389305745833,0.0004093334822101724,0.9973958333333334,0.18309023949468609,0.009343176069677384,0.004022389305745833,0.0004093334822101724,0.9973958333333334,4,383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00457004308099496,1.1673999774883241,-1.1573749777228208,1.0,1.0
recent_24h,15m,pool_window,388,380,8,0.00457054319179707,-0.0030931087678473645,-0.0216923091204912,-0.6008644090200929,0.8657894736842106,0.00457054319179707,-0.0030931087678473645,-0.0216923091204912,-0.6008644090200929,0.8657894736842106,8,329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004596942835020247,1.1755703447183992,-1.1655912090958405,0.5382258781047106,1.0000000000000002
