pool_address,owner,owner_is_meteora_dlmm,data_len,verified,duplicate,selected_for_sdk_decode,invalid_reason
4vQaxcqAyJFcHXZg8o8XhmibJAwSW3CWDgfuRJUoE7wr,LBUZKhRxPF3XUpBCjp4YzTKgLccjZhTSDM9YuVaPwxo,True,904,True,False,True,
5rCf1DM8LjKTw4YqhnoLcngyZYeNnQqztScTogYHAS6,LBUZKhRxPF3XUpBCjp4YzTKgLccjZhTSDM9YuVaPwxo,True,904,True,False,True,
6oQ9wVex4mKZti2GsGCfD8FWTMMC9PLQkztRU5cd6MK8,LBUZKhRxPF3XUpBCjp4YzTKgLccjZhTSDM9YuVaPwxo,True,904,True,False,True,
6F4rVnmVc1A2QDqpHn5cpQZfXugapFbGZTXEyaakpvVQ,LBUZKhRxPF3XUpBCjp4YzTKgLccjZhTSDM9YuVaPwxo,True,904,True,False,True,
ANCx141SujgVdbKz9NTEH8F38qWsnyyXsVju64aU3qLB,LBUZKhRxPF3XUpBCjp4YzTKgLccjZhTSDM9YuVaPwxo,True,904,True,False,True,
7tSbDdxxUPMiJmVQ7o1ufynyodQ6SQetEoxYWPEjuAec,LBUZKhRxPF3XUpBCjp4YzTKgLccjZhTSDM9YuVaPwxo,True,904,True,False,True,
9SMp4yLKGtW9TnLimfVPkDARsyNSfJw43WMke4r7KoZj,LBUZKhRxPF3XUpBCjp4YzTKgLccjZhTSDM9YuVaPwxo,True,904,True,False,True,
F2BstVuVWqBntH439tz7UXRHDwfCUFsrDzniZ2qjKLRT,LBUZKhRxPF3XUpBCjp4YzTKgLccjZhTSDM9YuVaPwxo,True,904,True,False,True,
9ToMYnmEeYKc1AWYAFo8yjPKM1bt3vPhgw1U6qh9RxBd,LBUZKhRxPF3XUpBCjp4YzTKgLccjZhTSDM9YuVaPwxo,True,904,True,False,True,
81GpCm4d13y8TozYtThabuSCLQN2o3bbrvDogXFPn8sA,LBUZKhRxPF3XUpBCjp4YzTKgLccjZhTSDM9YuVaPwxo,True,904,True,False,True,
BGm1tav58oGcsQJehL9WXBFXF7D27vZsKefj4xJKD5Y,LBUZKhRxPF3XUpBCjp4YzTKgLccjZhTSDM9YuVaPwxo,True,904,True,False,True,
5hbf9JP8k5zdrZp9pokPypFQoBse5mGCmW6nqodurGcd,LBUZKhRxPF3XUpBCjp4YzTKgLccjZhTSDM9YuVaPwxo,True,904,True,False,True,
HDhWhQCBrSh9xNWmNtsTi86eWj3yCoEiaRodjgNydo1b,LBUZKhRxPF3XUpBCjp4YzTKgLccjZhTSDM9YuVaPwxo,True,904,True,False,True,
3C5YE97HADPDxZehYq9Cis8AXr9aNyrUsczKzE1nDbW9,LBUZKhRxPF3XUpBCjp4YzTKgLccjZhTSDM9YuVaPwxo,True,904,True,False,True,
7ubS3GccjhQY99AYNKXjNJqnXjaokEdfdV915xnCb96r,LBUZKhRxPF3XUpBCjp4YzTKgLccjZhTSDM9YuVaPwxo,True,904,True,False,True,
HTvjzsfX3yU6BUodCjZ5vZkUrAxMDTrBs3CJaq43ashR,LBUZKhRxPF3XUpBCjp4YzTKgLccjZhTSDM9YuVaPwxo,True,904,True,False,True,
FhdW3Y6Ea6hXKbkGkt5YSAVtDNd5qJ8USevMaPyEr45S,LBUZKhRxPF3XUpBCjp4YzTKgLccjZhTSDM9YuVaPwxo,True,904,True,False,True,
Hz1EtXTGaFEtAWRgRNpDMFV6vnSZtQUY9UqmdM6vfKSS,LBUZKhRxPF3XUpBCjp4YzTKgLccjZhTSDM9YuVaPwxo,True,904,True,False,True,
8ztFxjFPfVUtEf4SLSapcFj8GW2dxyUA9no2bLPq7H7V,LBUZKhRxPF3XUpBCjp4YzTKgLccjZhTSDM9YuVaPwxo,True,904,True,False,True,
GeUkx21Vc6yg63YZ1BdXY95ZATm9LeBYCgSN1uJ3o18S,LBUZKhRxPF3XUpBCjp4YzTKgLccjZhTSDM9YuVaPwxo,True,904,True,False,True,
6qz7THwQvcjF3HyDGLuKaLBUk6EyJKeZXZMWLAeiwfjd,LBUZKhRxPF3XUpBCjp4YzTKgLccjZhTSDM9YuVaPwxo,True,904,True,False,True,
CnK82s8exdsK9nwqQ55kd9wcxoA22NwTchZJCBdu8LDa,LBUZKhRxPF3XUpBCjp4YzTKgLccjZhTSDM9YuVaPwxo,True,904,True,False,True,
