pool,pool_name,size_usd,range_pct,hold_hours,rebal_rule,hedge_strategy,hedge_ratio_used,dynamic_hedge_avg,events_total,events_in_range,in_range_pct,rebalance_count,lp_fee_usd,il_usd,hedge_notional_usd,funding_apr_pct,funding_income_usd,perp_trading_fee_usd,rebal_gas_usd,residual_delta_risk_usd,gas_initial_usd,net_pnl_unhedged_usd,net_pnl_hedged_usd,signal_noise_hedged,recommendation
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,Aerodrome Slipstream WETH/USDC 0.05%,250,5,24,none,static_0.5,0.500000,,28483,28483,1.000000,0,72.000000,2855.995894,125.000000,0.825600,0.002827,0.025000,0.000000,5.000000,0.079500,-2784.075394,-2789.097566,0.000000,NO_GO
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,Aerodrome Slipstream WETH/USDC 0.05%,250,5,24,none,static_0.75,0.750000,,28483,28483,1.000000,0,72.000000,2855.995894,187.500000,0.825600,0.004241,0.037500,0.000000,2.500000,0.079500,-2784.075394,-2786.608652,0.000000,NO_GO
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,Aerodrome Slipstream WETH/USDC 0.05%,250,5,24,none,dynamic,0.574962,0.574962,28483,28483,1.000000,0,72.000000,2855.995894,143.740588,0.825600,0.003251,0.028748,0.000000,4.250376,0.079500,-2784.075394,-2788.351267,0.000000,NO_GO
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,Aerodrome Slipstream WETH/USDC 0.05%,250,5,24,hourly,static_0.5,0.500000,,28483,28483,1.000000,23,72.000000,118.317986,125.000000,0.825600,0.002827,0.025000,3.657000,5.000000,0.079500,-46.397486,-55.076659,0.000000,NO_GO
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,Aerodrome Slipstream WETH/USDC 0.05%,250,5,24,hourly,static_0.75,0.750000,,28483,28483,1.000000,23,72.000000,118.317986,187.500000,0.825600,0.004241,0.037500,3.657000,2.500000,0.079500,-46.397486,-52.587745,0.000000,NO_GO
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,Aerodrome Slipstream WETH/USDC 0.05%,250,5,24,hourly,dynamic,0.574962,0.574962,28483,28483,1.000000,23,72.000000,118.317986,143.740588,0.825600,0.003251,0.028748,3.657000,4.250376,0.079500,-46.397486,-54.330359,0.000000,NO_GO
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,Aerodrome Slipstream WETH/USDC 0.05%,250,5,24,gt_0.5pct,static_0.5,0.500000,,28483,28483,1.000000,25394,72.000000,14.343338,125.000000,0.825600,0.002827,0.025000,4037.646000,5.000000,0.079500,57.577162,-3985.091011,5.961397,NO_GO
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,Aerodrome Slipstream WETH/USDC 0.05%,250,5,24,gt_0.5pct,static_0.75,0.750000,,28483,28483,1.000000,25394,72.000000,14.343338,187.500000,0.825600,0.004241,0.037500,4037.646000,2.500000,0.079500,57.577162,-3982.602097,6.846228,NO_GO
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,Aerodrome Slipstream WETH/USDC 0.05%,250,5,24,gt_0.5pct,dynamic,0.574962,0.574962,28483,28483,1.000000,25394,72.000000,14.343338,143.740588,0.825600,0.003251,0.028748,4037.646000,4.250376,0.079500,57.577162,-3984.344711,6.201737,NO_GO
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,Aerodrome Slipstream WETH/USDC 0.05%,250,5,24,gt_1pct,static_0.5,0.500000,,28483,28483,1.000000,19884,72.000000,207.471486,125.000000,0.825600,0.002827,0.025000,3161.556000,5.000000,0.079500,-135.550986,-3302.129159,0.000000,NO_GO
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,Aerodrome Slipstream WETH/USDC 0.05%,250,5,24,gt_1pct,static_0.75,0.750000,,28483,28483,1.000000,19884,72.000000,207.471486,187.500000,0.825600,0.004241,0.037500,3161.556000,2.500000,0.079500,-135.550986,-3299.640245,0.000000,NO_GO
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,Aerodrome Slipstream WETH/USDC 0.05%,250,5,24,gt_1pct,dynamic,0.574962,0.574962,28483,28483,1.000000,19884,72.000000,207.471486,143.740588,0.825600,0.003251,0.028748,3161.556000,4.250376,0.079500,-135.550986,-3301.382859,0.000000,NO_GO
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,Aerodrome Slipstream WETH/USDC 0.05%,250,5,24,gt_2pct,static_0.5,0.500000,,28483,28483,1.000000,8589,72.000000,1064.915593,125.000000,0.825600,0.002827,0.025000,1365.651000,5.000000,0.079500,-992.995093,-2363.668265,0.000000,NO_GO
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,Aerodrome Slipstream WETH/USDC 0.05%,250,5,24,gt_2pct,static_0.75,0.750000,,28483,28483,1.000000,8589,72.000000,1064.915593,187.500000,0.825600,0.004241,0.037500,1365.651000,2.500000,0.079500,-992.995093,-2361.179351,0.000000,NO_GO
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,Aerodrome Slipstream WETH/USDC 0.05%,250,5,24,gt_2pct,dynamic,0.574962,0.574962,28483,28483,1.000000,8589,72.000000,1064.915593,143.740588,0.825600,0.003251,0.028748,1365.651000,4.250376,0.079500,-992.995093,-2362.921966,0.000000,NO_GO
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,Aerodrome Slipstream WETH/USDC 0.05%,250,10,24,none,static_0.5,0.500000,,28483,28483,1.000000,0,37.200000,2855.995894,125.000000,0.825600,0.002827,0.025000,0.000000,5.000000,0.079500,-2818.875394,-2823.897566,0.000000,NO_GO
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,Aerodrome Slipstream WETH/USDC 0.05%,250,10,24,none,static_0.75,0.750000,,28483,28483,1.000000,0,37.200000,2855.995894,187.500000,0.825600,0.004241,0.037500,0.000000,2.500000,0.079500,-2818.875394,-2821.408652,0.000000,NO_GO
