horizon,completed_count,median_net_pnl_pct,p10,p5,p1,worst_position_contribution,worst_pool_contribution,top20_vs_bottom20_signal,negative_tail_status,future_mark_coverage
6h,42,0.116026221800985,0.0214157416986751,7.13323784538034e-05,-3.79689268305334,1.0,1.0,better,WARN,0.6176470588235294
12h,40,0.0530412217709397,-7.49662390050808,-7.73250653575358,-8.21804898736709,0.15088595356053772,0.8215449379272465,worse,FAIL,0.5882352941176471
24h,8,0.0890857439030555,0.00794336877659418,0.00794336877659418,0.00794336877659418,,,worse,INSUFFICIENT,0.11764705882352941
