variant_name,window,horizon,proof_unit_type,raw_sample_count,valid_sample_count,entry_allowed_count,quarantined_count,invalid_count,data_quality_distribution,regime_distribution,quarantine_reason_distribution,fee_proxy_coverage,exit_depth_coverage
regime_exclude_bad_all,recent_7d,2h,pool_window,1860,1845,605,1240,15,"{""ok"": 1845, ""invalid"": 15}","{""UNKNOWN"": 520, ""HEALTHY_SHORT_HOLD"": 523, ""WHALE_OR_HOLDER_CONCENTRATED"": 323, ""VOLATILE_BUT_LIQUID"": 82, ""EXIT_DEPTH_THIN"": 348, ""DATA_STALE_OR_INCOMPLETE"": 14, ""VOLUME_COLLAPSE"": 1, ""PRICE_SPIKE_VOLATILE"": 33, ""TVL_DROP"": 1}","{""UNKNOWN"": 520, ""invalid_sample"": 15, ""WHALE_OR_HOLDER_CONCENTRATED"": 323, ""EXIT_DEPTH_THIN"": 348, ""DATA_STALE_OR_INCOMPLETE"": 14, ""VOLUME_COLLAPSE"": 1, ""PRICE_SPIKE_VOLATILE"": 33, ""TVL_DROP"": 1}",1.0,1.0
regime_exclude_bad_all,recent_7d,30m,intent_window,1390,1388,616,772,2,"{""ok"": 1388, ""invalid"": 2}","{""UNKNOWN"": 66, ""WHALE_OR_HOLDER_CONCENTRATED"": 302, ""HEALTHY_SHORT_HOLD"": 534, ""VOLATILE_BUT_LIQUID"": 82, ""EXIT_DEPTH_THIN"": 357, ""DATA_STALE_OR_INCOMPLETE"": 12, ""VOLUME_COLLAPSE"": 1, ""PRICE_SPIKE_VOLATILE"": 33, ""TVL_DROP"": 1}","{""UNKNOWN"": 66, ""WHALE_OR_HOLDER_CONCENTRATED"": 302, ""EXIT_DEPTH_THIN"": 357, ""DATA_STALE_OR_INCOMPLETE"": 12, ""VOLUME_COLLAPSE"": 1, ""PRICE_SPIKE_VOLATILE"": 33, ""invalid_sample"": 2, ""TVL_DROP"": 1}",1.0,1.0
regime_exclude_bad_all,recent_7d,30m,pool_window,1860,1854,611,1243,6,"{""ok"": 1854, ""invalid"": 6}","{""UNKNOWN"": 520, ""HEALTHY_SHORT_HOLD"": 529, ""WHALE_OR_HOLDER_CONCENTRATED"": 324, ""VOLATILE_BUT_LIQUID"": 82, ""EXIT_DEPTH_THIN"": 348, ""DATA_STALE_OR_INCOMPLETE"": 16, ""VOLUME_COLLAPSE"": 1, ""PRICE_SPIKE_VOLATILE"": 33, ""TVL_DROP"": 1}","{""UNKNOWN"": 520, ""invalid_sample"": 6, ""WHALE_OR_HOLDER_CONCENTRATED"": 324, ""EXIT_DEPTH_THIN"": 348, ""DATA_STALE_OR_INCOMPLETE"": 16, ""VOLUME_COLLAPSE"": 1, ""PRICE_SPIKE_VOLATILE"": 33, ""TVL_DROP"": 1}",1.0,1.0
regime_exclude_data_stale,recent_24h,15m,intent_window,352,348,348,0,4,"{""ok"": 348, ""invalid"": 4}","{""EXIT_DEPTH_THIN"": 47, ""WHALE_OR_HOLDER_CONCENTRATED"": 88, ""HEALTHY_SHORT_HOLD"": 208, ""VOLATILE_BUT_LIQUID"": 4, ""PRICE_SPIKE_VOLATILE"": 1}","{""invalid_sample"": 4}",1.0,1.0
regime_exclude_data_stale,recent_24h,15m,pool_window,352,344,344,0,8,"{""ok"": 344, ""invalid"": 8}","{""WHALE_OR_HOLDER_CONCENTRATED"": 86, ""EXIT_DEPTH_THIN"": 49, ""HEALTHY_SHORT_HOLD"": 204, ""VOLATILE_BUT_LIQUID"": 4, ""PRICE_SPIKE_VOLATILE"": 1}","{""invalid_sample"": 8}",1.0,1.0
regime_exclude_data_stale,recent_24h,1h,intent_window,352,336,336,0,16,"{""ok"": 336, ""invalid"": 16}","{""EXIT_DEPTH_THIN"": 47, ""WHALE_OR_HOLDER_CONCENTRATED"": 85, ""HEALTHY_SHORT_HOLD"": 199, ""VOLATILE_BUT_LIQUID"": 4, ""PRICE_SPIKE_VOLATILE"": 1}","{""invalid_sample"": 16}",1.0,1.0
regime_exclude_data_stale,recent_24h,1h,pool_window,352,332,332,0,20,"{""ok"": 332, ""invalid"": 20}","{""EXIT_DEPTH_THIN"": 49, ""HEALTHY_SHORT_HOLD"": 195, ""WHALE_OR_HOLDER_CONCENTRATED"": 83, ""VOLATILE_BUT_LIQUID"": 4, ""PRICE_SPIKE_VOLATILE"": 1}","{""invalid_sample"": 20}",1.0,1.0
regime_exclude_data_stale,recent_24h,2h,intent_window,352,320,320,0,32,"{""ok"": 320, ""invalid"": 32}","{""HEALTHY_SHORT_HOLD"": 187, ""WHALE_OR_HOLDER_CONCENTRATED"": 81, ""EXIT_DEPTH_THIN"": 47, ""VOLATILE_BUT_LIQUID"": 4, ""PRICE_SPIKE_VOLATILE"": 1}","{""invalid_sample"": 32}",1.0,1.0
regime_exclude_data_stale,recent_24h,2h,pool_window,352,316,316,0,36,"{""ok"": 316, ""invalid"": 36}","{""EXIT_DEPTH_THIN"": 49, ""HEALTHY_SHORT_HOLD"": 183, ""WHALE_OR_HOLDER_CONCENTRATED"": 79, ""VOLATILE_BUT_LIQUID"": 4, ""PRICE_SPIKE_VOLATILE"": 1}","{""invalid_sample"": 36}",1.0,1.0
regime_exclude_data_stale,recent_24h,30m,intent_window,352,344,344,0,8,"{""ok"": 344, ""invalid"": 8}","{""EXIT_DEPTH_THIN"": 47, ""WHALE_OR_HOLDER_CONCENTRATED"": 87, ""HEALTHY_SHORT_HOLD"": 205, ""VOLATILE_BUT_LIQUID"": 4, ""PRICE_SPIKE_VOLATILE"": 1}","{""invalid_sample"": 8}",1.0,1.0
