variant_name,window,horizon,proof_unit_type,sample_count,hold_median,hold_p10,hold_p5,hold_p1,retained_sample_count,retained_median,retained_p10,retained_p5,retained_p1,opportunity_retention_rate,false_quarantine_rate,missed_profit_rate,loss_avoidance_rate,tail_improvement_p10,tail_improvement_p5,tail_improvement_p1,fee_proxy_vs_exit_cost,worst_pool_contribution,worst_regime_contribution,verdict
baseline_hold_all,recent_24h,15m,intent_window,348,0.188166225454688,0.00834117483994135,0.00320941027122501,0.000409333482210172,348,0.188166225454688,0.00834117483994135,0.00320941027122501,0.000409333482210172,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,WEAK
baseline_hold_all,recent_24h,15m,pool_window,344,0.0045591038823763,-0.00286126082657879,-0.0186845758514543,-0.600864409020093,344,0.0045591038823763,-0.00286126082657879,-0.0186845758514543,-0.600864409020093,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.5957230047966839,0.5952235062215021,WEAK
baseline_hold_all,recent_24h,1h,intent_window,336,0.188166225454688,0.00834286486738733,0.00423432689474623,0.000549973242769397,336,0.188166225454688,0.00834286486738733,0.00423432689474623,0.000549973242769397,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,WEAK
baseline_hold_all,recent_24h,1h,pool_window,332,0.01754772019043025,-0.0415319265239956,-0.204437906272458,-2.65647128968593,332,0.01754772019043025,-0.0415319265239956,-0.204437906272458,-2.65647128968593,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.6486863756726413,0.6500857536890366,WEAK
baseline_hold_all,recent_24h,2h,intent_window,320,0.189434367883518,0.00770865613682759,0.00402238930574583,0.000549973242769397,320,0.189434367883518,0.00770865613682759,0.00402238930574583,0.000549973242769397,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,WEAK
baseline_hold_all,recent_24h,2h,pool_window,316,0.0164358312544223,-0.184230833029789,-0.557454300847024,-2.63606842930328,316,0.0164358312544223,-0.184230833029789,-0.557454300847024,-2.63606842930328,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.7228695139262946,0.724142617661591,WEAK
baseline_hold_all,recent_24h,30m,intent_window,344,0.188166225454688,0.00770865613682759,0.00402238930574583,0.000549973242769397,344,0.188166225454688,0.00770865613682759,0.00402238930574583,0.000549973242769397,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,WEAK
baseline_hold_all,recent_24h,30m,pool_window,340,0.009134902795592474,-0.0141588182316165,-0.107298777115507,-2.62224011178802,340,0.009134902795592474,-0.0141588182316165,-0.107298777115507,-2.62224011178802,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.6193714878076803,0.6192434542922487,WEAK
baseline_hold_all,recent_48h,15m,intent_window,364,0.13650668934458549,0.0115717418206174,0.00490462532140157,0.000688838725477581,364,0.13650668934458549,0.0115717418206174,0.00490462532140157,0.000688838725477581,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,WEAK
baseline_hold_all,recent_48h,15m,pool_window,384,0.00548292493215453,-0.000734622366618248,-0.329364812689276,-1.12004626284609,384,0.00548292493215453,-0.000734622366618248,-0.329364812689276,-1.12004626284609,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.5173789516937284,0.5595283050460585,WEAK
