pool_id,token_pair,previous_fee_proxy,pool_level_fee_velocity,actual_position_fee,simulated_fee,delta_vs_previous,confidence,can_replace_fee_input,reason
0x160d7e9d948b16c163332a277b393c288408eb12,cbBTC/USDC,0.009756236564513828,0.009756236564513828,,0.009756236564513828,0.0,low,no,actual_position_fee_unavailable
0x3c4384f3664b37a3cb5a5cb3452b4b4a3aa1256f,0x9126236476EFBA9AD8AB77855C60EB5BF37586EB/USDC,0.018074367272983564,0.018074367272983564,,0.018074367272983564,0.0,low,no,actual_position_fee_unavailable
0x3f0296bf652e19bca772ec3df08b32732f93014a,VIRTUAL/WETH,0.015681807924405367,0.015681807924405367,,0.015681807924405367,0.0,low,no,actual_position_fee_unavailable
0x4e962bb3889bf030368f56810a9c96b83cb3e778,cbBTC/USDC,0.018446395624714902,0.018446395624714902,,0.018446395624714902,0.0,high,no,actual_position_fee_unavailable
0x70acdf2ad0bf2402c957154f944c19ef4e1cbae1,cbBTC/WETH,0.004696037658358606,0.004696037658358606,,0.004696037658358606,0.0,high,no,actual_position_fee_unavailable
0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,WETH/USDC,0.0022570616658648826,0.0022570616658648826,,0.0022570616658648826,0.0,high,no,actual_position_fee_unavailable
0x7ec6c9d993d9832aa654593f2dbc21303650bc6c,0xACFE6019ED1A7DC6F7B508C02D1B04EC88CC21BF/WETH,0.001679623779900631,0.001679623779900631,,0.001679623779900631,0.0,low,no,actual_position_fee_unavailable
0x8a8e4170c09074b109352190d47e54d7c1f61e4e,0x8B7DDE054BE9D180C1BE7FAE0874697374A49832/USDC,0.007101890133292477,0.007101890133292477,,0.007101890133292477,0.0,low,no,actual_position_fee_unavailable
0x9c087eb773291e50cf6c6a90ef0f4500e349b903,VIRTUAL/WETH,0.003007921888321394,0.003007921888321394,,0.003007921888321394,0.0,low,no,actual_position_fee_unavailable
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,WETH/USDC,0.014125390275089123,0.014125390275089123,,0.014125390275089123,0.0,high,no,actual_position_fee_unavailable
0xb94b22332abf5f89877a14cc88f2abc48c34b3df,cbBTC/USDC,0.0030014243752231624,0.0030014243752231624,,0.0030014243752231624,0.0,low,no,actual_position_fee_unavailable
0xc211e1f853a898bd1302385ccde55f33a8c4b3f3,cbBTC/WETH,0.0012450958111598714,0.0012450958111598714,,0.0012450958111598714,0.0,medium,no,actual_position_fee_unavailable
0xd0b53d9277642d899df5c87a3966a349a798f224,USDC/WETH,0.0008032231904615344,0.0008032231904615344,,0.0008032231904615344,0.0,low,no,actual_position_fee_unavailable
