run_id,pool_id,token_pair,virtual_notional_usd,horizon,fee_source,previous_fee_proxy_usd,new_fee_input_usd,old_net_ev_proxy_usd,new_net_ev_proxy_usd,delta_ev,confidence,status,primary_blocker,actual_fee_available,future_probe_only,created_at
20260601_143401,0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,WETH/USDC,20.0,15m,pool_level_fee_velocity_proxy_only,,,-0.12334006618822149,-0.06000041561688092,0.06333965057134057,medium,NEGATIVE_PROXY,actual_position_fee_lineage_missing,False,True,1780324497
20260601_143401,0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,WETH/USDC,20.0,30m,pool_level_fee_velocity_proxy_only,,,-0.12845657063146074,-0.06511692006012018,0.06333965057134056,medium,NEGATIVE_PROXY,actual_position_fee_lineage_missing,False,True,1780324497
20260601_143401,0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,WETH/USDC,20.0,1h,pool_level_fee_velocity_proxy_only,,,-0.1361282643793962,-0.07278861380805564,0.06333965057134057,medium,NEGATIVE_PROXY,actual_position_fee_lineage_missing,False,True,1780324497
20260601_143401,0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,WETH/USDC,20.0,2h,pool_level_fee_velocity_proxy_only,,,-0.14784940526882798,-0.0845097546974874,0.06333965057134058,medium,NEGATIVE_PROXY,actual_position_fee_lineage_missing,False,True,1780324497
20260601_143401,0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,WETH/USDC,100.0,15m,pool_level_fee_velocity_proxy_only,,,-0.5100606328106011,-0.22556429730641467,0.2844963355041864,medium,NEGATIVE_PROXY,actual_position_fee_lineage_missing,False,True,1780324497
20260601_143401,0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,WETH/USDC,100.0,30m,pool_level_fee_velocity_proxy_only,,,-0.5356431550267975,-0.251146819522611,0.2844963355041865,medium,NEGATIVE_PROXY,actual_position_fee_lineage_missing,False,True,1780324497
20260601_143401,0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,WETH/USDC,100.0,1h,pool_level_fee_velocity_proxy_only,,,-0.5740016237664748,-0.2895052882622883,0.2844963355041865,medium,NEGATIVE_PROXY,actual_position_fee_lineage_missing,False,True,1780324497
20260601_143401,0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,WETH/USDC,100.0,2h,pool_level_fee_velocity_proxy_only,,,-0.6326073282136336,-0.3481109927094471,0.2844963355041865,medium,NEGATIVE_PROXY,actual_position_fee_lineage_missing,False,True,1780324497
20260601_143401,0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,WETH/USDC,500.0,15m,pool_level_fee_velocity_proxy_only,,,-10.764967357201181,-1.4963043157834426,9.268663041417739,low,NEGATIVE_PROXY,actual_position_fee_lineage_missing,False,True,1780324497
20260601_143401,0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,WETH/USDC,500.0,30m,pool_level_fee_velocity_proxy_only,,,-10.892879968282164,-1.6242169268644242,9.26866304141774,low,NEGATIVE_PROXY,actual_position_fee_lineage_missing,False,True,1780324497
