run_id,fee_method,pool_id,token_pair,token_id,position_key,tick_lower,tick_upper,liquidity,fee_growth_inside0_last_x128,fee_growth_inside1_last_x128,fee_growth_global0_x128,fee_growth_global1_x128,tokens_owed0,tokens_owed1,estimated_uncollected_fee0,estimated_uncollected_fee1,estimated_uncollected_fee_usd,collected_fee_usd,pool_fee_velocity_usd,confidence,actual_position_required,future_probe_only,invalid_reason,read_only_safe,wallet_or_tx_touched,created_at
20260601_143401,pool_level_fee_velocity_proxy,0x160d7e9d948b16c163332a277b393c288408eb12,cbBTC/USDC,,,,,,,,,,,,,,0.009756236564513828,,0.009756236564513828,low,True,True,actual_position_fee_unavailable,True,False,1780324492
20260601_143401,simulated_position_fee_from_pool_proxy,0x160d7e9d948b16c163332a277b393c288408eb12,cbBTC/USDC,,,,,,,,,,,,,,0.009756236564513828,,0.009756236564513828,low,True,True,simulated_only_no_token_id,True,False,1780324492
20260601_143401,pool_level_fee_velocity_proxy,0x3c4384f3664b37a3cb5a5cb3452b4b4a3aa1256f,0x9126236476EFBA9AD8AB77855C60EB5BF37586EB/USDC,,,,,,,,,,,,,,0.018074367272983564,,0.018074367272983564,low,True,True,actual_position_fee_unavailable,True,False,1780324492
20260601_143401,simulated_position_fee_from_pool_proxy,0x3c4384f3664b37a3cb5a5cb3452b4b4a3aa1256f,0x9126236476EFBA9AD8AB77855C60EB5BF37586EB/USDC,,,,,,,,,,,,,,0.018074367272983564,,0.018074367272983564,low,True,True,simulated_only_no_token_id,True,False,1780324492
20260601_143401,pool_level_fee_velocity_proxy,0x3f0296bf652e19bca772ec3df08b32732f93014a,VIRTUAL/WETH,,,,,,,,,,,,,,0.015681807924405367,,0.015681807924405367,low,True,True,actual_position_fee_unavailable,True,False,1780324492
20260601_143401,simulated_position_fee_from_pool_proxy,0x3f0296bf652e19bca772ec3df08b32732f93014a,VIRTUAL/WETH,,,,,,,,,,,,,,0.015681807924405367,,0.015681807924405367,low,True,True,simulated_only_no_token_id,True,False,1780324492
20260601_143401,pool_level_fee_velocity_proxy,0x4e962bb3889bf030368f56810a9c96b83cb3e778,cbBTC/USDC,,,,,,,,,,,,,,0.018446395624714902,,0.018446395624714902,high,True,True,actual_position_fee_unavailable,True,False,1780324492
20260601_143401,simulated_position_fee_from_pool_proxy,0x4e962bb3889bf030368f56810a9c96b83cb3e778,cbBTC/USDC,,,,,,,,,,,,,,0.018446395624714902,,0.018446395624714902,high,True,True,simulated_only_no_token_id,True,False,1780324492
20260601_143401,pool_level_fee_velocity_proxy,0x70acdf2ad0bf2402c957154f944c19ef4e1cbae1,cbBTC/WETH,,,,,,,,,,,,,,0.004696037658358606,,0.004696037658358606,high,True,True,actual_position_fee_unavailable,True,False,1780324492
20260601_143401,simulated_position_fee_from_pool_proxy,0x70acdf2ad0bf2402c957154f944c19ef4e1cbae1,cbBTC/WETH,,,,,,,,,,,,,,0.004696037658358606,,0.004696037658358606,high,True,True,simulated_only_no_token_id,True,False,1780324492
20260601_143401,pool_level_fee_velocity_proxy,0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,WETH/USDC,,,,,,,,,,,,,,0.0022570616658648826,,0.0022570616658648826,high,True,True,actual_position_fee_unavailable,True,False,1780324492
