chain,protocol,pool_type,pool_address,token_pair,fee_tier_or_fee_bps,tvl_proxy_usd,vol24h_usd,stable_classified,source_artifact,selected_for_12h,selection_reason
solana,orca_whirlpool,clmm,Czfq3xZZDmsdGdUyrNLtRhGc47cXcZtLG4crryfu44zE,SOL/USDC,4,32526289.16,230667978.94,False,reports/lp_orca_whirlpool_readonly_connector/20260604_025414/orca_candidate_source_collection.csv,True,real_on_chain_orca_pool_clmm
solana,orca_whirlpool,stable,Hp53XEtt4S8SvPCXarsLSdGfZBuUr5mMmZmX2DRNXQKp,SOL/JitoSOL,1,31439173.85,20121510.23,True,reports/lp_orca_whirlpool_readonly_connector/20260604_025414/orca_candidate_source_collection.csv,True,real_on_chain_orca_pool_stable_pair_classified
solana,orca_whirlpool,clmm,CeaZcxBNLpJWtxzt58qQmfMBtJY8pQLvursXTJYGQpbN,SOL/cbBTC,16,10487327.11,16287492.07,False,reports/lp_orca_whirlpool_readonly_connector/20260604_025414/orca_candidate_source_collection.csv,True,real_on_chain_orca_pool_clmm
solana,orca_whirlpool,clmm,6NUiVmsNjsi4AfsMsEiaezsaV9N4N1ZrD4jEnuWNRvyb,JLP/USDC,2,10178145.56,17217155.09,False,reports/lp_orca_whirlpool_readonly_connector/20260604_025414/orca_candidate_source_collection.csv,True,real_on_chain_orca_pool_clmm
solana,orca_whirlpool,clmm,9RqDTfwCx2SgxsvKpspQHc38HUo3B6hRd3oR9JR966Ps,/USDC,1,10149447.82,1412521.50,False,reports/lp_orca_whirlpool_readonly_connector/20260604_025414/orca_candidate_source_collection.csv,True,real_on_chain_orca_pool_clmm
solana,orca_whirlpool,stable,G2FiE1yn9N9ZJx5e1E2LxxMnHvb1H3hCuHLPfKJ98smA,JTO/JitoSOL,30,6752811.58,2010288.84,True,reports/lp_orca_whirlpool_readonly_connector/20260604_025414/orca_candidate_source_collection.csv,True,real_on_chain_orca_pool_stable_pair_classified
solana,orca_whirlpool,clmm,HxA6SKW5qA4o12fjVgTpXdq2YnZ5Zv1s7SB4FFomsyLM,cbBTC/USDC,4,5809601.22,21164476.25,False,reports/lp_orca_whirlpool_readonly_connector/20260604_025414/orca_candidate_source_collection.csv,True,real_on_chain_orca_pool_clmm
solana,orca_whirlpool,stable,9tXiuRRw7kbejLhZXtxDxYs2REe43uH2e7k1kocgdM9B,PYUSD/USDC,1,5372196.75,4039707.04,True,reports/lp_orca_whirlpool_readonly_connector/20260604_025414/orca_candidate_source_collection.csv,True,real_on_chain_orca_pool_stable_pair_classified
solana,orca_whirlpool,clmm,B5EwJVDuAauzUEEdwvbuXzbFFgEYnUqqS37TUM1c4PQA,SOL/WBTC,5,5319196.55,19329592.90,False,reports/lp_orca_whirlpool_readonly_connector/20260604_025414/orca_candidate_source_collection.csv,True,real_on_chain_orca_pool_clmm
solana,orca_whirlpool,stable,68soqftZg4HL1Dcis5hMgkLKU9qyC8qbn5JzLhrxhgi9,FDUSD/USDT,1,5276534.94,2938004.90,True,reports/lp_orca_whirlpool_readonly_connector/20260604_025414/orca_candidate_source_collection.csv,True,real_on_chain_orca_pool_stable_pair_classified
solana,orca_whirlpool,clmm,HktfL7iwGKT5QHjywQkcDnZXScoh811k7akrMZJkCcEF,SOL/whETH,5,4055881.08,15673424.34,False,reports/lp_orca_whirlpool_readonly_connector/20260604_025414/orca_candidate_source_collection.csv,True,real_on_chain_orca_pool_clmm
solana,orca_whirlpool,clmm,6a3m2EgFFKfsFuQtP4LJJXPcAe3TQYXNyHUjjZpUxYgd,SOL/JLP,4,3709271.50,13440801.55,False,reports/lp_orca_whirlpool_readonly_connector/20260604_025414/orca_candidate_source_collection.csv,True,real_on_chain_orca_pool_clmm
solana,orca_whirlpool,stable,5xfKkFmhzNhHKTFUkh4PJmHSWB6LpRvhJcUMKzPP6md2,wfragSOL/JitoSOL,1,3665595.63,1265671.86,True,reports/lp_orca_whirlpool_readonly_connector/20260604_025414/orca_candidate_source_collection.csv,True,real_on_chain_orca_pool_stable_pair_classified
solana,raydium_clmm,clmm,3nMFwZXwY1s1M5s8vYAHqd4wGs4iSxXE4LRoUMMYqEgF,SOL/USDT 0.01%,0,3612077.06,27076908.84,False,reports/lp_raydium_clmm_readonly_connector/20260604_034503/raydium_clmm_candidate_source_collection.csv,True,real_on_chain_raydium_clmm_pool
solana,raydium_clmm,clmm,3ucNos4NbumPLZNWztqGHNFFgkHeRMBQAVemeeomsUxv,SOL/USDC,0,9463487.32,18432332.91,False,reports/lp_raydium_clmm_readonly_connector/20260604_034503/raydium_clmm_candidate_source_collection.csv,True,real_on_chain_raydium_clmm_pool
solana,raydium_clmm,clmm,BZtgQEyS6eXUXicYPHecYQ7PybqodXQMvkjUbP4R8mUU,USDC/USDT 0.01%,0,8460099.70,6105425.65,False,reports/lp_raydium_clmm_readonly_connector/20260604_034503/raydium_clmm_candidate_source_collection.csv,True,real_on_chain_raydium_clmm_pool
solana,raydium_clmm,clmm,2AXXcN6oN9bBT5owwmTH53C7QHUXvhLeu718Kqt8rvY2,RAY/SOL 0.05%,0,2399451.52,6061077.93,False,reports/lp_raydium_clmm_readonly_connector/20260604_034503/raydium_clmm_candidate_source_collection.csv,True,real_on_chain_raydium_clmm_pool
solana,raydium_clmm,clmm,GYqHjuDzTiw7i52Xv1qohDE6eJr6eSZpsrBVikGZyaFV,CRCLx/USDC,0,5433829.42,5373840.79,False,reports/lp_raydium_clmm_readonly_connector/20260604_034503/raydium_clmm_candidate_source_collection.csv,True,real_on_chain_raydium_clmm_pool
solana,raydium_clmm,clmm,HzKStSGe3Vwk2Z5EVRKhf7WuauWAKGryKw7ayAwg8Vj,UNOS/SOL,0,20.88,4658726.20,False,reports/lp_raydium_clmm_readonly_connector/20260604_034503/raydium_clmm_candidate_source_collection.csv,True,real_on_chain_raydium_clmm_pool
solana,raydium_clmm,clmm,BxZ1GN3qVe7iwuQjaebgCyjMYjdXtia8YP3JfuVpUAUU,WorldCup/SOL,0,18.76,3437908.61,False,reports/lp_raydium_clmm_readonly_connector/20260604_034503/raydium_clmm_candidate_source_collection.csv,True,real_on_chain_raydium_clmm_pool
solana,raydium_clmm,clmm,CsFBAvNFAdyQLJHrB1EGkrsewaWF3ZLN59JoVoi3Sbgf,SAOS/SOL,0,22.94,3181641.68,False,reports/lp_raydium_clmm_readonly_connector/20260604_034503/raydium_clmm_candidate_source_collection.csv,True,real_on_chain_raydium_clmm_pool
solana,raydium_clmm,clmm,D1dAuATCnvTKiXhyV9v19gSMe5ak7uMPDm8cUNASmJmJ,USWR/SOL,0,22.68,2935387.25,False,reports/lp_raydium_clmm_readonly_connector/20260604_034503/raydium_clmm_candidate_source_collection.csv,True,real_on_chain_raydium_clmm_pool
solana,raydium_clmm,clmm,AQAGYQsdU853WAKhXM79CgNdoyhrRwXvYHX6qrDyC1FS,USD1/SOL,0,8661381.92,2883467.38,False,reports/lp_raydium_clmm_readonly_connector/20260604_034503/raydium_clmm_candidate_source_collection.csv,True,real_on_chain_raydium_clmm_pool
solana,raydium_cpmm,v2_cpmm,58oQChx4yWmvKdwLLZzBi4ChoCc2fqCUWBkwMihLYQo2,SOL/USDC,25,17080798.66,3485765.45,False,reports/lp_raydium_cpmm_readonly_connector/20260604_040952/raydium_cpmm_candidate_source_collection.csv,True,real_on_chain_raydium_cpmm_pool
solana,raydium_cpmm,v2_cpmm,Q2sPHPdUWFMg7M7wwrQKLrn619cAucfRsmhVJffodSp,USELESS/SOL,25,4568664.18,1340661.62,False,reports/lp_raydium_cpmm_readonly_connector/20260604_040952/raydium_cpmm_candidate_source_collection.csv,True,real_on_chain_raydium_cpmm_pool
solana,raydium_cpmm,v2_cpmm,J3b6dvheS2Y1cbMtVz5TCWXNegSjJDbUKxdUVDPoqmS7,arc/SOL,25,7534540.94,1207604.44,False,reports/lp_raydium_cpmm_readonly_connector/20260604_040952/raydium_cpmm_candidate_source_collection.csv,True,real_on_chain_raydium_cpmm_pool
solana,raydium_cpmm,v2_cpmm,3bC2e2RxcfvF9oP22LvbaNsVwoS2T98q6ErCRoayQYdq,jellyjelly/SOL,25,8332268.96,1151173.74,False,reports/lp_raydium_cpmm_readonly_connector/20260604_040952/raydium_cpmm_candidate_source_collection.csv,True,real_on_chain_raydium_cpmm_pool
solana,raydium_cpmm,v2_cpmm,H6CSKrr4PKGRWStpsLLXyDf74E1a9wukNXkH3tSWDVv5,SPACEX/SOL,25,231458.10,954334.78,False,reports/lp_raydium_cpmm_readonly_connector/20260604_040952/raydium_cpmm_candidate_source_collection.csv,True,real_on_chain_raydium_cpmm_pool
solana,raydium_cpmm,v2_cpmm,HeYqEh2TmvqyXTUdqwQkSs7MjdzydS7NceesjoJu9QXP,SpaceX/SOL,25,229815.46,938224.84,False,reports/lp_raydium_cpmm_readonly_connector/20260604_040952/raydium_cpmm_candidate_source_collection.csv,True,real_on_chain_raydium_cpmm_pool
solana,raydium_cpmm,v2_cpmm,DSUvc5qf5LJHHV5e2tD184ixotSnCnwj7i4jJa4Xsrmt,BOME/SOL,25,18306512.22,935531.96,False,reports/lp_raydium_cpmm_readonly_connector/20260604_040952/raydium_cpmm_candidate_source_collection.csv,True,real_on_chain_raydium_cpmm_pool
solana,raydium_cpmm,v2_cpmm,Bzc9NZfMqkXR6fz1DBph7BDf9BroyEf6pnzESP7v5iiw,Fartcoin/SOL,25,11764818.26,858044.45,False,reports/lp_raydium_cpmm_readonly_connector/20260604_040952/raydium_cpmm_candidate_source_collection.csv,True,real_on_chain_raydium_cpmm_pool
solana,raydium_cpmm,v2_cpmm,EP2ib6dYdEeqD8MfE2ezHCxX3kP3K2eLKkirfPm5eyMx,$WIF/SOL,25,8811885.22,835678.96,False,reports/lp_raydium_cpmm_readonly_connector/20260604_040952/raydium_cpmm_candidate_source_collection.csv,True,real_on_chain_raydium_cpmm_pool
solana,raydium_cpmm,v2_cpmm,9Tb2ohu5P16BpBarqd3N27WnkF51Ukfs8Z1GzzLDxVZW,GOAT/SOL,25,2405412.86,791866.60,False,reports/lp_raydium_cpmm_readonly_connector/20260604_040952/raydium_cpmm_candidate_source_collection.csv,True,real_on_chain_raydium_cpmm_pool
