run_id,pool_id,token_pair,chain,block_number,snapshot_ts,token0,token1,fee_tier,tick_spacing,sqrt_price_x96,current_tick,current_liquidity,tick_index,initialized,liquidity_gross,liquidity_net,fee_growth_outside0_x128,fee_growth_outside1_x128,seconds_outside,tick_distance_from_current,scan_method,confidence,invalid_reason,read_only_safe,wallet_or_tx_touched,created_at
20260601_130245,0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,WETH/USDC,base,46765327,1780319998,0x4200000000000000000000000000000000000006,0x833589fcd6edb6e08f4c7c32d4f71b54bda02913,100,1,3521667817631740628659579,-200434,517120156344851039,-200414,True,53320653400,-53320653400,170397713862428808406152658933529903242303,500217805417053489511716607491372,32704286,20,tick_bitmap_plus_ticks,high,,True,False,1780319998
20260601_130245,0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,WETH/USDC,base,46765327,1780319998,0x4200000000000000000000000000000000000006,0x833589fcd6edb6e08f4c7c32d4f71b54bda02913,100,1,3521667817631740628659579,-200434,517120156344851039,-200413,True,8729346979474,8729346979474,44933841834493687856429127048870573501538,96133462638007570278462415250866,8719454,21,tick_bitmap_plus_ticks,high,,True,False,1780319998
20260601_130245,0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,WETH/USDC,base,46765327,1780319998,0x4200000000000000000000000000000000000006,0x833589fcd6edb6e08f4c7c32d4f71b54bda02913,100,1,3521667817631740628659579,-200434,517120156344851039,-200412,True,121781160270831,121364386646199,170382575887818836213623047118938183084643,500188234946362349717295475475647,32709686,22,tick_bitmap_plus_ticks,high,,True,False,1780319998
20260601_130245,0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,WETH/USDC,base,46765327,1780319998,0x4200000000000000000000000000000000000006,0x833589fcd6edb6e08f4c7c32d4f71b54bda02913,100,1,3521667817631740628659579,-200434,517120156344851039,-200457,True,176914550552,176914550552,253921111757456846111201391821693250359144,678696070487874960166940196719869,1747357161,23,tick_bitmap_plus_ticks,high,,True,False,1780319998
20260601_130245,0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,WETH/USDC,base,46765327,1780319998,0x4200000000000000000000000000000000000006,0x833589fcd6edb6e08f4c7c32d4f71b54bda02913,100,1,3521667817631740628659579,-200434,517120156344851039,-200411,True,184912525754,184912525754,170295603205602798626689627561555735926016,500014828149123715003608717101959,32689118,23,tick_bitmap_plus_ticks,high,,True,False,1780319998
20260601_130245,0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,WETH/USDC,base,46765327,1780319998,0x4200000000000000000000000000000000000006,0x833589fcd6edb6e08f4c7c32d4f71b54bda02913,100,1,3521667817631740628659579,-200434,517120156344851039,-200458,True,28967736680344401,28858993980557211,108468674358397041777872605613782827284523,249705569071850049890299386790834,1721037293,24,tick_bitmap_plus_ticks,high,,True,False,1780319998
20260601_130245,0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,WETH/USDC,base,46765327,1780319998,0x4200000000000000000000000000000000000006,0x833589fcd6edb6e08f4c7c32d4f71b54bda02913,100,1,3521667817631740628659579,-200434,517120156344851039,-200410,True,55783261999,-55783261999,170250833323113350594004899790575862447053,499926979824228170242811093983591,32680428,24,tick_bitmap_plus_ticks,high,,True,False,1780319998
20260601_130245,0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,WETH/USDC,base,46765327,1780319998,0x4200000000000000000000000000000000000006,0x833589fcd6edb6e08f4c7c32d4f71b54bda02913,100,1,3521667817631740628659579,-200434,517120156344851039,-200459,True,38640862279824,-38040715096632,61759009530921934511228745343862879590279,102794389987154925637922168333760,1705983695,25,tick_bitmap_plus_ticks,high,,True,False,1780319998
20260601_130245,0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,WETH/USDC,base,46765327,1780319998,0x4200000000000000000000000000000000000006,0x833589fcd6edb6e08f4c7c32d4f71b54bda02913,100,1,3521667817631740628659579,-200434,517120156344851039,-200409,True,18711968755468,18711968755468,2126815215882345956020146095710849884248,4309104681103893665858569148578,729078,25,tick_bitmap_plus_ticks,high,,True,False,1780319998
20260601_130245,0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,WETH/USDC,base,46765327,1780319998,0x4200000000000000000000000000000000000006,0x833589fcd6edb6e08f4c7c32d4f71b54bda02913,100,1,3521667817631740628659579,-200434,517120156344851039,-200460,True,82911392765,82911392765,107939723301485070866549174369225784942984,248268832775757220582315235272998,1720878217,26,tick_bitmap_plus_ticks,high,,True,False,1780319998
