window,signal_name,horizon,proof_unit_type,trigger_count,trigger_rate,first_trigger_delay_median,first_trigger_delay_p90,false_exit_rate,missed_profit_rate,hold_p10,risk_exit_p10,tail_improve_p10,hold_p5,risk_exit_p5,tail_improve_p5,hold_p1,risk_exit_p1,tail_improve_p1,signal_quality
recent_24h,price_spike_down,15m,intent_window,0,0.0,,,,,0.0005499732427693971,0.0005499732427693971,0.0,0.0002556736978220897,0.0002556736978220897,0.0,0.0002556736978220897,0.0002556736978220897,0.0,INSUFFICIENT
recent_24h,price_spike_down,15m,pool_window,0,0.0,,,,,-0.00286126082657879,-0.00286126082657879,0.0,-0.0216923091204912,-0.0216923091204912,0.0,-0.6008644090200929,-0.6008644090200929,0.0,INSUFFICIENT
recent_24h,price_spike_down,1h,intent_window,0,0.0,,,,,0.0017784702051955037,0.0017784702051955037,0.0,0.0011032970631674743,0.0011032970631674743,0.0,0.0011032970631674743,0.0011032970631674743,0.0,INSUFFICIENT
recent_24h,price_spike_down,1h,pool_window,0,0.0,,,,,-0.04153192652399556,-0.04153192652399556,0.0,-0.48099291702747166,-0.48099291702747166,0.0,-2.656471289685926,-2.656471289685926,0.0,INSUFFICIENT
recent_24h,price_spike_down,2h,intent_window,0,0.0,,,,,0.004022389305745833,0.004022389305745833,0.0,0.003620198788695461,0.003620198788695461,0.0,0.003620198788695461,0.003620198788695461,0.0,INSUFFICIENT
recent_24h,price_spike_down,2h,pool_window,0,0.0,,,,,-0.17323414748712623,-0.17323414748712623,0.0,-0.5558026124637273,-0.5558026124637273,0.0,-2.636068429303282,-2.636068429303282,0.0,INSUFFICIENT
recent_24h,price_spike_down,30m,intent_window,0,0.0,,,,,0.0007773597600788662,0.0007773597600788662,0.0,0.0005499732427693971,0.0005499732427693971,0.0,0.0005499732427693971,0.0005499732427693971,0.0,INSUFFICIENT
recent_24h,price_spike_down,30m,pool_window,0,0.0,,,,,-0.012768857469854449,-0.012768857469854449,0.0,-0.21244290210941588,-0.21244290210941588,0.0,-2.6222401117880234,-2.6222401117880234,0.0,INSUFFICIENT
recent_48h,price_spike_down,15m,intent_window,0,0.0,,,,,0.0014385390418141242,0.0014385390418141242,0.0,0.0011717908695203505,0.0011717908695203505,0.0,1.5844201030290606e-05,1.5844201030290606e-05,0.0,INSUFFICIENT
recent_48h,price_spike_down,15m,pool_window,0,0.0,,,,,-0.0016006412936204004,-0.0016006412936204004,0.0,-0.3293648126892759,-0.3293648126892759,0.0,-1.2735473129686488,-1.2735473129686488,0.0,INSUFFICIENT
recent_48h,price_spike_down,1h,intent_window,0,0.0,,,,,0.00416996692430871,0.00416996692430871,0.0,0.0027619356751813484,0.0027619356751813484,0.0,0.0021964178046829375,0.0021964178046829375,0.0,INSUFFICIENT
recent_48h,price_spike_down,1h,pool_window,0,0.0,,,,,-0.40842082211722575,-0.40842082211722575,0.0,-0.7880556211205895,-0.7880556211205895,0.0,-1.801486357708448,-1.801486357708448,0.0,INSUFFICIENT
recent_48h,price_spike_down,2h,intent_window,0,0.0,,,,,0.008950015282351842,0.008950015282351842,0.0,0.005539984358549077,0.005539984358549077,0.0,0.00416996692430871,0.00416996692430871,0.0,INSUFFICIENT
recent_48h,price_spike_down,2h,pool_window,0,0.0,,,,,-0.6786761254600302,-0.6786761254600302,0.0,-0.9440569379566691,-0.9440569379566691,0.0,-1.7672828269845282,-1.7672828269845282,0.0,INSUFFICIENT
