window,horizon,proof_unit_type,sample_count,valid_count,hold_p10,risk_exit_p10,hold_p5,risk_exit_p5,hold_p1,risk_exit_p1,tail_improve_p10,tail_improve_p5,tail_improve_p1,false_exit_rate,missed_profit_rate,no_entry_quarantine_helpful,risk_exit_helpful,primary_failure_reason
recent_168h,15m,intent_window,1352,120,-0.017650107782074542,-0.017650107782074542,-0.027453406510744568,-0.027453406510744568,-2.5543076901201403,-2.5543076901201403,0.0,0.0,0.0,0.0,0.0,True,False,risk_signal_too_late
recent_168h,15m,pool_window,1822,1819,-0.01676422797585305,-0.01676422797585305,-0.4550626817902124,-0.4550626817902124,-2.4641239501903813,-2.4641239501903813,0.0,0.0,0.0,0.0021990104452996153,0.0021990104452996153,True,False,risk_signal_too_late
recent_168h,1h,intent_window,1352,120,-0.01954181599786864,-0.01954181599786864,-2.483184231619944,-2.483184231619944,-2.6029376769269135,-2.6029376769269135,0.0,0.0,0.0,0.025,0.025,True,False,risk_signal_too_late
recent_168h,1h,pool_window,1822,1816,-0.2876195492331995,-0.2594746501673419,-1.0842217114837083,-1.0698713125199788,-4.3988834810120885,-4.3988834810120885,0.028144899065857598,0.014350398963729472,0.0,0.017070484581497798,0.017070484581497798,True,True,unknown
recent_168h,2h,intent_window,1352,120,-0.021278177443804225,-0.021278177443804225,-1.8863988495105417,-1.8863988495105417,-2.545426598351895,-2.545426598351895,0.0,0.0,0.0,0.041666666666666664,0.041666666666666664,True,False,risk_signal_too_late
recent_168h,2h,pool_window,1822,1809,-0.6409071859143017,-0.6237092180165539,-1.4900581167929974,-1.3654758346765787,-4.691999224720435,-4.691999224720435,0.017197967897747857,0.12458228211641864,0.0,0.035378662244333885,0.035378662244333885,True,True,risk_signal_false_positive
recent_168h,30m,intent_window,1352,120,-0.017138191714124673,-0.017138191714124673,-2.506342325245683,-2.506342325245683,-2.5543076901201403,-2.5543076901201403,0.0,0.0,0.0,0.008333333333333333,0.008333333333333333,True,False,risk_signal_too_late
recent_168h,30m,pool_window,1822,1818,-0.11125046939591521,-0.10790882737384182,-0.8025356561110383,-0.8000885374580311,-2.8146239772407973,-2.8146239772407973,0.0033416420220733906,0.0024471186530071742,0.0,0.00825082508250825,0.00825082508250825,True,True,unknown
recent_24h,15m,intent_window,388,20,0.0005499732427693971,0.0005499732427693971,0.0002556736978220897,0.0002556736978220897,0.0002556736978220897,0.0002556736978220897,0.0,0.0,0.0,0.0,0.0,True,False,insufficient_tail_cases
recent_24h,15m,pool_window,388,380,-0.00286126082657879,-0.00286126082657879,-0.0216923091204912,-0.0216923091204912,-0.6008644090200929,-0.6008644090200929,0.0,0.0,0.0,0.0,0.0,True,False,risk_signal_too_late
recent_24h,1h,intent_window,388,20,0.0017784702051955037,0.0017784702051955037,0.0011032970631674743,0.0011032970631674743,0.0011032970631674743,0.0011032970631674743,0.0,0.0,0.0,0.0,0.0,True,False,insufficient_tail_cases
recent_24h,1h,pool_window,388,368,-0.04153192652399556,-0.04153192652399556,-0.48099291702747166,-0.48099291702747166,-2.656471289685926,-2.656471289685926,0.0,0.0,0.0,0.0,0.0,True,False,risk_signal_too_late
recent_24h,2h,intent_window,388,20,0.004022389305745833,0.004022389305745833,0.003620198788695461,0.003620198788695461,0.003620198788695461,0.003620198788695461,0.0,0.0,0.0,0.0,0.0,True,False,insufficient_tail_cases
recent_24h,2h,pool_window,388,352,-0.17323414748712623,-0.17323414748712623,-0.5558026124637273,-0.5558026124637273,-2.636068429303282,-2.636068429303282,0.0,0.0,0.0,0.0,0.0,True,False,risk_signal_too_late
recent_24h,30m,intent_window,388,20,0.0007773597600788662,0.0007773597600788662,0.0005499732427693971,0.0005499732427693971,0.0005499732427693971,0.0005499732427693971,0.0,0.0,0.0,0.0,0.0,True,False,insufficient_tail_cases
recent_24h,30m,pool_window,388,376,-0.012768857469854449,-0.012768857469854449,-0.21244290210941588,-0.21244290210941588,-2.6222401117880234,-2.6222401117880234,0.0,0.0,0.0,0.0,0.0,True,False,risk_signal_too_late
recent_48h,15m,intent_window,357,31,0.0014385390418141242,0.0014385390418141242,0.0011717908695203505,0.0011717908695203505,1.5844201030290606e-05,1.5844201030290606e-05,0.0,0.0,0.0,0.0,0.0,True,False,risk_signal_too_late
recent_48h,15m,pool_window,384,384,-0.0016006412936204004,-0.0016006412936204004,-0.3293648126892759,-0.3293648126892759,-1.2735473129686488,-1.2735473129686488,0.0,0.0,0.0,0.0,0.0,False,False,risk_signal_too_late
recent_48h,1h,intent_window,357,31,0.00416996692430871,0.004049352795036043,0.0027619356751813484,0.0027619356751813484,0.0021964178046829375,0.0021964178046829375,-0.00012061412927266701,0.0,0.0,0.12903225806451613,0.12903225806451613,True,False,risk_signal_too_late
recent_48h,1h,pool_window,384,384,-0.40842082211722575,-0.40842082211722575,-0.7880556211205895,-0.7880556211205895,-1.801486357708448,-1.801486357708448,0.0,0.0,0.0,0.026041666666666668,0.026041666666666668,False,False,risk_signal_too_late
recent_48h,2h,intent_window,357,31,0.008950015282351842,0.008580133892351682,0.005539984358549077,0.00416996692430871,0.00416996692430871,0.004013151514209312,-0.0003698813900001596,-0.001370017434240367,-0.00015681541009939827,0.1935483870967742,0.1935483870967742,True,False,risk_signal_too_late
