window,horizon,proof_unit_type,hold_tail,quarantine_tail,exit_tail,hybrid_tail,quarantine_avoided_loss,exit_loss_saved,false_quarantine_rate,false_exit_rate,missed_profit_rate,best_timing_mode
recent_24h,15m,intent_window,0.0005499732427693971,0.0005499732427693971,0.0005499732427693971,0.0005499732427693971,0.0,0.0,0.0,0.0,0.0,quarantine_only
recent_24h,15m,pool_window,-0.00286126082657879,-0.00286126082657879,-0.00286126082657879,-0.00286126082657879,0.0,0.0,0.0,0.0,0.0,quarantine_only
recent_24h,1h,intent_window,0.0017784702051955037,0.0017784702051955037,0.0017784702051955037,0.0017784702051955037,0.0,0.0,0.0,0.0,0.0,quarantine_only
recent_24h,1h,pool_window,-0.04153192652399556,-0.04153192652399556,-0.04153192652399556,-0.04153192652399556,0.0,0.0,0.0,0.0,0.0,quarantine_only
recent_24h,2h,intent_window,0.004022389305745833,0.004022389305745833,0.004022389305745833,0.004022389305745833,0.0,0.0,0.0,0.0,0.0,quarantine_only
recent_24h,2h,pool_window,-0.17323414748712623,-0.17323414748712623,-0.17323414748712623,-0.17323414748712623,0.0,0.0,0.0,0.0,0.0,quarantine_only
recent_24h,30m,intent_window,0.0007773597600788662,0.0007773597600788662,0.0007773597600788662,0.0007773597600788662,0.0,0.0,0.0,0.0,0.0,quarantine_only
recent_24h,30m,pool_window,-0.012768857469854449,-0.012768857469854449,-0.012768857469854449,-0.012768857469854449,0.0,0.0,0.0,0.0,0.0,quarantine_only
recent_48h,15m,intent_window,0.0014385390418141242,0.0014385390418141242,0.0014385390418141242,0.0014385390418141242,0.0,0.0,0.0,0.0,0.0,quarantine_only
recent_48h,15m,pool_window,-0.0016006412936204004,-0.0016006412936204004,-0.0016006412936204004,-0.0016006412936204004,0.0,0.0,0.0026041666666666665,0.0,0.0,quarantine_only
recent_48h,1h,intent_window,0.00416996692430871,0.0,0.004049352795036043,0.0,0.0,0.048087582770494915,0.011204481792717087,0.011204481792717087,0.011204481792717087,hold
recent_48h,1h,pool_window,-0.40842082211722575,-0.27980738705815617,-0.40842082211722575,-0.27980738705815617,2.7671067422679663,0.2411462297797995,0.028645833333333332,0.026041666666666668,0.026041666666666668,quarantine_only
recent_48h,2h,intent_window,0.008950015282351842,0.0,0.008580133892351682,0.0,0.0,0.18283337327051186,0.01680672268907563,0.01680672268907563,0.01680672268907563,hold
recent_48h,2h,pool_window,-0.6786761254600302,-0.5506940611528042,-0.6906223338734889,-0.5506940611528042,7.318912226650269,0.7437524181759259,0.052083333333333336,0.0390625,0.0390625,quarantine_only
recent_48h,30m,intent_window,0.002393530659020371,0.0,0.002393530659020371,0.0,0.0,0.008448660447515974,0.0056022408963585435,0.0056022408963585435,0.0056022408963585435,exit_only
recent_48h,30m,pool_window,-0.08533931332381811,-0.05176834570227952,-0.08533931332381811,-0.05176834570227952,1.6949945621712905,0.0254912444731589,0.013020833333333334,0.005208333333333333,0.005208333333333333,quarantine_only
recent_72h,15m,intent_window,-0.011791022684917607,-0.011791022684917607,-0.011791022684917607,-0.011791022684917607,0.0,0.0,0.0,0.0,0.0,quarantine_only
recent_72h,15m,pool_window,-0.05763642029926805,-0.05763642029926805,-0.05763642029926805,-0.05763642029926805,0.0,0.0,0.0,0.0,0.0,quarantine_only
recent_72h,1h,intent_window,-0.01127048055815294,-0.01127048055815294,-0.01127048055815294,-0.01127048055815294,0.0,0.0,0.0,0.0,0.0,quarantine_only
recent_72h,1h,pool_window,-0.29511448749555924,-0.29511448749555924,-0.29511448749555924,-0.29511448749555924,0.0,0.0,0.0,0.0,0.0,quarantine_only
recent_72h,2h,intent_window,-0.010643634614012853,-0.010643634614012853,-0.010643634614012853,-0.010643634614012853,0.0,0.0,0.0,0.0,0.0,quarantine_only
recent_72h,2h,pool_window,-0.506520668752117,-0.506520668752117,-0.506520668752117,-0.506520668752117,0.0,0.0,0.0,0.0,0.0,quarantine_only
recent_72h,30m,intent_window,-0.011215457792388861,-0.011215457792388861,-0.011215457792388861,-0.011215457792388861,0.0,0.0,0.0,0.0,0.0,quarantine_only
recent_72h,30m,pool_window,-0.19400430373186153,-0.19400430373186153,-0.19400430373186153,-0.19400430373186153,0.0,0.0,0.0,0.0,0.0,quarantine_only
recent_168h,15m,intent_window,-0.017650107782074542,-0.017650107782074542,-0.017650107782074542,-0.017650107782074542,0.0,0.0,0.0,0.0,0.0,quarantine_only
recent_168h,15m,pool_window,-0.01676422797585305,-0.01591348329244936,-0.01676422797585305,-0.01591348329244936,0.4621649118114866,0.030998709029301227,0.0038419319429198683,0.0021953896816684962,0.0021953896816684962,quarantine_only
recent_168h,1h,intent_window,-0.01954181599786864,-0.016924062840033116,-0.01954181599786864,-0.016924062840033116,0.0,0.05210541820829348,0.0022189349112426036,0.0022189349112426036,0.0022189349112426036,quarantine_only
recent_168h,1h,pool_window,-0.2876195492331995,-0.2528169313014823,-0.2594746501673419,-0.2528169313014823,12.932980746129992,3.449565114373748,0.019209659714599342,0.017014270032930844,0.017014270032930844,quarantine_only
