pool_id,token_pair,inferred_tier,source,has_existing_snapshot,has_liquidity_data,has_pool_type,has_token_decimals,selected_for_quote_depth,reject_reason
0x4e962bb3889bf030368f56810a9c96b83cb3e778,cbBTC/USDC,B,feasibility_probe_7,yes,yes,yes,no,yes,
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,WETH/USDC,B,feasibility_probe_7,yes,yes,yes,no,yes,
0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,WETH/USDC,B,feasibility_probe_7,yes,yes,yes,no,yes,
0x70acdf2ad0bf2402c957154f944c19ef4e1cbae1,cbBTC/WETH,B,feasibility_probe_7,yes,yes,yes,no,yes,
0x9a993fc0eec60faaa0c391ff11b840ce16685150,USAD/USDT,B,feasibility_probe_7,yes,yes,yes,no,yes,
0xc211e1f853a898bd1302385ccde55f33a8c4b3f3,cbBTC/WETH,B,feasibility_probe_7,no,yes,yes,no,no,entry_safe_snapshot_missing
DJNtGuBGEQiUCWE8F981M2C3ZghZt2XLD8f2sQdZ6rsZ,So111111/EPjFWdd5,B,feasibility_probe_7,no,no,yes,no,no,entry_safe_snapshot_missing
