horizon,clean_completed_count,median,p10,p5,p1,top20_vs_bottom20_signal,negative_tail_status,terminal_before_target_count,counterfactual_only_count,interpretation
6h,42,0.116026221800985,0.0214157416986751,7.13323784538034e-05,-3.79689268305334,unchanged_from_canonical,WARN,25,0,classification_fix_does_not_change_clean_proof_edge
12h,40,0.0530412217709397,-7.49662390050808,-7.73250653575358,-8.21804898736709,unchanged_from_canonical,FAIL,26,0,classification_fix_does_not_change_clean_proof_edge
24h,8,0.0890857439030555,0.00794336877659418,0.00794336877659418,0.00794336877659418,unchanged_from_canonical,INSUFFICIENT,57,0,classification_fix_does_not_change_clean_proof_edge
