horizon,position_id,pool_id,token_pair,open_time,exit_time,holding_minutes,entry_value_usd,final_value_usd,net_pnl_pct,outcome_type,exit_reason,exit_action,score_open_decision,score_first_selected,score_max_before_open,score_median_before_open,selected_trace_count,top20_trace_count,decision_trace_count,terminal_future_flag,data_quality_status,invalid_reason,pool_position_count,root_cause
24h,shadow-pos-9878cd860310b5e6e2eb81b4,0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,base:pancakeswap-v3-base:0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,1779610889,1779618165,121,200.0,200.01431500386275,0.007157501931379759,terminal_exit_mark,"closed after 121m; final pnl +0.0143 USD (fees +0.0147, il -0.0004, price +0.3950%)",shadow_close,62.8359790588285,62.8359790588285,62.8359790588285,62.8359790588285,118,0,118,terminal,valid_terminal,"",10,POSITION_DATA_QUALITY_FAIL
24h,shadow-pos-20a722d61ae673d983db7ac4,0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,base:pancakeswap-v3-base:0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,1779603622,1779610858,120,200.0,200.01431617265092,0.007158086325464082,terminal_exit_mark,"closed after 120m; final pnl +0.0143 USD (fees +0.0147, il -0.0003, price +0.3678%)",shadow_close,63.9011758922275,63.9011758922275,63.9011758922275,63.9011758922275,115,0,115,terminal,valid_terminal,"",10,POSITION_DATA_QUALITY_FAIL
24h,shadow-pos-91d83562aa038c689fc52a49,0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,base:pancakeswap-v3-base:0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,1779588904,1779596229,122,200.0,200.01655526362845,0.008277631814221888,terminal_exit_mark,"closed after 122m; final pnl +0.0166 USD (fees +0.0167, il -0.0001, price +0.2237%)",shadow_close,63.8989600338655,63.8989600338655,63.8989600338655,63.8989600338655,123,0,123,terminal,valid_terminal,"",10,POSITION_DATA_QUALITY_FAIL
24h,shadow-pos-aba9eb8396fcbb72b1b30ba8,0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,base:pancakeswap-v3-base:0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,1779596278,1779603520,120,200.0,200.01669460187756,0.008347300938786734,terminal_exit_mark,"closed after 120m; final pnl +0.0167 USD (fees +0.0168, il -0.0001, price +0.2292%)",shadow_close,63.8989600338655,63.8989600338655,63.8989600338655,63.8989600338655,116,0,116,terminal,valid_terminal,"",10,POSITION_DATA_QUALITY_FAIL
24h,shadow-pos-e578fab5031843ede06449c2,0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,base:pancakeswap-v3-base:0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,1779569617,1779588900,321,200.0,200.0424789791115,0.02123948955575962,terminal_exit_mark,"closed after 321m; final pnl +0.0425 USD (fees +0.0433, il -0.0009, price +0.5867%)",shadow_close,61.1949761592904,61.1949761592904,61.1949761592904,61.1949761592904,319,0,319,terminal,valid_terminal,"",10,POSITION_DATA_QUALITY_FAIL
24h,shadow-pos-e342ff683ff9e03607817d1a,0xc211e1f853a898bd1302385ccde55f33a8c4b3f3,base:pancakeswap-v3-base:0xc211e1f853a898bd1302385ccde55f33a8c4b3f3,1779641197,1779686340,752,200.0,200.04818996806452,0.024094984032255268,terminal_exit_mark,"closed after 752m; final pnl +0.0482 USD (fees +0.0487, il -0.0005, price +0.4455%)",shadow_close,60.7983483109059,60.7983483109059,60.7983483109059,60.7983483109059,91,0,91,terminal,valid_terminal,"",1,POSITION_DATA_QUALITY_FAIL
24h,shadow-pos-833713bf8f5b4cb1b0c6bf63,0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,base:pancakeswap-v3-base:0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,1779522686,1779565931,720,200.0,200.06972419927763,0.03486209963881442,terminal_exit_mark,"closed after 720m; final pnl +0.0697 USD (fees +0.0700, il -0.0002, price +0.3140%)",shadow_close,63.6448199765257,63.6448199765257,63.6448199765257,63.6448199765257,602,0,602,terminal,valid_terminal,"",10,POSITION_DATA_QUALITY_FAIL
24h,shadow-pos-d242d4f81bdc2b874e602b7a,0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,base:pancakeswap-v3-base:0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,1779618187,1779688854,1177,200.0,200.13991418670327,0.06995709335162613,terminal_exit_mark,"closed after 1177m; final pnl +0.1399 USD (fees +0.1404, il -0.0005, price -0.4577%)",shadow_close,62.4950922880048,62.4950922880048,62.4950922880048,62.4950922880048,513,0,513,terminal,valid_terminal,"",10,POSITION_DATA_QUALITY_FAIL
24h,shadow-pos-5bbfdd99de9f74905e0a31af,0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,base:pancakeswap-v3-base:0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,1779338862,1779346152,121,200.0,200.43784973186388,0.21892486593194338,terminal_exit_mark,"closed after 121m; final pnl +0.4378 USD (fees +0.4379, il 0.0000, price +0.0244%)",shadow_close,62.5158999050678,62.5158999050678,62.5158999050678,62.5158999050678,117,0,117,terminal,valid_terminal,"",10,POSITION_DATA_QUALITY_FAIL
24h,shadow-pos-06eb7de3f0c56598add9777c,0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,base:aerodrome-slipstream:0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,1779688909,1779732130,720,1000.0,1002.713241620815,0.2713241620815003,terminal_exit_mark,"closed after 720m; final pnl +2.7132 USD (fees +2.7207, il -0.0074, price +0.7750%)",shadow_close,76.1695019804473,76.1695019804473,76.1695019804473,76.1695019804473,342,342,342,terminal,valid_terminal,"",4,POSITION_DATA_QUALITY_FAIL
24h,shadow-pos-77ddf211104f42ab55b922c6,0x4e962bb3889bf030368f56810a9c96b83cb3e778,base:aerodrome-slipstream:0x4e962bb3889bf030368f56810a9c96b83cb3e778,1779332693,1779344122,190,200.0,200.62067426554083,0.31033713277041336,terminal_exit_mark,"closed after 190m; final pnl +0.6207 USD (fees +0.6207, il 0.0000, price +0.1069%)",shadow_close,70.2114330921813,70.2114330921813,72.415745541705,70.5056634863981,107,0,107,terminal,valid_terminal,"",5,POSITION_DATA_QUALITY_FAIL
