horizon,completed_count,position_count,invalid_count,future_position_mark_coverage,p10_net_pnl_pct,p5_net_pnl_pct,p1_net_pnl_pct,top20_vs_bottom20_signal,worst_position_contribution,worst_pool_contribution,sample_sufficiency,top20_position_count,bottom20_position_count,top20_median_net_pnl_pct,bottom20_median_net_pnl_pct,top20_p10_net_pnl_pct,bottom20_p10_net_pnl_pct,win_rate,completed_count_delta_from_previous,position_count_delta_from_previous,invalid_count_delta_from_previous,future_mark_coverage_delta,completed_count_delta,position_count_delta,invalid_count_delta,future_position_mark_coverage_delta
6h,42,68,26,0.6176470588235294,0.0214157416986751,7.13323784538034e-05,-3.79689268305334,better,1.0,1.0,EARLY,8,8,0.154939690714389,0.0531894156740549,0.119710099783549,-3.79689268305334,0.9761904761904762,0,0,0,0.0,0,0,0,0.0
12h,40,68,28,0.5882352941176471,-7.49662390050808,-7.73250653575358,-8.21804898736709,worse,0.15088595356053772,0.8215449379272465,EARLY,8,8,-5.37874072007259,0.0831072785512958,-7.73250653575358,-5.60153480896194,0.6,0,0,0,0.0,0,0,0,0.0
24h,8,68,60,0.11764705882352941,0.00794336877659418,0.00794336877659418,0.00794336877659418,worse,,,INSUFFICIENT,1,1,1.83413698375648,3.25696653590951,1.83413698375648,3.25696653590951,1.0,0,0,0,0.0,0,0,0,0.0
