horizon,completed_baseline,completed_checkpoint_0h,completed_checkpoint_6h,completed_checkpoint_12h,completed_delta_from_baseline,completed_delta_0h_to_6h,completed_delta_6h_to_12h,position_count_0h,position_count_6h,position_count_12h,position_count_delta_0h_to_12h,future_mark_coverage_0h,future_mark_coverage_6h,future_mark_coverage_12h,p10_0h,p10_6h,p10_12h,p5_0h,p5_6h,p5_12h,p1_0h,p1_6h,p1_12h,signal_0h,signal_6h,signal_12h
6h,42,39,40,41,-1,1,1,68,69,70,2,0.6176470588235294,0.6231884057971014,0.6285714285714286,0.021267795342581053,0.021267795342581053,0.021267795342581053,5.3928536516423264e-05,5.3928536516423264e-05,7.133237845380336e-05,-3.7968926830533434,-3.7968926830533434,-3.7968926830533434,worse,better,better
12h,40,38,39,40,0,1,1,68,69,70,2,0.5882352941176471,0.5942028985507246,0.6,-7.496623900508085,-7.496623900508085,-7.496623900508085,-7.732506535753577,-7.732506535753577,-7.732506535753577,-8.218048987367093,-8.218048987367093,-8.218048987367093,worse,worse,worse
24h,8,8,8,8,0,0,0,68,69,70,2,0.11764705882352941,0.13043478260869565,0.14285714285714285,0.007943368776594184,0.007943368776594184,0.007943368776594184,0.007943368776594184,0.007943368776594184,0.007943368776594184,0.007943368776594184,0.007943368776594184,0.007943368776594184,worse,worse,worse
