dedup_key,pool_id,token_pair,strategy_epoch,first_trace_time,source_trace_count,selected_count,intent_open_count,reuse_count,open_new_count,position_id,entry_notional_source,entry_notional_usd,entry_notional_confidence,entry_value_trusted,missing_reason,valid_entry
0x4e962bb3889bf030368f56810a9c96b83cb3e778|base:0x4e962bb3889bf030368f56810a9c96b83cb3e778|0|494374,0x4e962bb3889bf030368f56810a9c96b83cb3e778,base:0x4e962bb3889bf030368f56810a9c96b83cb3e778,0,1779746440,60,60,60,60,0,shadow-pos-fac1c5c8b2abd1f13184b34b,first_position_mark_amount_usd,200.0,medium,yes,,yes
0x9a993fc0eec60faaa0c391ff11b840ce16685150|base:0x9a993fc0eec60faaa0c391ff11b840ce16685150|0|494374,0x9a993fc0eec60faaa0c391ff11b840ce16685150,base:0x9a993fc0eec60faaa0c391ff11b840ce16685150,0,1779746440,60,60,60,60,0,shadow-pos-68ad1af5798162ee842fb8a8,first_position_mark_amount_usd,200.0,medium,yes,,yes
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59|base:0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59|0|494375,0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,base:0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,0,1779750040,60,60,60,60,0,shadow-pos-1bd7fecdcc51c98d372e38d1,first_position_mark_amount_usd,1000.0,medium,yes,,yes
0x4e962bb3889bf030368f56810a9c96b83cb3e778|base:0x4e962bb3889bf030368f56810a9c96b83cb3e778|0|494375,0x4e962bb3889bf030368f56810a9c96b83cb3e778,base:0x4e962bb3889bf030368f56810a9c96b83cb3e778,0,1779750040,60,60,60,60,0,shadow-pos-fac1c5c8b2abd1f13184b34b,first_position_mark_amount_usd,200.0,medium,yes,,yes
0x9a993fc0eec60faaa0c391ff11b840ce16685150|base:0x9a993fc0eec60faaa0c391ff11b840ce16685150|0|494375,0x9a993fc0eec60faaa0c391ff11b840ce16685150,base:0x9a993fc0eec60faaa0c391ff11b840ce16685150,0,1779750040,60,60,60,60,0,shadow-pos-68ad1af5798162ee842fb8a8,first_position_mark_amount_usd,200.0,medium,yes,,yes
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59|base:0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59|0|494376,0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,base:0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,0,1779753640,60,60,60,60,0,shadow-pos-1bd7fecdcc51c98d372e38d1,first_position_mark_amount_usd,1000.0,medium,yes,,yes
0x4e962bb3889bf030368f56810a9c96b83cb3e778|base:0x4e962bb3889bf030368f56810a9c96b83cb3e778|0|494376,0x4e962bb3889bf030368f56810a9c96b83cb3e778,base:0x4e962bb3889bf030368f56810a9c96b83cb3e778,0,1779753640,60,60,60,60,0,shadow-pos-fac1c5c8b2abd1f13184b34b,first_position_mark_amount_usd,200.0,medium,yes,,yes
0x9a993fc0eec60faaa0c391ff11b840ce16685150|base:0x9a993fc0eec60faaa0c391ff11b840ce16685150|0|494376,0x9a993fc0eec60faaa0c391ff11b840ce16685150,base:0x9a993fc0eec60faaa0c391ff11b840ce16685150,0,1779753640,60,60,60,60,0,shadow-pos-68ad1af5798162ee842fb8a8,first_position_mark_amount_usd,200.0,medium,yes,,yes
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59|base:0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59|0|494377,0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,base:0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,0,1779757240,60,60,60,60,0,shadow-pos-1bd7fecdcc51c98d372e38d1,first_position_mark_amount_usd,1000.0,medium,yes,,yes
0x4e962bb3889bf030368f56810a9c96b83cb3e778|base:0x4e962bb3889bf030368f56810a9c96b83cb3e778|0|494377,0x4e962bb3889bf030368f56810a9c96b83cb3e778,base:0x4e962bb3889bf030368f56810a9c96b83cb3e778,0,1779757240,60,60,60,60,0,shadow-pos-fac1c5c8b2abd1f13184b34b,first_position_mark_amount_usd,200.0,medium,yes,,yes
