run_id,pool_id,token_pair,pool_type,horizon,window_label,bucket_start,bucket_end,feature_cutoff_time,entry_safe,price_move_proxy,volatility_proxy,il_proxy_rate_conservative,il_proxy_rate_realistic,il_proxy_rate_optimistic,lvr_proxy_rate_conservative,lvr_proxy_rate_realistic,lvr_proxy_rate_optimistic,confidence,confidence_reason,invalid_reason
20260601_105452,0x70acdf2ad0bf2402c957154f944c19ef4e1cbae1,cbBTC/WETH,concentrated_liquidity,1h,recent_7d,1779503979,1780108779,1780108779,yes,0.6521057613244489,0.922216811766668,0.0013042115226488977,0.0009781586419866733,0.0005216846090595591,0.00015569134353682045,0.00010898394047577431,5.4491970237887154e-05,high,entry_safe_regime_features,
20260601_105452,0x70acdf2ad0bf2402c957154f944c19ef4e1cbae1,cbBTC/WETH,concentrated_liquidity,2h,recent_7d,1779503979,1780108779,1780108779,yes,0.922216811766668,0.922216811766668,0.0018444336235333362,0.001383325217650002,0.0007377734494133345,0.0003113826870736409,0.00021796788095154862,0.00010898394047577431,high,entry_safe_regime_features,
20260601_105452,0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,WETH/USDC,concentrated_liquidity,15m,recent_24h,1780022379,1780108779,1780108779,yes,0.33426821771540205,0.945453293926808,0.000668536435430804,0.000501402326573103,0.0002674145741723216,5.096666248247408e-05,3.567666373773185e-05,1.7838331868865926e-05,high,entry_safe_regime_features,
20260601_105452,0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,WETH/USDC,concentrated_liquidity,30m,recent_24h,1780022379,1780108779,1780108779,yes,0.472726646963404,0.945453293926808,0.000945453293926808,0.000709089970445106,0.0003781813175707232,0.00010193332496494815,7.13533274754637e-05,3.567666373773185e-05,high,entry_safe_regime_features,
20260601_105452,0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,WETH/USDC,concentrated_liquidity,1h,recent_24h,1780022379,1780108779,1780108779,yes,0.6685364354308041,0.945453293926808,0.001337072870861608,0.001002804653146206,0.0005348291483446432,0.0002038666499298963,0.0001427066549509274,7.13533274754637e-05,high,entry_safe_regime_features,
20260601_105452,0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,WETH/USDC,concentrated_liquidity,2h,recent_24h,1780022379,1780108779,1780108779,yes,0.945453293926808,0.945453293926808,0.001890906587853616,0.001418179940890212,0.0007563626351414464,0.0004077332998597926,0.0002854133099018548,0.0001427066549509274,high,entry_safe_regime_features,
20260601_105452,0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,WETH/USDC,concentrated_liquidity,15m,recent_48h,1779935979,1780108779,1780108779,yes,0.33426821771540205,0.945453293926808,0.000668536435430804,0.000501402326573103,0.0002674145741723216,5.096666248247408e-05,3.567666373773185e-05,1.7838331868865926e-05,high,entry_safe_regime_features,
20260601_105452,0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,WETH/USDC,concentrated_liquidity,30m,recent_48h,1779935979,1780108779,1780108779,yes,0.472726646963404,0.945453293926808,0.000945453293926808,0.000709089970445106,0.0003781813175707232,0.00010193332496494815,7.13533274754637e-05,3.567666373773185e-05,high,entry_safe_regime_features,
20260601_105452,0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,WETH/USDC,concentrated_liquidity,1h,recent_48h,1779935979,1780108779,1780108779,yes,0.6685364354308041,0.945453293926808,0.001337072870861608,0.001002804653146206,0.0005348291483446432,0.0002038666499298963,0.0001427066549509274,7.13533274754637e-05,high,entry_safe_regime_features,
20260601_105452,0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,WETH/USDC,concentrated_liquidity,2h,recent_48h,1779935979,1780108779,1780108779,yes,0.945453293926808,0.945453293926808,0.001890906587853616,0.001418179940890212,0.0007563626351414464,0.0004077332998597926,0.0002854133099018548,0.0001427066549509274,high,entry_safe_regime_features,
20260601_105452,0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,WETH/USDC,concentrated_liquidity,15m,recent_72h,1779849579,1780108779,1780108779,yes,0.33426821771540205,0.945453293926808,0.000668536435430804,0.000501402326573103,0.0002674145741723216,5.096666248247408e-05,3.567666373773185e-05,1.7838331868865926e-05,high,entry_safe_regime_features,
20260601_105452,0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,WETH/USDC,concentrated_liquidity,30m,recent_72h,1779849579,1780108779,1780108779,yes,0.472726646963404,0.945453293926808,0.000945453293926808,0.000709089970445106,0.0003781813175707232,0.00010193332496494815,7.13533274754637e-05,3.567666373773185e-05,high,entry_safe_regime_features,
20260601_105452,0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,WETH/USDC,concentrated_liquidity,1h,recent_72h,1779849579,1780108779,1780108779,yes,0.6685364354308041,0.945453293926808,0.001337072870861608,0.001002804653146206,0.0005348291483446432,0.0002038666499298963,0.0001427066549509274,7.13533274754637e-05,high,entry_safe_regime_features,
20260601_105452,0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,WETH/USDC,concentrated_liquidity,2h,recent_72h,1779849579,1780108779,1780108779,yes,0.945453293926808,0.945453293926808,0.001890906587853616,0.001418179940890212,0.0007563626351414464,0.0004077332998597926,0.0002854133099018548,0.0001427066549509274,high,entry_safe_regime_features,
20260601_105452,0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,WETH/USDC,concentrated_liquidity,15m,recent_7d,1779503979,1780108779,1780108779,yes,0.33426821771540205,0.945453293926808,0.000668536435430804,0.000501402326573103,0.0002674145741723216,5.096666248247408e-05,3.567666373773185e-05,1.7838331868865926e-05,high,entry_safe_regime_features,
20260601_105452,0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,WETH/USDC,concentrated_liquidity,30m,recent_7d,1779503979,1780108779,1780108779,yes,0.472726646963404,0.945453293926808,0.000945453293926808,0.000709089970445106,0.0003781813175707232,0.00010193332496494815,7.13533274754637e-05,3.567666373773185e-05,high,entry_safe_regime_features,
20260601_105452,0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,WETH/USDC,concentrated_liquidity,1h,recent_7d,1779503979,1780108779,1780108779,yes,0.6685364354308041,0.945453293926808,0.001337072870861608,0.001002804653146206,0.0005348291483446432,0.0002038666499298963,0.0001427066549509274,7.13533274754637e-05,high,entry_safe_regime_features,
20260601_105452,0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,WETH/USDC,concentrated_liquidity,2h,recent_7d,1779503979,1780108779,1780108779,yes,0.945453293926808,0.945453293926808,0.001890906587853616,0.001418179940890212,0.0007563626351414464,0.0004077332998597926,0.0002854133099018548,0.0001427066549509274,high,entry_safe_regime_features,
20260601_105452,0x4e962bb3889bf030368f56810a9c96b83cb3e778,cbBTC/USDC,concentrated_liquidity,15m,recent_24h,1780022379,1780108779,1780108779,yes,0.29398095143946384,0.831503697210072,0.0005879619028789277,0.0004409714271591958,0.00023518476115157107,5.455012455791697e-05,3.818508719054188e-05,1.909254359527094e-05,high,entry_safe_regime_features,
20260601_105452,0x4e962bb3889bf030368f56810a9c96b83cb3e778,cbBTC/USDC,concentrated_liquidity,30m,recent_24h,1780022379,1780108779,1780108779,yes,0.415751848605036,0.831503697210072,0.000831503697210072,0.000623627772907554,0.00033260147888402886,0.00010910024911583394,7.637017438108375e-05,3.818508719054188e-05,high,entry_safe_regime_features,
20260601_105452,0x4e962bb3889bf030368f56810a9c96b83cb3e778,cbBTC/USDC,concentrated_liquidity,1h,recent_24h,1780022379,1780108779,1780108779,yes,0.5879619028789277,0.831503697210072,0.0011759238057578553,0.0008819428543183916,0.00047036952230314214,0.00021820049823166788,0.0001527403487621675,7.637017438108375e-05,high,entry_safe_regime_features,
20260601_105452,0x4e962bb3889bf030368f56810a9c96b83cb3e778,cbBTC/USDC,concentrated_liquidity,2h,recent_24h,1780022379,1780108779,1780108779,yes,0.831503697210072,0.831503697210072,0.001663007394420144,0.001247255545815108,0.0006652029577680577,0.00043640099646333576,0.000305480697524335,0.0001527403487621675,high,entry_safe_regime_features,
20260601_105452,0x4e962bb3889bf030368f56810a9c96b83cb3e778,cbBTC/USDC,concentrated_liquidity,15m,recent_48h,1779935979,1780108779,1780108779,yes,0.29398095143946384,0.831503697210072,0.0005879619028789277,0.0004409714271591958,0.00023518476115157107,5.455012455791697e-05,3.818508719054188e-05,1.909254359527094e-05,high,entry_safe_regime_features,
20260601_105452,0x4e962bb3889bf030368f56810a9c96b83cb3e778,cbBTC/USDC,concentrated_liquidity,30m,recent_48h,1779935979,1780108779,1780108779,yes,0.415751848605036,0.831503697210072,0.000831503697210072,0.000623627772907554,0.00033260147888402886,0.00010910024911583394,7.637017438108375e-05,3.818508719054188e-05,high,entry_safe_regime_features,
20260601_105452,0x4e962bb3889bf030368f56810a9c96b83cb3e778,cbBTC/USDC,concentrated_liquidity,1h,recent_48h,1779935979,1780108779,1780108779,yes,0.5879619028789277,0.831503697210072,0.0011759238057578553,0.0008819428543183916,0.00047036952230314214,0.00021820049823166788,0.0001527403487621675,7.637017438108375e-05,high,entry_safe_regime_features,
20260601_105452,0x4e962bb3889bf030368f56810a9c96b83cb3e778,cbBTC/USDC,concentrated_liquidity,2h,recent_48h,1779935979,1780108779,1780108779,yes,0.831503697210072,0.831503697210072,0.001663007394420144,0.001247255545815108,0.0006652029577680577,0.00043640099646333576,0.000305480697524335,0.0001527403487621675,high,entry_safe_regime_features,
20260601_105452,0x4e962bb3889bf030368f56810a9c96b83cb3e778,cbBTC/USDC,concentrated_liquidity,15m,recent_72h,1779849579,1780108779,1780108779,yes,0.29398095143946384,0.831503697210072,0.0005879619028789277,0.0004409714271591958,0.00023518476115157107,5.455012455791697e-05,3.818508719054188e-05,1.909254359527094e-05,high,entry_safe_regime_features,
20260601_105452,0x4e962bb3889bf030368f56810a9c96b83cb3e778,cbBTC/USDC,concentrated_liquidity,30m,recent_72h,1779849579,1780108779,1780108779,yes,0.415751848605036,0.831503697210072,0.000831503697210072,0.000623627772907554,0.00033260147888402886,0.00010910024911583394,7.637017438108375e-05,3.818508719054188e-05,high,entry_safe_regime_features,
20260601_105452,0x4e962bb3889bf030368f56810a9c96b83cb3e778,cbBTC/USDC,concentrated_liquidity,1h,recent_72h,1779849579,1780108779,1780108779,yes,0.5879619028789277,0.831503697210072,0.0011759238057578553,0.0008819428543183916,0.00047036952230314214,0.00021820049823166788,0.0001527403487621675,7.637017438108375e-05,high,entry_safe_regime_features,
20260601_105452,0x4e962bb3889bf030368f56810a9c96b83cb3e778,cbBTC/USDC,concentrated_liquidity,2h,recent_72h,1779849579,1780108779,1780108779,yes,0.831503697210072,0.831503697210072,0.001663007394420144,0.001247255545815108,0.0006652029577680577,0.00043640099646333576,0.000305480697524335,0.0001527403487621675,high,entry_safe_regime_features,
20260601_105452,0x4e962bb3889bf030368f56810a9c96b83cb3e778,cbBTC/USDC,concentrated_liquidity,15m,recent_7d,1779503979,1780108779,1780108779,yes,0.29398095143946384,0.831503697210072,0.0005879619028789277,0.0004409714271591958,0.00023518476115157107,5.455012455791697e-05,3.818508719054188e-05,1.909254359527094e-05,high,entry_safe_regime_features,
20260601_105452,0x4e962bb3889bf030368f56810a9c96b83cb3e778,cbBTC/USDC,concentrated_liquidity,30m,recent_7d,1779503979,1780108779,1780108779,yes,0.415751848605036,0.831503697210072,0.000831503697210072,0.000623627772907554,0.00033260147888402886,0.00010910024911583394,7.637017438108375e-05,3.818508719054188e-05,high,entry_safe_regime_features,
20260601_105452,0x4e962bb3889bf030368f56810a9c96b83cb3e778,cbBTC/USDC,concentrated_liquidity,1h,recent_7d,1779503979,1780108779,1780108779,yes,0.5879619028789277,0.831503697210072,0.0011759238057578553,0.0008819428543183916,0.00047036952230314214,0.00021820049823166788,0.0001527403487621675,7.637017438108375e-05,high,entry_safe_regime_features,
20260601_105452,0x4e962bb3889bf030368f56810a9c96b83cb3e778,cbBTC/USDC,concentrated_liquidity,2h,recent_7d,1779503979,1780108779,1780108779,yes,0.831503697210072,0.831503697210072,0.001663007394420144,0.001247255545815108,0.0006652029577680577,0.00043640099646333576,0.000305480697524335,0.0001527403487621675,high,entry_safe_regime_features,
20260601_105452,0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,WETH/USDC,concentrated_liquidity,15m,recent_24h,1780022379,1780108779,1780108779,yes,0.3298750058357769,0.933027414281719,0.0006597500116715538,0.0004948125087536654,0.0002639000046686215,4.932545217461984e-05,3.452781652223389e-05,1.7263908261116945e-05,high,entry_safe_regime_features,
