run_id,scenario_name,fixed_cost_usd,pool_id,token_pair,virtual_notional_usd,horizon,quote_depth_confidence,fee_confidence_v2,new_gross_fee_proxy_usd,il_lvr_proxy_usd,slippage_cost_usd,exit_cost_usd,old_fixed_cost_usd,new_fixed_cost_usd,new_net_ev_proxy_usd,new_net_ev_proxy_pct,variable_edge_rate,status,primary_remaining_blocker
20260601_103248,fixed_cost_0.20,0.2,0x70acdf2ad0bf2402c957154f944c19ef4e1cbae1,cbBTC/WETH,100,1h,high,high,,0.11679222929485746,0.20555831504040337,0.1480019868290904,0.1,0.2,,,,DATA_INSUFFICIENT,data_confidence_low
20260601_103248,fixed_cost_0.50,0.5,0x70acdf2ad0bf2402c957154f944c19ef4e1cbae1,cbBTC/WETH,100,1h,high,high,,0.11679222929485746,0.20555831504040337,0.1480019868290904,0.1,0.5,,,,DATA_INSUFFICIENT,data_confidence_low
20260601_103248,fixed_cost_0.00,0.0,0x70acdf2ad0bf2402c957154f944c19ef4e1cbae1,cbBTC/WETH,100,2h,high,high,,0.17246530484855818,0.20555831504040337,0.1480019868290904,0.1,0.0,,,,DATA_INSUFFICIENT,data_confidence_low
20260601_103248,fixed_cost_0.02,0.02,0x70acdf2ad0bf2402c957154f944c19ef4e1cbae1,cbBTC/WETH,100,2h,high,high,,0.17246530484855818,0.20555831504040337,0.1480019868290904,0.1,0.02,,,,DATA_INSUFFICIENT,data_confidence_low
20260601_103248,fixed_cost_0.05,0.05,0x70acdf2ad0bf2402c957154f944c19ef4e1cbae1,cbBTC/WETH,100,2h,high,high,,0.17246530484855818,0.20555831504040337,0.1480019868290904,0.1,0.05,,,,DATA_INSUFFICIENT,data_confidence_low
20260601_103248,fixed_cost_0.10,0.1,0x70acdf2ad0bf2402c957154f944c19ef4e1cbae1,cbBTC/WETH,100,2h,high,high,,0.17246530484855818,0.20555831504040337,0.1480019868290904,0.1,0.1,,,,DATA_INSUFFICIENT,data_confidence_low
20260601_103248,fixed_cost_0.20,0.2,0x70acdf2ad0bf2402c957154f944c19ef4e1cbae1,cbBTC/WETH,100,2h,high,high,,0.17246530484855818,0.20555831504040337,0.1480019868290904,0.1,0.2,,,,DATA_INSUFFICIENT,data_confidence_low
20260601_103248,fixed_cost_0.50,0.5,0x70acdf2ad0bf2402c957154f944c19ef4e1cbae1,cbBTC/WETH,100,2h,high,high,,0.17246530484855818,0.20555831504040337,0.1480019868290904,0.1,0.5,,,,DATA_INSUFFICIENT,data_confidence_low
20260601_103248,fixed_cost_0.00,0.0,0x70acdf2ad0bf2402c957154f944c19ef4e1cbae1,cbBTC/WETH,500,15m,low,high,,0.2764114388834616,6.036317268892817,4.346148433602829,0.1,0.0,,,,DATA_INSUFFICIENT,data_confidence_low
20260601_103248,fixed_cost_0.02,0.02,0x70acdf2ad0bf2402c957154f944c19ef4e1cbae1,cbBTC/WETH,500,15m,low,high,,0.2764114388834616,6.036317268892817,4.346148433602829,0.1,0.02,,,,DATA_INSUFFICIENT,data_confidence_low
20260601_103248,fixed_cost_0.05,0.05,0x70acdf2ad0bf2402c957154f944c19ef4e1cbae1,cbBTC/WETH,500,15m,low,high,,0.2764114388834616,6.036317268892817,4.346148433602829,0.1,0.05,,,,DATA_INSUFFICIENT,data_confidence_low
20260601_103248,fixed_cost_0.10,0.1,0x70acdf2ad0bf2402c957154f944c19ef4e1cbae1,cbBTC/WETH,500,15m,low,high,,0.2764114388834616,6.036317268892817,4.346148433602829,0.1,0.1,,,,DATA_INSUFFICIENT,data_confidence_low
20260601_103248,fixed_cost_0.20,0.2,0x70acdf2ad0bf2402c957154f944c19ef4e1cbae1,cbBTC/WETH,500,15m,low,high,,0.2764114388834616,6.036317268892817,4.346148433602829,0.1,0.2,,,,DATA_INSUFFICIENT,data_confidence_low
20260601_103248,fixed_cost_0.50,0.5,0x70acdf2ad0bf2402c957154f944c19ef4e1cbae1,cbBTC/WETH,500,15m,low,high,,0.2764114388834616,6.036317268892817,4.346148433602829,0.1,0.5,,,,DATA_INSUFFICIENT,data_confidence_low
20260601_103248,fixed_cost_0.00,0.0,0x70acdf2ad0bf2402c957154f944c19ef4e1cbae1,cbBTC/WETH,500,30m,low,high,,0.40002499341403136,6.036317268892817,4.346148433602829,0.1,0.0,,,,DATA_INSUFFICIENT,data_confidence_low
20260601_103248,fixed_cost_0.02,0.02,0x70acdf2ad0bf2402c957154f944c19ef4e1cbae1,cbBTC/WETH,500,30m,low,high,,0.40002499341403136,6.036317268892817,4.346148433602829,0.1,0.02,,,,DATA_INSUFFICIENT,data_confidence_low
20260601_103248,fixed_cost_0.05,0.05,0x70acdf2ad0bf2402c957154f944c19ef4e1cbae1,cbBTC/WETH,500,30m,low,high,,0.40002499341403136,6.036317268892817,4.346148433602829,0.1,0.05,,,,DATA_INSUFFICIENT,data_confidence_low
20260601_103248,fixed_cost_0.10,0.1,0x70acdf2ad0bf2402c957154f944c19ef4e1cbae1,cbBTC/WETH,500,30m,low,high,,0.40002499341403136,6.036317268892817,4.346148433602829,0.1,0.1,,,,DATA_INSUFFICIENT,data_confidence_low
20260601_103248,fixed_cost_0.20,0.2,0x70acdf2ad0bf2402c957154f944c19ef4e1cbae1,cbBTC/WETH,500,30m,low,high,,0.40002499341403136,6.036317268892817,4.346148433602829,0.1,0.2,,,,DATA_INSUFFICIENT,data_confidence_low
20260601_103248,fixed_cost_0.50,0.5,0x70acdf2ad0bf2402c957154f944c19ef4e1cbae1,cbBTC/WETH,500,30m,low,high,,0.40002499341403136,6.036317268892817,4.346148433602829,0.1,0.5,,,,DATA_INSUFFICIENT,data_confidence_low
20260601_103248,fixed_cost_0.00,0.0,0x70acdf2ad0bf2402c957154f944c19ef4e1cbae1,cbBTC/WETH,500,1h,low,high,,0.5839611464742873,6.036317268892817,4.346148433602829,0.1,0.0,,,,DATA_INSUFFICIENT,data_confidence_low
20260601_103248,fixed_cost_0.02,0.02,0x70acdf2ad0bf2402c957154f944c19ef4e1cbae1,cbBTC/WETH,500,1h,low,high,,0.5839611464742873,6.036317268892817,4.346148433602829,0.1,0.02,,,,DATA_INSUFFICIENT,data_confidence_low
20260601_103248,fixed_cost_0.05,0.05,0x70acdf2ad0bf2402c957154f944c19ef4e1cbae1,cbBTC/WETH,500,1h,low,high,,0.5839611464742873,6.036317268892817,4.346148433602829,0.1,0.05,,,,DATA_INSUFFICIENT,data_confidence_low
20260601_103248,fixed_cost_0.10,0.1,0x70acdf2ad0bf2402c957154f944c19ef4e1cbae1,cbBTC/WETH,500,1h,low,high,,0.5839611464742873,6.036317268892817,4.346148433602829,0.1,0.1,,,,DATA_INSUFFICIENT,data_confidence_low
20260601_103248,fixed_cost_0.20,0.2,0x70acdf2ad0bf2402c957154f944c19ef4e1cbae1,cbBTC/WETH,500,1h,low,high,,0.5839611464742873,6.036317268892817,4.346148433602829,0.1,0.2,,,,DATA_INSUFFICIENT,data_confidence_low
20260601_103248,fixed_cost_0.50,0.5,0x70acdf2ad0bf2402c957154f944c19ef4e1cbae1,cbBTC/WETH,500,1h,low,high,,0.5839611464742873,6.036317268892817,4.346148433602829,0.1,0.5,,,,DATA_INSUFFICIENT,data_confidence_low
20260601_103248,fixed_cost_0.00,0.0,0x70acdf2ad0bf2402c957154f944c19ef4e1cbae1,cbBTC/WETH,500,2h,low,high,,0.8623265242427909,6.036317268892817,4.346148433602829,0.1,0.0,,,,DATA_INSUFFICIENT,data_confidence_low
20260601_103248,fixed_cost_0.02,0.02,0x70acdf2ad0bf2402c957154f944c19ef4e1cbae1,cbBTC/WETH,500,2h,low,high,,0.8623265242427909,6.036317268892817,4.346148433602829,0.1,0.02,,,,DATA_INSUFFICIENT,data_confidence_low
20260601_103248,fixed_cost_0.05,0.05,0x70acdf2ad0bf2402c957154f944c19ef4e1cbae1,cbBTC/WETH,500,2h,low,high,,0.8623265242427909,6.036317268892817,4.346148433602829,0.1,0.05,,,,DATA_INSUFFICIENT,data_confidence_low
20260601_103248,fixed_cost_0.10,0.1,0x70acdf2ad0bf2402c957154f944c19ef4e1cbae1,cbBTC/WETH,500,2h,low,high,,0.8623265242427909,6.036317268892817,4.346148433602829,0.1,0.1,,,,DATA_INSUFFICIENT,data_confidence_low
20260601_103248,fixed_cost_0.20,0.2,0x70acdf2ad0bf2402c957154f944c19ef4e1cbae1,cbBTC/WETH,500,2h,low,high,,0.8623265242427909,6.036317268892817,4.346148433602829,0.1,0.2,,,,DATA_INSUFFICIENT,data_confidence_low
20260601_103248,fixed_cost_0.50,0.5,0x70acdf2ad0bf2402c957154f944c19ef4e1cbae1,cbBTC/WETH,500,2h,low,high,,0.8623265242427909,6.036317268892817,4.346148433602829,0.1,0.5,,,,DATA_INSUFFICIENT,data_confidence_low
20260601_103248,fixed_cost_0.00,0.0,0x70acdf2ad0bf2402c957154f944c19ef4e1cbae1,cbBTC/WETH,1000,15m,low,high,,0.5528228777669232,25.878258640995497,18.63234622151676,0.1,0.0,,,,DATA_INSUFFICIENT,data_confidence_low
20260601_103248,fixed_cost_0.02,0.02,0x70acdf2ad0bf2402c957154f944c19ef4e1cbae1,cbBTC/WETH,1000,15m,low,high,,0.5528228777669232,25.878258640995497,18.63234622151676,0.1,0.02,,,,DATA_INSUFFICIENT,data_confidence_low
20260601_103248,fixed_cost_0.05,0.05,0x70acdf2ad0bf2402c957154f944c19ef4e1cbae1,cbBTC/WETH,1000,15m,low,high,,0.5528228777669232,25.878258640995497,18.63234622151676,0.1,0.05,,,,DATA_INSUFFICIENT,data_confidence_low
20260601_103248,fixed_cost_0.10,0.1,0x70acdf2ad0bf2402c957154f944c19ef4e1cbae1,cbBTC/WETH,1000,15m,low,high,,0.5528228777669232,25.878258640995497,18.63234622151676,0.1,0.1,,,,DATA_INSUFFICIENT,data_confidence_low
20260601_103248,fixed_cost_0.20,0.2,0x70acdf2ad0bf2402c957154f944c19ef4e1cbae1,cbBTC/WETH,1000,15m,low,high,,0.5528228777669232,25.878258640995497,18.63234622151676,0.1,0.2,,,,DATA_INSUFFICIENT,data_confidence_low
20260601_103248,fixed_cost_0.50,0.5,0x70acdf2ad0bf2402c957154f944c19ef4e1cbae1,cbBTC/WETH,1000,15m,low,high,,0.5528228777669232,25.878258640995497,18.63234622151676,0.1,0.5,,,,DATA_INSUFFICIENT,data_confidence_low
20260601_103248,fixed_cost_0.00,0.0,0x70acdf2ad0bf2402c957154f944c19ef4e1cbae1,cbBTC/WETH,1000,30m,low,high,,0.8000499868280627,25.878258640995497,18.63234622151676,0.1,0.0,,,,DATA_INSUFFICIENT,data_confidence_low
20260601_103248,fixed_cost_0.02,0.02,0x70acdf2ad0bf2402c957154f944c19ef4e1cbae1,cbBTC/WETH,1000,30m,low,high,,0.8000499868280627,25.878258640995497,18.63234622151676,0.1,0.02,,,,DATA_INSUFFICIENT,data_confidence_low
20260601_103248,fixed_cost_0.05,0.05,0x70acdf2ad0bf2402c957154f944c19ef4e1cbae1,cbBTC/WETH,1000,30m,low,high,,0.8000499868280627,25.878258640995497,18.63234622151676,0.1,0.05,,,,DATA_INSUFFICIENT,data_confidence_low
20260601_103248,fixed_cost_0.10,0.1,0x70acdf2ad0bf2402c957154f944c19ef4e1cbae1,cbBTC/WETH,1000,30m,low,high,,0.8000499868280627,25.878258640995497,18.63234622151676,0.1,0.1,,,,DATA_INSUFFICIENT,data_confidence_low
20260601_103248,fixed_cost_0.20,0.2,0x70acdf2ad0bf2402c957154f944c19ef4e1cbae1,cbBTC/WETH,1000,30m,low,high,,0.8000499868280627,25.878258640995497,18.63234622151676,0.1,0.2,,,,DATA_INSUFFICIENT,data_confidence_low
20260601_103248,fixed_cost_0.50,0.5,0x70acdf2ad0bf2402c957154f944c19ef4e1cbae1,cbBTC/WETH,1000,30m,low,high,,0.8000499868280627,25.878258640995497,18.63234622151676,0.1,0.5,,,,DATA_INSUFFICIENT,data_confidence_low
20260601_103248,fixed_cost_0.00,0.0,0x70acdf2ad0bf2402c957154f944c19ef4e1cbae1,cbBTC/WETH,1000,1h,low,high,,1.1679222929485746,25.878258640995497,18.63234622151676,0.1,0.0,,,,DATA_INSUFFICIENT,data_confidence_low
20260601_103248,fixed_cost_0.02,0.02,0x70acdf2ad0bf2402c957154f944c19ef4e1cbae1,cbBTC/WETH,1000,1h,low,high,,1.1679222929485746,25.878258640995497,18.63234622151676,0.1,0.02,,,,DATA_INSUFFICIENT,data_confidence_low
