horizon,completed_current,completed_baseline,completed_delta,position_count_current,position_count_previous,position_count_delta,p10_current,p10_previous,p10_delta,p5_current,p5_previous,p5_delta,p1_current,p1_previous,p1_delta,top20_vs_bottom20_current,top20_vs_bottom20_previous
6h,39,42,-3,68,68,0,0.021267795342581053,0.021415741698675106,-0.00014794635609405304,5.3928536516423264e-05,7.133237845380336e-05,-1.7403841937380093e-05,-3.7968926830533434,-3.7968926830533434,0.0,worse,better
12h,38,40,-2,68,68,0,-7.496623900508085,-7.496623900508085,0.0,-7.732506535753577,-7.732506535753577,0.0,-8.218048987367093,-8.218048987367093,0.0,worse,worse
24h,8,8,0,68,68,0,0.007943368776594184,0.007943368776594184,0.0,0.007943368776594184,0.007943368776594184,0.0,0.007943368776594184,0.007943368776594184,0.0,worse,insufficient
