chain,chain_id,rpc_url,protocol,factory,npm,token_a_symbol,token_b_symbol,fee_tier,pool_address,pool_exists,metadata_ready,quote_ready,tick_ready,gas_ready,discovery_confidence,invalid_reason
Base,8453,https://mainnet.base.org,Uniswap V3,0x33128a8fC17869897dcE68Ed694621f6FDfD,0x03a520b32C04BF3bEEf7BEb72E919cf822Ed34f1,cbBTC,WETH,3000,0x0,False,False,False,False,True,0.0,"rpc_error: RuntimeError: eth_call err: {'code': -32602, 'message': 'Invalid params', 'data': 'invalid str"
Base,8453,https://mainnet.base.org,Uniswap V3,0x33128a8fC17869897dcE68Ed694621f6FDfD,0x03a520b32C04BF3bEEf7BEb72E919cf822Ed34f1,cbBTC,WETH,10000,0x0,False,False,False,False,True,0.0,"rpc_error: RuntimeError: eth_call err: {'code': -32602, 'message': 'Invalid params', 'data': 'invalid str"
Base,8453,https://mainnet.base.org,Uniswap V3,0x33128a8fC17869897dcE68Ed694621f6FDfD,0x03a520b32C04BF3bEEf7BEb72E919cf822Ed34f1,USDC,USDT,100,0x0,False,False,False,False,True,0.0,"rpc_error: RuntimeError: eth_call err: {'code': -32602, 'message': 'Invalid params', 'data': 'invalid str"
Base,8453,https://mainnet.base.org,Uniswap V3,0x33128a8fC17869897dcE68Ed694621f6FDfD,0x03a520b32C04BF3bEEf7BEb72E919cf822Ed34f1,USDC,USDT,500,0x0,False,False,False,False,True,0.0,"rpc_error: RuntimeError: eth_call err: {'code': -32602, 'message': 'Invalid params', 'data': 'invalid str"
Base,8453,https://mainnet.base.org,Uniswap V3,0x33128a8fC17869897dcE68Ed694621f6FDfD,0x03a520b32C04BF3bEEf7BEb72E919cf822Ed34f1,USDC,USDT,3000,0x0,False,False,False,False,True,0.0,"rpc_error: RuntimeError: eth_call err: {'code': -32602, 'message': 'Invalid params', 'data': 'invalid str"
Base,8453,https://mainnet.base.org,Uniswap V3,0x33128a8fC17869897dcE68Ed694621f6FDfD,0x03a520b32C04BF3bEEf7BEb72E919cf822Ed34f1,USDC,USDT,10000,0x0,False,False,False,False,True,0.0,"rpc_error: RuntimeError: eth_call err: {'code': -32602, 'message': 'Invalid params', 'data': 'invalid str"
Base,8453,https://mainnet.base.org,PancakeSwap V3,0x0BFbCF9fa4f9C56B0F40a671Ad40E0805A091865,0x46A15B0bda11dd51589E78B4F8b815a9D2887F5e,WETH,USDC,100,0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,True,True,True,True,True,0.95,
Base,8453,https://mainnet.base.org,PancakeSwap V3,0x0BFbCF9fa4f9C56B0F40a671Ad40E0805A091865,0x46A15B0bda11dd51589E78B4F8b815a9D2887F5e,WETH,USDC,500,0xb775272e537cc670c65dc852908ad47015244eaf,True,True,True,True,True,0.95,
Base,8453,https://mainnet.base.org,PancakeSwap V3,0x0BFbCF9fa4f9C56B0F40a671Ad40E0805A091865,0x46A15B0bda11dd51589E78B4F8b815a9D2887F5e,WETH,USDC,2500,0xe9d76696f8a35e2e2520e3125875c3af23f1e69c,True,True,True,True,True,0.95,
Base,8453,https://mainnet.base.org,PancakeSwap V3,0x0BFbCF9fa4f9C56B0F40a671Ad40E0805A091865,0x46A15B0bda11dd51589E78B4F8b815a9D2887F5e,WETH,USDC,10000,0x118efef7db0712f03e067122b8f89e7a4b79262f,True,True,True,True,True,0.95,
Base,8453,https://mainnet.base.org,PancakeSwap V3,0x0BFbCF9fa4f9C56B0F40a671Ad40E0805A091865,0x46A15B0bda11dd51589E78B4F8b815a9D2887F5e,WETH,USDT,100,0x526d54cd4fac2e6b2ddcb6bc98b9292603061f85,True,True,True,True,True,0.95,
Base,8453,https://mainnet.base.org,PancakeSwap V3,0x0BFbCF9fa4f9C56B0F40a671Ad40E0805A091865,0x46A15B0bda11dd51589E78B4F8b815a9D2887F5e,WETH,USDT,500,0xeed856fc13455fdd285f7431e5f246cc1f00b51e,True,True,True,True,True,0.95,
Base,8453,https://mainnet.base.org,PancakeSwap V3,0x0BFbCF9fa4f9C56B0F40a671Ad40E0805A091865,0x46A15B0bda11dd51589E78B4F8b815a9D2887F5e,WETH,USDT,2500,0xae601a5d46c803dcac8446e9dfb1438c1cd43195,True,True,True,True,True,0.95,
Base,8453,https://mainnet.base.org,PancakeSwap V3,0x0BFbCF9fa4f9C56B0F40a671Ad40E0805A091865,0x46A15B0bda11dd51589E78B4F8b815a9D2887F5e,WETH,USDT,10000,0x2d08491a464f66e3bd2c729e7496fbeb68ef5be0,True,True,True,True,True,0.95,
Base,8453,https://mainnet.base.org,PancakeSwap V3,0x0BFbCF9fa4f9C56B0F40a671Ad40E0805A091865,0x46A15B0bda11dd51589E78B4F8b815a9D2887F5e,WETH,DAI,100,0x88476f48939c802ea75eed438a3576efc202b5dd,True,True,True,True,True,0.95,
Base,8453,https://mainnet.base.org,PancakeSwap V3,0x0BFbCF9fa4f9C56B0F40a671Ad40E0805A091865,0x46A15B0bda11dd51589E78B4F8b815a9D2887F5e,WETH,DAI,500,0x9bfa331679b307cf358438f45f6413a205fd3ebf,True,True,True,True,True,0.95,
Base,8453,https://mainnet.base.org,PancakeSwap V3,0x0BFbCF9fa4f9C56B0F40a671Ad40E0805A091865,0x46A15B0bda11dd51589E78B4F8b815a9D2887F5e,WETH,DAI,2500,0x0,False,False,False,False,True,0.0,getPool_returned_zero
Base,8453,https://mainnet.base.org,PancakeSwap V3,0x0BFbCF9fa4f9C56B0F40a671Ad40E0805A091865,0x46A15B0bda11dd51589E78B4F8b815a9D2887F5e,WETH,DAI,10000,0x0,False,False,False,False,True,0.0,getPool_returned_zero
Base,8453,https://mainnet.base.org,PancakeSwap V3,0x0BFbCF9fa4f9C56B0F40a671Ad40E0805A091865,0x46A15B0bda11dd51589E78B4F8b815a9D2887F5e,cbBTC,USDC,100,0xb94b22332abf5f89877a14cc88f2abc48c34b3df,True,True,True,True,True,0.95,
Base,8453,https://mainnet.base.org,PancakeSwap V3,0x0BFbCF9fa4f9C56B0F40a671Ad40E0805A091865,0x46A15B0bda11dd51589E78B4F8b815a9D2887F5e,cbBTC,USDC,500,0x26e263efdc91f0d3279e2ec2bd58a7ca5c2fce62,True,True,True,True,True,0.95,
Base,8453,https://mainnet.base.org,PancakeSwap V3,0x0BFbCF9fa4f9C56B0F40a671Ad40E0805A091865,0x46A15B0bda11dd51589E78B4F8b815a9D2887F5e,cbBTC,USDC,2500,0x748bb91fc5f4200302d9a79185bc161260a1b461,True,True,True,True,True,0.95,
Base,8453,https://mainnet.base.org,PancakeSwap V3,0x0BFbCF9fa4f9C56B0F40a671Ad40E0805A091865,0x46A15B0bda11dd51589E78B4F8b815a9D2887F5e,cbBTC,USDC,10000,0xbd65764c8eb1b8858d323066f488b73f6fe22dc9,True,True,True,True,True,0.95,
Base,8453,https://mainnet.base.org,PancakeSwap V3,0x0BFbCF9fa4f9C56B0F40a671Ad40E0805A091865,0x46A15B0bda11dd51589E78B4F8b815a9D2887F5e,cbBTC,WETH,100,0xc211e1f853a898bd1302385ccde55f33a8c4b3f3,True,True,True,True,True,0.95,
Base,8453,https://mainnet.base.org,PancakeSwap V3,0x0BFbCF9fa4f9C56B0F40a671Ad40E0805A091865,0x46A15B0bda11dd51589E78B4F8b815a9D2887F5e,cbBTC,WETH,500,0xd974d59e30054cf1abeded0c9947b0d8baf90029,True,True,True,True,True,0.95,
Base,8453,https://mainnet.base.org,PancakeSwap V3,0x0BFbCF9fa4f9C56B0F40a671Ad40E0805A091865,0x46A15B0bda11dd51589E78B4F8b815a9D2887F5e,cbBTC,WETH,2500,0x5b3613ef9a535b48e82e2800acb77053dfec93b1,True,True,True,True,True,0.95,
Base,8453,https://mainnet.base.org,PancakeSwap V3,0x0BFbCF9fa4f9C56B0F40a671Ad40E0805A091865,0x46A15B0bda11dd51589E78B4F8b815a9D2887F5e,cbBTC,WETH,10000,0xa97c08bc49c246e583a3557f2922daa9e5d1b404,True,True,True,True,True,0.95,
Base,8453,https://mainnet.base.org,PancakeSwap V3,0x0BFbCF9fa4f9C56B0F40a671Ad40E0805A091865,0x46A15B0bda11dd51589E78B4F8b815a9D2887F5e,USDC,USDT,100,0x5f07bb9fee6062e9d09a52e6d587c64bad6ba706,True,True,True,True,True,0.95,
Base,8453,https://mainnet.base.org,PancakeSwap V3,0x0BFbCF9fa4f9C56B0F40a671Ad40E0805A091865,0x46A15B0bda11dd51589E78B4F8b815a9D2887F5e,USDC,USDT,500,0x2db0fff9f1afcef3a77e673dfba9883c036ebd53,True,True,True,True,True,0.95,
Base,8453,https://mainnet.base.org,PancakeSwap V3,0x0BFbCF9fa4f9C56B0F40a671Ad40E0805A091865,0x46A15B0bda11dd51589E78B4F8b815a9D2887F5e,USDC,USDT,2500,0x0,False,False,False,False,True,0.0,getPool_returned_zero
Base,8453,https://mainnet.base.org,PancakeSwap V3,0x0BFbCF9fa4f9C56B0F40a671Ad40E0805A091865,0x46A15B0bda11dd51589E78B4F8b815a9D2887F5e,USDC,USDT,10000,0x0bfff3a8f90fbdd39a5ddd1ee9eb2f9a11e79b86,True,True,True,True,True,0.95,
BSC,56,https://bsc-dataseed.binance.org,PancakeSwap V3,0x0BFbCF9fa4f9C56B0F40a671Ad40E0805A091865,0x46A15B0bda11dd51589E78B4F8b815a9D2887F5e,WBNB,USDT,100,0x172fcd41e0913e95784454622d1c3724f546f849,True,True,True,True,True,0.95,
BSC,56,https://bsc-dataseed.binance.org,PancakeSwap V3,0x0BFbCF9fa4f9C56B0F40a671Ad40E0805A091865,0x46A15B0bda11dd51589E78B4F8b815a9D2887F5e,WBNB,USDT,500,0x36696169c63e42cd08ce11f5deebbcebae652050,True,True,True,True,True,0.95,
BSC,56,https://bsc-dataseed.binance.org,PancakeSwap V3,0x0BFbCF9fa4f9C56B0F40a671Ad40E0805A091865,0x46A15B0bda11dd51589E78B4F8b815a9D2887F5e,WBNB,USDT,2500,0x1401ff943d08a7e098328c1d3a9d388923b115d2,True,True,True,True,True,0.95,
BSC,56,https://bsc-dataseed.binance.org,PancakeSwap V3,0x0BFbCF9fa4f9C56B0F40a671Ad40E0805A091865,0x46A15B0bda11dd51589E78B4F8b815a9D2887F5e,WBNB,USDT,10000,0x6805e0e5333c5c3accf2930be4734e2b98f4ce06,True,True,True,True,True,0.95,
