pool_id,token_pair,virtual_notional_usd,gross_fee_proxy_usd,il_lvr_proxy_usd,slippage_proxy_usd,fixed_cost_proxy_usd,exit_cost_proxy_usd,net_ev_proxy_usd,net_ev_proxy_pct,break_even_notional_usd,capacity_limit_usd,no_size_can_fix,ev_status,confidence,primary_blocker
0x4e962bb3889bf030368f56810a9c96b83cb3e778,cbBTC/USDC,20,0.0078099030021004665,0.00647126118311361,0.205608941507322,0.025,0.230608941507322,-0.45987924119565715,-0.02299396205978286,,3.8908853207703,yes,NO_SIZE_CAN_FIX,medium,variable_edge_non_positive
0x4e962bb3889bf030368f56810a9c96b83cb3e778,cbBTC/USDC,100,0.039049515010502335,0.03235630591556805,4.8970268259494585,0.04,4.9370268259494585,-9.867360442803982,-0.09867360442803981,,3.8908853207703,yes,NO_SIZE_CAN_FIX,medium,variable_edge_non_positive
0x4e962bb3889bf030368f56810a9c96b83cb3e778,cbBTC/USDC,500,0.19524757505251167,0.16178152957784023,143.80351186426077,0.08,143.88351186426078,-287.7335576830469,-0.5754671153660939,,3.8908853207703,yes,NO_SIZE_CAN_FIX,medium,variable_edge_non_positive
0x4e962bb3889bf030368f56810a9c96b83cb3e778,cbBTC/USDC,1000,0.39049515010502334,0.32356305915568045,616.4991513425507,0.12,616.6191513425507,-1233.171370594152,-1.233171370594152,,3.8908853207703,yes,NO_SIZE_CAN_FIX,medium,variable_edge_non_positive
0x4e962bb3889bf030368f56810a9c96b83cb3e778,cbBTC/USDC,2000,0.7809903002100467,0.6471261183113609,2642.9897203403675,0.18,2643.1697203403673,-5286.205576498836,-2.643102788249418,,3.8908853207703,yes,NO_SIZE_CAN_FIX,medium,variable_edge_non_positive
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,WETH/USDC,20,0.0090689720399381,0.0029778470529414755,0.23280209494618598,0.025,0.257802094946186,-0.5095130649053754,-0.02547565324526877,,3.4363951930283303,yes,NO_SIZE_CAN_FIX,low,variable_edge_non_positive
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,WETH/USDC,100,0.0453448601996905,0.014889235264707378,5.544691275248389,0.04,5.584691275248389,-11.138926925561794,-0.11138926925561794,,3.4363951930283303,yes,NO_SIZE_CAN_FIX,low,variable_edge_non_positive
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,WETH/USDC,500,0.22672430099845248,0.0744461763235369,162.82248513704062,0.08,162.90248513704063,-325.65269214940633,-0.6513053842988127,,3.4363951930283303,yes,NO_SIZE_CAN_FIX,low,variable_edge_non_positive
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,WETH/USDC,1000,0.45344860199690495,0.1488923526470738,698.0352746963606,0.12,698.1552746963606,-1396.0059931433714,-1.3960059931433713,,3.4363951930283303,yes,NO_SIZE_CAN_FIX,low,variable_edge_non_positive
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,WETH/USDC,2000,0.9068972039938099,0.2977847052941476,2992.542733335164,0.18,2992.722733335164,-5984.836354171628,-2.992418177085814,,3.4363951930283303,yes,NO_SIZE_CAN_FIX,low,variable_edge_non_positive
0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,WETH/USDC,20,0.0016406607882341663,0.0007965035603634707,0.21340255648563,0.025,0.23840255648563,-0.47596095574338926,-0.023798047787169464,,3.74878358148382,yes,NO_SIZE_CAN_FIX,low,variable_edge_non_positive
0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,WETH/USDC,100,0.008203303941170833,0.0039825178018173535,5.082648819526657,0.04,5.122648819526657,-10.24107685291396,-0.10241076852913959,,3.74878358148382,yes,NO_SIZE_CAN_FIX,low,variable_edge_non_positive
0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,WETH/USDC,500,0.04101651970585416,0.01991258900908677,149.25438961199927,0.08,149.33438961199928,-298.6476752933018,-0.5972953505866037,,3.74878358148382,yes,NO_SIZE_CAN_FIX,low,variable_edge_non_positive
0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,WETH/USDC,1000,0.08203303941170832,0.03982517801817354,639.8675758127737,0.12,639.9875758127737,-1279.9329437641538,-1.2799329437641538,,3.74878358148382,yes,NO_SIZE_CAN_FIX,low,variable_edge_non_positive
0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,WETH/USDC,2000,0.16406607882341664,0.07965035603634708,2743.172349174242,0.18,2743.3523491742417,-5486.620282625696,-2.743310141312848,,3.74878358148382,yes,NO_SIZE_CAN_FIX,low,variable_edge_non_positive
0x70acdf2ad0bf2402c957154f944c19ef4e1cbae1,cbBTC/WETH,20,0.0036823933074485666,0.005220145211660526,0.11645014952090421,0.025,0.1414501495209042,-0.28443805094602037,-0.014221902547301019,,6.8698962696806705,yes,NO_SIZE_CAN_FIX,low,variable_edge_non_positive
0x70acdf2ad0bf2402c957154f944c19ef4e1cbae1,cbBTC/WETH,100,0.018411966537242832,0.02610072605830263,2.773515110330859,0.04,2.813515110330859,-5.634718980182777,-0.05634718980182777,,6.8698962696806705,yes,NO_SIZE_CAN_FIX,low,variable_edge_non_positive
0x70acdf2ad0bf2402c957154f944c19ef4e1cbae1,cbBTC/WETH,500,0.09205983268621416,0.13050363029151316,81.44558468838711,0.08,81.52558468838711,-163.0896131743795,-0.326179226348759,,6.8698962696806705,yes,NO_SIZE_CAN_FIX,low,variable_edge_non_positive
