policy_name,window,horizon,raw_intent_rows,deduped_count,valid_lifecycle_count,invalid_count,compression_ratio,entry_valid_rate,future_mark_coverage,invalid_reason_distribution
pool_time_bucket_1h,last_72h,12h,16596,297,32,265,55.878787878787875,0.12121212121212122,0.10774410774410774,"{'position_join_missing': 261, 'no_future_pool_mark': 4}"
pool_time_bucket_1h,last_72h,24h,16596,297,28,269,55.878787878787875,0.12121212121212122,0.09427609427609428,"{'position_join_missing': 261, 'no_future_pool_mark': 8}"
pool_time_bucket_1h,last_7d,6h,36128,664,84,580,54.40963855421687,0.13253012048192772,0.12650602409638553,"{'position_join_missing': 576, 'no_future_pool_mark': 4}"
pool_time_bucket_1h,last_7d,12h,36128,664,84,580,54.40963855421687,0.13253012048192772,0.12650602409638553,"{'position_join_missing': 576, 'no_future_pool_mark': 4}"
pool_time_bucket_1h,last_7d,24h,36128,664,77,587,54.40963855421687,0.13253012048192772,0.11596385542168675,"{'position_join_missing': 576, 'no_future_pool_mark': 11}"
pool_time_bucket_2h,last_24h,6h,5764,52,2,50,110.84615384615384,0.07692307692307693,0.038461538461538464,"{'position_join_missing': 48, 'no_future_pool_mark': 2}"
pool_time_bucket_2h,last_24h,12h,5764,52,2,50,110.84615384615384,0.07692307692307693,0.038461538461538464,"{'position_join_missing': 48, 'no_future_pool_mark': 2}"
pool_time_bucket_2h,last_24h,24h,5764,52,0,52,110.84615384615384,0.07692307692307693,0.0,"{'position_join_missing': 48, 'no_future_pool_mark': 4}"
pool_time_bucket_2h,last_48h,6h,10892,102,10,92,106.7843137254902,0.11764705882352941,0.09803921568627451,"{'position_join_missing': 90, 'no_future_pool_mark': 2}"
pool_time_bucket_2h,last_48h,12h,10892,102,10,92,106.7843137254902,0.11764705882352941,0.09803921568627451,"{'position_join_missing': 90, 'no_future_pool_mark': 2}"
pool_time_bucket_2h,last_48h,24h,10892,102,8,94,106.7843137254902,0.11764705882352941,0.0784313725490196,"{'position_join_missing': 90, 'no_future_pool_mark': 4}"
pool_time_bucket_2h,last_72h,6h,16596,158,21,137,105.0379746835443,0.14556962025316456,0.13291139240506328,"{'position_join_missing': 135, 'no_future_pool_mark': 2}"
pool_time_bucket_2h,last_72h,12h,16596,158,21,137,105.0379746835443,0.14556962025316456,0.13291139240506328,"{'position_join_missing': 135, 'no_future_pool_mark': 2}"
pool_time_bucket_2h,last_72h,24h,16596,158,19,139,105.0379746835443,0.14556962025316456,0.12025316455696203,"{'position_join_missing': 135, 'no_future_pool_mark': 4}"
pool_time_bucket_2h,last_7d,6h,36128,361,53,308,100.07756232686981,0.1523545706371191,0.14681440443213298,"{'position_join_missing': 306, 'no_future_pool_mark': 2}"
pool_time_bucket_2h,last_7d,12h,36128,361,53,308,100.07756232686981,0.1523545706371191,0.14681440443213298,"{'position_join_missing': 306, 'no_future_pool_mark': 2}"
pool_time_bucket_2h,last_7d,24h,36128,361,49,312,100.07756232686981,0.1523545706371191,0.13573407202216067,"{'position_join_missing': 306, 'no_future_pool_mark': 6}"
pool_score_event_refined,last_24h,6h,5764,0,0,0,,,,{}
pool_score_event_refined,last_24h,12h,5764,0,0,0,,,,{}
pool_score_event_refined,last_24h,24h,5764,0,0,0,,,,{}
pool_score_event_refined,last_48h,6h,10892,0,0,0,,,,{}
pool_score_event_refined,last_48h,12h,10892,0,0,0,,,,{}
pool_score_event_refined,last_48h,24h,10892,0,0,0,,,,{}
pool_score_event_refined,last_72h,6h,16596,1,0,1,16596.0,0.0,0.0,{'position_join_missing': 1}
pool_score_event_refined,last_72h,12h,16596,1,0,1,16596.0,0.0,0.0,{'position_join_missing': 1}
pool_score_event_refined,last_72h,24h,16596,1,0,1,16596.0,0.0,0.0,{'position_join_missing': 1}
pool_score_event_refined,last_7d,6h,36128,14,7,7,2580.5714285714284,0.5,0.5,{'position_join_missing': 7}
pool_score_event_refined,last_7d,12h,36128,14,7,7,2580.5714285714284,0.5,0.5,{'position_join_missing': 7}
pool_score_event_refined,last_7d,24h,36128,14,5,9,2580.5714285714284,0.5,0.35714285714285715,"{'position_join_missing': 7, 'no_future_pool_mark': 2}"
position_reuse_session_refined,last_24h,6h,5764,24,4,20,240.16666666666666,0.3333333333333333,0.16666666666666666,"{'position_join_missing': 16, 'no_future_pool_mark': 4}"
position_reuse_session_refined,last_24h,12h,5764,24,4,20,240.16666666666666,0.3333333333333333,0.16666666666666666,"{'position_join_missing': 16, 'no_future_pool_mark': 4}"
position_reuse_session_refined,last_24h,24h,5764,24,0,24,240.16666666666666,0.3333333333333333,0.0,"{'position_join_missing': 16, 'no_future_pool_mark': 8}"
position_reuse_session_refined,last_48h,6h,10892,52,16,36,209.46153846153845,0.38461538461538464,0.3076923076923077,"{'position_join_missing': 32, 'no_future_pool_mark': 4}"
position_reuse_session_refined,last_48h,12h,10892,52,16,36,209.46153846153845,0.38461538461538464,0.3076923076923077,"{'position_join_missing': 32, 'no_future_pool_mark': 4}"
