pool_id,token_pair,protocol,source,seen_in_scanner,seen_in_shadow_trace,seen_in_position_marks,fee_bps,tvl_usd,vol24h_usd,volume_to_tvl,estimated_fee_apr,existing_tier_if_available,previously_hard_rejected
0x7c7420dd105e2779316423ba3e973f434315efa9,cbBTC / WETH 0.009%,aerodrome-slipstream-3,dexscreener_token_cbbtc;geckoterminal_pools,no,no,no,,218743.5967,5226169.8464,23.891762,,,no
0x12d76c5c8ec8edffd3c143995b0aa43fe44a6d71eb9113796272909e54b8e078,cbBTC/USDC,uniswap,dexscreener_token_cbbtc,no,no,no,,3792574.51,4795480.08,1.264439,,,no
0xd2192fca14cf782e6c32e4872c1c5c1aeecec8d1aa98529b8e8628f40f45092c,CASS / WETH 0.01%,uniswap-v4-base,geckoterminal_pools,no,no,no,,138175.0402,4764688.9499,34.482993,,,no
0xb4cb800910b228ed3d0834cf79d697127bbb00e5,WETH / USDC 0.01%,uniswap-v3-base,dexscreener_token_weth;geckoterminal_pools,no,no,no,,421045.5561,4441341.0132,10.548362,,,no
0xb775272e537cc670c65dc852908ad47015244eaf,WETH/USDC,pancakeswap,dexscreener_token_weth,no,no,no,,1923785.34,4412376.4,2.293591,,,no
0x7aea2e8a3843516afa07293a10ac8e49906dabd1,cbBTC/WETH,uniswap,dexscreener_token_cbbtc,no,no,no,,3437307.12,4385730.62,1.275921,,,no
0x0d01e3e996ffb83cf990b67b2df83d4e5eaeacdf1cb6fa67b6cccf1a2c94cc02,SAOS / WETH 0.01%,uniswap-v4-base,geckoterminal_pools,no,no,no,,118454.0081,4079944.4721,34.443279,,,no
0x1131db5977242a03ebead1acd18f80a9a29e5922,SOL/USDC,aerodrome,dexscreener_token_usdc,no,no,no,,400452.48,3878766.73,9.68596,,,no
0x31d7860963a8f9c3138a2fd84aa769b3119f17b38f1fc21b329a47fab2856dbd,SAOS / WETH 0.01%,uniswap-v4-base,geckoterminal_pools,no,no,no,,115679.4467,3731100.4351,32.253789,,,no
0x9d14ff91ae2c6e3d1a760542248b6c7f206894b0,cbBTC / USDC 0.021%,aerodrome-slipstream-3,dexscreener_token_cbbtc;geckoterminal_pools,no,no,no,,338608.0592,3615837.9621,10.678535,,,no
0xdeaaeaf48f3b02df130b6e1035c4740158ed9a8ece951edd7a2ac19d80742072,SAOS / WETH 0.01%,uniswap-v4-base,geckoterminal_pools,no,no,no,,89030.675,3599161.2571,40.426081,,,no
0x3f9b863ef4b295d6ba370215bcca3785fcc44f44,WETH / cbBTC 0.05%,hydrex-integral,dexscreener_token_cbbtc;geckoterminal_pools,no,no,no,,1568436.7822,3378402.6763,2.153994,,,no
0x4e392fbfe4d0557c82d2f97f02ec39daa31516dd,WETH / USDC 0.008%,aerodrome-slipstream-3,dexscreener_token_weth;geckoterminal_pools,no,no,no,,229670.0969,3114854.3972,13.562298,,,no
0x3e66e55e97ce60096f74b7c475e8249f2d31a9fb,cbBTC/USDC,aerodrome,dexscreener_token_cbbtc,no,no,no,,3763004.21,3002861.04,0.797996,,,no
0xf1cacd7e005b9337c58aae77bc88d93c635cdf4d,PLAY / USDC 0.01%,pancakeswap-v3-base,geckoterminal_pools,no,no,no,,686627.7191,2994159.3859,4.360674,,,no
0x2055cfc1624411a84b544ac3c68886810397c511888e31de60695b416a8a492e,Brain / WETH 0.01%,uniswap-v4-base,geckoterminal_pools,no,no,no,,99947.0219,2976208.6216,29.777862,,,no
0x8fe985a6a484e89af85189f7efc20de0183d0c3415bf2a9ceefa5a7d1af879e5,ETH / cbBTC 0.009%,uniswap-v4-base,dexscreener_token_cbbtc;geckoterminal_pools,no,no,no,,190455.4443,2903264.0068,15.243796,,,no
