pool_id,token_pair,reclassification,reason,exit_depth_status,top10_holder_pct,top1_trader_share,top5_trader_share,data_quality_status,previously_hard_rejected
0x7cb770d0513c30e0cb45e4899e4a2cbeed6f9830,0x0B3E328455C4059EEB9E3F84B5543F74E24E7E1B/0x833589FCD6EDB6E08F4C7C32D4F71B54BDA02913,REJECT,previously_hard_rejected,OK,46.4,,,partial,yes
0xe47f7dba68a00dc1a6f11458bcdfca810e1cfebf,0xAB6363DA0C80CEF3AE105BD6241E30872355D021/0x833589FCD6EDB6E08F4C7C32D4F71B54BDA02913,REJECT,previously_hard_rejected,OK,95.13,44.92,69.7,acceptable,yes
0xc9034c3e7f58003e6ae0c8438e7c8f4598d5acaa,0x4ED4E862860BED51A9570B96D89AF5E1B0EFEFED/0x4200000000000000000000000000000000000006,REJECT,previously_hard_rejected,OK,60.46,31.57,58.02,partial,yes
0x82dbe18346a8656dbb5e76f74bf3ae279cc16b29,0x4200000000000000000000000000000000000006/0x833589FCD6EDB6E08F4C7C32D4F71B54BDA02913,REJECT,previously_hard_rejected,OK,54.38,,,partial,yes
0x3c4384f3664b37a3cb5a5cb3452b4b4a3aa1256f,0x9126236476EFBA9AD8AB77855C60EB5BF37586EB/0x833589FCD6EDB6E08F4C7C32D4F71B54BDA02913,REJECT,previously_hard_rejected,OK,91.39,41.93,75.77,partial,yes
0xdc5a40b5be693afb1864c558da73e7d51b70579e53689cb3a41f85e6cdd6a7f6,0x832B55B0FA6397CA9E63B8C15DADEF3F6E44614C/0x0000000000000000000000000000000000000000,REJECT,previously_hard_rejected,OK,82.96,,,partial,yes
0x8a8e4170c09074b109352190d47e54d7c1f61e4e,PROS / USDC 0.01%,WATCH_DATA_MISSING,trader_concentration_missing,OK,24.9,,,partial,no
0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,WETH / USDC 0.01%,WATCH_DATA_MISSING,trader_concentration_missing,OK,54.38,,,partial,no
0x24bddff0577d1ee32f92a0b92296ca9702611c6a,PROS / USDC,WATCH_DATA_MISSING,trader_concentration_missing,OK,24.9,,,partial,no
0x4e962bb3889bf030368f56810a9c96b83cb3e778,cbBTC / USDC 0.05%,WATCH_DATA_MISSING,trader_concentration_missing,OK,89.86,,,partial,no
0x0ab02e160f0df68dc049b012c514857306960eae,CTR / USDC 0.015%,WATCH_DATA_MISSING,trader_concentration_missing,OK,24.9,,,partial,no
0x3f0296bf652e19bca772ec3df08b32732f93014a,VIRTUAL / WETH 0.05%,WATCH_DATA_MISSING,trader_concentration_missing,OK,54.38,,,partial,no
0xf6e81e5d16a7274d273905e0068f9f607b840c20bec23b2e442976ee03b29d91,ETH / USDC 0.005%,WATCH_DATA_MISSING,trader_concentration_missing,OK,24.9,,,partial,no
0xb4cb800910b228ed3d0834cf79d697127bbb00e5,WETH / USDC 0.01%,WATCH_DATA_MISSING,trader_concentration_missing,OK,54.38,,,partial,no
