pool,pool_name,size_usd,range_pct,hold_hours,l_factor,l_pos_share_of_pool,in_range_fraction,replay_fee_usd,proxy_fee_usd_r2_model,capture_ratio_replay_vs_proxy,il_estimate_usd,gas_usd,net_pnl_usd,signal_noise_ratio,recommendation
0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,PancakeSwap V3 WETH/USDC 0.01%,10,5,1,1721.74,0.004380,0.90,0.7386,0.0005,1435.1444,0.0333,0.0795,0.6258,42.3179,GO
0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,PancakeSwap V3 WETH/USDC 0.01%,10,5,6,1721.74,0.004380,0.85,4.1856,0.0031,1355.4141,0.2000,0.0795,3.9061,39.8558,GO
0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,PancakeSwap V3 WETH/USDC 0.01%,10,5,24,1721.74,0.004380,0.80,15.7575,0.0124,1275.6839,0.8000,0.0795,14.8780,37.3937,GO
0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,PancakeSwap V3 WETH/USDC 0.01%,10,10,1,461.74,0.001175,0.99,0.2179,0.0005,423.3653,0.0083,0.0795,0.1301,50.2948,GO
0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,PancakeSwap V3 WETH/USDC 0.01%,10,10,6,461.74,0.001175,0.95,1.2545,0.0031,406.2597,0.0500,0.0795,1.1250,48.1819,GO
0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,PancakeSwap V3 WETH/USDC 0.01%,10,10,24,461.74,0.001175,0.90,4.7541,0.0124,384.8776,0.2000,0.0795,4.4746,45.5407,GO
0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,PancakeSwap V3 WETH/USDC 0.01%,10,15,1,219.51,0.000558,0.99,0.1036,0.0005,201.2677,0.0037,0.0795,0.0204,53.9371,GO
0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,PancakeSwap V3 WETH/USDC 0.01%,10,15,6,219.51,0.000558,0.99,0.6215,0.0031,201.2677,0.0222,0.0795,0.5198,53.9371,GO
0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,PancakeSwap V3 WETH/USDC 0.01%,10,15,24,219.51,0.000558,0.94,2.3605,0.0124,191.1027,0.0889,0.0795,2.1921,51.1120,GO
0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,PancakeSwap V3 WETH/USDC 0.01%,25,5,1,1721.74,0.010949,0.90,1.8466,0.0013,1435.1444,0.0833,0.0795,1.6837,42.3179,GO
0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,PancakeSwap V3 WETH/USDC 0.01%,25,5,6,1721.74,0.010949,0.85,10.4639,0.0077,1355.4141,0.5000,0.0795,9.8844,39.8558,GO
0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,PancakeSwap V3 WETH/USDC 0.01%,25,5,24,1721.74,0.010949,0.80,39.3937,0.0309,1275.6839,2.0000,0.0795,37.3142,37.3937,GO
0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,PancakeSwap V3 WETH/USDC 0.01%,25,10,1,461.74,0.002936,0.99,0.5447,0.0013,423.3653,0.0208,0.0795,0.4444,50.2948,GO
0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,PancakeSwap V3 WETH/USDC 0.01%,25,10,6,461.74,0.002936,0.95,3.1364,0.0077,406.2597,0.1250,0.0795,2.9319,48.1819,GO
0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,PancakeSwap V3 WETH/USDC 0.01%,25,10,24,461.74,0.002936,0.90,11.8852,0.0309,384.8776,0.5000,0.0795,11.3057,45.5407,GO
0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,PancakeSwap V3 WETH/USDC 0.01%,25,15,1,219.51,0.001396,0.99,0.2590,0.0013,201.2677,0.0093,0.0795,0.1702,53.9371,GO
0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,PancakeSwap V3 WETH/USDC 0.01%,25,15,6,219.51,0.001396,0.99,1.5538,0.0077,201.2677,0.0556,0.0795,1.4188,53.9371,GO
0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,PancakeSwap V3 WETH/USDC 0.01%,25,15,24,219.51,0.001396,0.94,5.9013,0.0309,191.1027,0.2222,0.0795,5.5996,51.1120,GO
0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,PancakeSwap V3 WETH/USDC 0.01%,50,5,1,1721.74,0.021898,0.90,3.6932,0.0026,1435.1444,0.1667,0.0795,3.4470,42.3179,GO
0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,PancakeSwap V3 WETH/USDC 0.01%,50,5,6,1721.74,0.021898,0.85,20.9279,0.0154,1355.4141,1.0000,0.0795,19.8484,39.8558,GO
0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,PancakeSwap V3 WETH/USDC 0.01%,50,5,24,1721.74,0.021898,0.80,78.7873,0.0618,1275.6839,4.0000,0.0795,74.7078,37.3937,GO
0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,PancakeSwap V3 WETH/USDC 0.01%,50,10,1,461.74,0.005873,0.99,1.0895,0.0026,423.3653,0.0417,0.0795,0.9683,50.2948,GO
0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,PancakeSwap V3 WETH/USDC 0.01%,50,10,6,461.74,0.005873,0.95,6.2727,0.0154,406.2597,0.2500,0.0795,5.9432,48.1819,GO
0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,PancakeSwap V3 WETH/USDC 0.01%,50,10,24,461.74,0.005873,0.90,23.7704,0.0618,384.8776,1.0000,0.0795,22.6909,45.5407,GO
0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,PancakeSwap V3 WETH/USDC 0.01%,50,15,1,219.51,0.002792,0.99,0.5179,0.0026,201.2677,0.0185,0.0795,0.4199,53.9371,GO
0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,PancakeSwap V3 WETH/USDC 0.01%,50,15,6,219.51,0.002792,0.99,3.1076,0.0154,201.2677,0.1111,0.0795,2.9170,53.9371,GO
0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,PancakeSwap V3 WETH/USDC 0.01%,50,15,24,219.51,0.002792,0.94,11.8027,0.0618,191.1027,0.4444,0.0795,11.2787,51.1120,GO
0xb775272e537cc670c65dc852908ad47015244eaf,PancakeSwap V3 WETH/USDC 0.05%,10,5,1,1721.74,0.013124,0.90,0.6746,0.0009,727.4019,0.0333,0.0795,0.5617,38.4739,GO
0xb775272e537cc670c65dc852908ad47015244eaf,PancakeSwap V3 WETH/USDC 0.05%,10,5,6,1721.74,0.013124,0.85,3.8225,0.0056,686.9907,0.2000,0.0795,3.5430,36.2253,GO
0xb775272e537cc670c65dc852908ad47015244eaf,PancakeSwap V3 WETH/USDC 0.05%,10,5,24,1721.74,0.013124,0.80,14.3907,0.0223,646.5795,0.8000,0.0795,13.5112,33.9768,GO
0xb775272e537cc670c65dc852908ad47015244eaf,PancakeSwap V3 WETH/USDC 0.05%,10,10,1,461.74,0.003519,0.99,0.1990,0.0009,214.5824,0.0083,0.0795,0.1112,45.7589,GO
0xb775272e537cc670c65dc852908ad47015244eaf,PancakeSwap V3 WETH/USDC 0.05%,10,10,6,461.74,0.003519,0.95,1.1457,0.0056,205.9124,0.0500,0.0795,1.0162,43.8293,GO
0xb775272e537cc670c65dc852908ad47015244eaf,PancakeSwap V3 WETH/USDC 0.05%,10,10,24,461.74,0.003519,0.90,4.3417,0.0223,195.0749,0.2000,0.0795,4.0622,41.4172,GO
0xb775272e537cc670c65dc852908ad47015244eaf,PancakeSwap V3 WETH/USDC 0.05%,10,15,1,219.51,0.001673,0.99,0.0946,0.0009,102.0124,0.0037,0.0795,0.0114,49.0853,GO
0xb775272e537cc670c65dc852908ad47015244eaf,PancakeSwap V3 WETH/USDC 0.05%,10,15,6,219.51,0.001673,0.99,0.5676,0.0056,102.0124,0.0222,0.0795,0.4659,49.0853,GO
0xb775272e537cc670c65dc852908ad47015244eaf,PancakeSwap V3 WETH/USDC 0.05%,10,15,24,219.51,0.001673,0.94,2.1558,0.0223,96.8602,0.0889,0.0795,1.9874,46.5052,GO
0xb775272e537cc670c65dc852908ad47015244eaf,PancakeSwap V3 WETH/USDC 0.05%,25,5,1,1721.74,0.032809,0.90,1.6864,0.0023,727.4019,0.0833,0.0795,1.5236,38.4739,GO
0xb775272e537cc670c65dc852908ad47015244eaf,PancakeSwap V3 WETH/USDC 0.05%,25,5,6,1721.74,0.032809,0.85,9.5563,0.0139,686.9907,0.5000,0.0795,8.9768,36.2253,GO
0xb775272e537cc670c65dc852908ad47015244eaf,PancakeSwap V3 WETH/USDC 0.05%,25,5,24,1721.74,0.032809,0.80,35.9768,0.0556,646.5795,2.0000,0.0795,33.8973,33.9768,GO
0xb775272e537cc670c65dc852908ad47015244eaf,PancakeSwap V3 WETH/USDC 0.05%,25,10,1,461.74,0.008799,0.99,0.4975,0.0023,214.5824,0.0208,0.0795,0.3972,45.7589,GO
0xb775272e537cc670c65dc852908ad47015244eaf,PancakeSwap V3 WETH/USDC 0.05%,25,10,6,461.74,0.008799,0.95,2.8643,0.0139,205.9124,0.1250,0.0795,2.6598,43.8293,GO
0xb775272e537cc670c65dc852908ad47015244eaf,PancakeSwap V3 WETH/USDC 0.05%,25,10,24,461.74,0.008799,0.90,10.8543,0.0556,195.0749,0.5000,0.0795,10.2748,41.4172,GO
0xb775272e537cc670c65dc852908ad47015244eaf,PancakeSwap V3 WETH/USDC 0.05%,25,15,1,219.51,0.004183,0.99,0.2365,0.0023,102.0124,0.0093,0.0795,0.1477,49.0853,GO
0xb775272e537cc670c65dc852908ad47015244eaf,PancakeSwap V3 WETH/USDC 0.05%,25,15,6,219.51,0.004183,0.99,1.4190,0.0139,102.0124,0.0556,0.0795,1.2840,49.0853,GO
0xb775272e537cc670c65dc852908ad47015244eaf,PancakeSwap V3 WETH/USDC 0.05%,25,15,24,219.51,0.004183,0.94,5.3895,0.0556,96.8602,0.2222,0.0795,5.0877,46.5052,GO
0xb775272e537cc670c65dc852908ad47015244eaf,PancakeSwap V3 WETH/USDC 0.05%,50,5,1,1721.74,0.065618,0.90,3.3728,0.0046,727.4019,0.1667,0.0795,3.1267,38.4739,GO
0xb775272e537cc670c65dc852908ad47015244eaf,PancakeSwap V3 WETH/USDC 0.05%,50,5,6,1721.74,0.065618,0.85,19.1127,0.0278,686.9907,1.0000,0.0795,18.0332,36.2253,GO
0xb775272e537cc670c65dc852908ad47015244eaf,PancakeSwap V3 WETH/USDC 0.05%,50,5,24,1721.74,0.065618,0.80,71.9536,0.1113,646.5795,4.0000,0.0795,67.8741,33.9768,GO
0xb775272e537cc670c65dc852908ad47015244eaf,PancakeSwap V3 WETH/USDC 0.05%,50,10,1,461.74,0.017597,0.99,0.9950,0.0046,214.5824,0.0417,0.0795,0.8738,45.7589,GO
0xb775272e537cc670c65dc852908ad47015244eaf,PancakeSwap V3 WETH/USDC 0.05%,50,10,6,461.74,0.017597,0.95,5.7287,0.0278,205.9124,0.2500,0.0795,5.3992,43.8293,GO
0xb775272e537cc670c65dc852908ad47015244eaf,PancakeSwap V3 WETH/USDC 0.05%,50,10,24,461.74,0.017597,0.90,21.7086,0.1113,195.0749,1.0000,0.0795,20.6291,41.4172,GO
0xb775272e537cc670c65dc852908ad47015244eaf,PancakeSwap V3 WETH/USDC 0.05%,50,15,1,219.51,0.008366,0.99,0.4730,0.0046,102.0124,0.0185,0.0795,0.3750,49.0853,GO
0xb775272e537cc670c65dc852908ad47015244eaf,PancakeSwap V3 WETH/USDC 0.05%,50,15,6,219.51,0.008366,0.99,2.8381,0.0278,102.0124,0.1111,0.0795,2.6475,49.0853,GO
0xb775272e537cc670c65dc852908ad47015244eaf,PancakeSwap V3 WETH/USDC 0.05%,50,15,24,219.51,0.008366,0.94,10.7789,0.1113,96.8602,0.4444,0.0795,10.2550,46.5052,GO
