pool,block,tx,amount0_raw,amount0_human,amount1_raw,amount1_human,sqrtPriceX96,liquidity,tick,fee_zto,fee_otz,abi
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,47222987,0xe7b9d074aa5d97a6d7484a92de9b727fc2566fb87cf940c96dbc12364adacec1,-885970716379479700,-0.885971,1481699142,1481.6991,3239974728291713167665589,1660729552185814470,115792089237316195423570985008687907853269984665640564039457584007913112660619,,,v3_standard
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,47222987,0x6cb6b7dd8bebc99bda4f20419694971fd0127efe6df313189a2b156d854142d8,-350162819379945603,-0.350163,585630803,585.6308,3240002665211636826381086,1660729552185814470,115792089237316195423570985008687907853269984665640564039457584007913112660619,,,v3_standard
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,47222987,0x9a7dba33bd8630bb6fac46acb82dcd989876d60ae9ed9fc7d8c8d9a085ae031c,99465122562567804,0.099465,-166331792,-166.3318,3239994730047082290392008,1660729552185814470,115792089237316195423570985008687907853269984665640564039457584007913112660619,,,v3_standard
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,47222988,0x7bf9be8ac7a170c6f3a0b6b4d3fe25cdb14205cfd42309874c7275b73d4b877b,842958938388890880,0.842959,-1409615892,-1409.6159,3239927481724258739648284,1660729552185814470,115792089237316195423570985008687907853269984665640564039457584007913112660619,,,v3_standard
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,47222988,0x272bfd784bf575b627bbe5f58e63a4f3d3c8dd6c43315a4497fb810f4cd20e6f,1638750000000000000,1.638750,-2740189101,-2740.1891,3239796755955493944874721,1660729552185814470,115792089237316195423570985008687907853269984665640564039457584007913112660618,,,v3_standard
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,47222989,0x65661e981da1dfa908d30c564b2378abe9e416de58bfee97c6c19742eee9c109,3935669668747503104,3.935670,-6580240014,-6580.2400,3239593767032993615276755,2568319092503678434,115792089237316195423570985008687907853269984665640564039457584007913112660617,,,v3_standard
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,47222991,0xa919e6f09b0d738ff6e2cc43ae3f39a7f6773b5823895e9700ea73c187a130fd,3014189466476318720,3.014189,-5039014315,-5039.0143,3239438322234006886201189,2568319092502273204,115792089237316195423570985008687907853269984665640564039457584007913112660616,,,v3_standard
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,47222993,0xc96acd431c0e548357b82bb5c5fc0b20d77d9bb030e4d64c2a556d39935250d2,4646505996293895168,4.646506,-7766915576,-7766.9156,3239198726441051379359131,2568319092501348603,115792089237316195423570985008687907853269984665640564039457584007913112660614,,,v3_standard
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,47222994,0xea8abd3da3e3fce824e51dde7df5acc5b73d30c85b6e9ce16f7164b8fa819981,1665000000000000000,1.665000,-2782868519,-2782.8685,3239112879803095327833458,2568319092495220286,115792089237316195423570985008687907853269984665640564039457584007913112660614,,,v3_standard
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,47222995,0x8b5978eb9dbf88d612227f16ed73717656383bbe976380933c5ff8a3d197ba86,724415801725073920,0.724416,-1210729461,-1210.7295,3239055119723833682176727,1660729552185814470,115792089237316195423570985008687907853269984665640564039457584007913112660613,,,v3_standard
