pool_address,protocol,name,token0_symbol,token1_symbol,fee_tier_bps,tvl_usd,volume_usd_h24,fee_per_dollar_per_day,il_pct_per_day,gas_cycle_usd,min_viable_size_usdc,min_viable_hours,expected_net_at_mvs,expected_fee_at_mvs,expected_il_at_mvs,passes_gas_at_10usdc_24h,passes_gas_at_50usdc_24h,passes_gas_at_50usdc_7d
0x8a8e4170c09074b109352190d47e54d7c1f61e4e,aerodrome-slipstream,PROS / USDC 0.01%,PROS,USDC,1,887321.9866,2721535.17827276,0.00030671,0.000825,0.3,,,,,,False,False,False
0x2fbe93bf7177596c5d04675bdcef7bacaf98bd954dc26829fcda39f122239459,uniswap-v4-base,ETH / cbBTC 0.05%,ETH,cbBTC,5,1466316.6572,2646265.7936622,0.00090235,0.004248,0.3,,,,,,False,False,False
0x9785ef59e2b499fb741674ecf6faf912df7b3c1b,aerodrome-slipstream,USDT / WETH 0.05%,USDT,WETH,5,180725.4906,2550144.55030591,0.0070553,3.6e-05,0.3,10.0,168,0.191351,0.493871,0.00252,False,True,True
0xa135b59fe221c0c8d441294f97f96fbc37bc9fbe,aerodrome-slipstream,VVV / WETH 0.3%,VVV,WETH,30,682446.3327,2495281.31668222,0.01096913,0.028833,0.3,,,,,,False,False,False
0x29183f918920a2aef0115a9c7374945589968aea,uniswap-v3-base,SOSO / USDC 0.01%,SOSO,USDC,1,293957.3945,2171379.5375897,0.00073867,0.002493,0.3,,,,,,False,False,False
0xc9034c3e7f58003e6ae0c8438e7c8f4598d5acaa,uniswap-v3-base,DEGEN / WETH 0.3%,DEGEN,WETH,30,1446479.6401,2084781.32743288,0.00432384,0.075774,0.3,,,,,,False,False,False
0x4e829f8a5213c42535ab84aa40bd4adcce9cba02,aerodrome-slipstream,BRETT / WETH 1%,BRETT,WETH,100,762034.1661,1821323.37604357,0.02390081,0.00531,0.3,3.0,168,0.090407,0.501917,0.11151,False,True,True
0x8c7080564b5a792a33ef2fd473fba6364d5495e5,uniswap-v3-base,cbBTC / WETH 0.3%,cbBTC,WETH,30,9219108.8647,1767479.9373317,0.00057516,0.006435,0.3,,,,,,False,False,False
0x4e506648d493c8870f55e870480f92f2f33ece51,aerodrome-slipstream,AERO / WETH 0.3%,AERO,WETH,30,1167466.2654,1759795.40912487,0.00452209,0.011454,0.3,,,,,,False,False,False
0xe070797535b13431808f8fc81fdbe7b41362960ed0b55bc2b6117c49c51b7eb9,uniswap-v4-base,ETH / USDC 0.3%,ETH,USDC,30,3406350.0561,1651299.85232979,0.00145431,0.00414,0.3,,,,,,False,False,False
0xec558e484cc9f2210714e345298fdc53b253c27d,uniswap-v3-base,cbBTC / USDC 0.3%,cbBTC,USDC,30,4782323.1899,1624769.39256416,0.00101923,0.00612,0.3,,,,,,False,False,False
0x9c087eb773291e50cf6c6a90ef0f4500e349b903,uniswap-v3-base,VIRTUAL / WETH 0.05%,VIRTUAL,WETH,5,417938.1535,1339287.17946538,0.00160226,0.000789,0.3,,,,,,False,False,False
0x3c4384f3664b37a3cb5a5cb3452b4b4a3aa1256f,aerodrome-slipstream,CHECK / USDC 0.25%,CHECK,USDC,25,880663.3203,1156417.43907325,0.0032828,0.00186,0.3,50.0,168,0.197981,1.148981,0.651,False,False,True
0x1ca42c7219f0cb1b67927e26502320cb98f725bd,pancakeswap-v3-base,EURC / USDC 0.01%,EURC,USDC,1,192525.8035,1129447.83535107,0.00058665,0.000285,0.3,,,,,,False,False,False
0xd364eb55e17700b54bd75feb3f14582ed7a29444,uniswap-v3-base,MAG7.ssi / USDC 0.3%,MAG7.ssi,USDC,30,5118607.2579,1094324.81619562,0.00064138,0.004185,0.3,,,,,,False,False,False
0x8bb9eaf3c5a906d20c4cc10ea2f73a3ac2d5d41a,aerodrome-slipstream,cbETH / cbBTC 0.05%,cbETH,cbBTC,5,474046.9984,1028586.03164684,0.0010849,0.003954,0.3,,,,,,False,False,False
0x0ba69825c4c033e72309f6ac0bde0023b15cc97c,hydrex-integral,USDC / cbBTC 0.05%,USDC,cbBTC,5,303678.1336,983938.884962332,0.00162004,0.001359,0.3,,,,,,False,False,False
