run_id,pool_id,token_pair,virtual_notional_usd,horizon,old_total_cost_usd,new_total_cost_usd,old_net_ev_proxy_usd,new_net_ev_proxy_usd,delta_ev,confidence,status,primary_blocker,created_at
20260601_141103,0xc211e1f853a898bd1302385ccde55f33a8c4b3f3,cbBTC/WETH,20.0,30m,0.11204,20.594857318669757,-0.13765818653831496,-20.62047550520807,-20.482817318669756,medium,NEGATIVE_PROXY,fixed_cost_too_high,1780323356
20260601_141103,0xc211e1f853a898bd1302385ccde55f33a8c4b3f3,cbBTC/WETH,20.0,1h,0.11204,20.594857318669757,-0.14590461051330372,-20.62872192918306,-20.48281731866976,medium,NEGATIVE_PROXY,fixed_cost_too_high,1780323356
20260601_141103,0xc211e1f853a898bd1302385ccde55f33a8c4b3f3,cbBTC/WETH,20.0,2h,0.11204,20.594857318669757,-0.158515547306211,-20.64133286597597,-20.482817318669756,medium,NEGATIVE_PROXY,fixed_cost_too_high,1780323356
20260601_141103,0xc211e1f853a898bd1302385ccde55f33a8c4b3f3,cbBTC/WETH,100.0,15m,0.4535603018694938,100.63058469179954,-0.5541728603657767,-100.73119725029582,-100.17702438993004,medium,NEGATIVE_PROXY,fee_too_low,1780323356
20260601_141103,0xc211e1f853a898bd1302385ccde55f33a8c4b3f3,cbBTC/WETH,100.0,30m,0.4535603018694938,100.63058469179954,-0.5816512345610686,-100.75867562449112,-100.17702438993005,medium,NEGATIVE_PROXY,fee_too_low,1780323356
20260601_141103,0xc211e1f853a898bd1302385ccde55f33a8c4b3f3,cbBTC/WETH,100.0,1h,0.4535603018694938,100.63058469179954,-0.6228833544360123,-100.79990774436605,-100.17702438993004,medium,NEGATIVE_PROXY,fee_too_low,1780323356
20260601_141103,0xc211e1f853a898bd1302385ccde55f33a8c4b3f3,cbBTC/WETH,100.0,2h,0.4535603018694938,100.63058469179954,-0.6859380384005487,-100.86296242833059,-100.17702438993004,medium,NEGATIVE_PROXY,fee_too_low,1780323356
20260601_141103,0xc211e1f853a898bd1302385ccde55f33a8c4b3f3,cbBTC/WETH,500.0,15m,10.482465702495645,500.66570673145054,-10.985528494977059,-501.1687695239319,-490.18324102895485,low,NEGATIVE_PROXY,data_confidence_low,1780323356
20260601_141103,0xc211e1f853a898bd1302385ccde55f33a8c4b3f3,cbBTC/WETH,500.0,30m,10.482465702495645,500.66570673145054,-11.12292036595352,-501.30616139490843,-490.1832410289549,low,NEGATIVE_PROXY,data_confidence_low,1780323356
20260601_141103,0xc211e1f853a898bd1302385ccde55f33a8c4b3f3,cbBTC/WETH,500.0,1h,10.482465702495645,500.66570673145054,-11.329080965328238,-501.5123219942831,-490.1832410289549,low,NEGATIVE_PROXY,data_confidence_low,1780323356
20260601_141103,0xc211e1f853a898bd1302385ccde55f33a8c4b3f3,cbBTC/WETH,500.0,2h,10.482465702495645,500.66570673145054,-11.64435438515092,-501.8275954141058,-490.1832410289549,low,NEGATIVE_PROXY,data_confidence_low,1780323356
20260601_141103,0xc211e1f853a898bd1302385ccde55f33a8c4b3f3,cbBTC/WETH,1000.0,15m,44.610604862512254,1000.6801346990331,-45.616730447475085,-1001.6862602839959,-956.0695298365208,low,NEGATIVE_PROXY,capacity_too_low,1780323356
20260601_141103,0xc211e1f853a898bd1302385ccde55f33a8c4b3f3,cbBTC/WETH,1000.0,30m,44.610604862512254,1000.6801346990331,-45.891514189428,-1001.9610440259489,-956.0695298365209,low,NEGATIVE_PROXY,capacity_too_low,1780323356
20260601_141103,0xc211e1f853a898bd1302385ccde55f33a8c4b3f3,cbBTC/WETH,1000.0,1h,44.610604862512254,1000.6801346990331,-46.30383538817744,-1002.3733652246983,-956.0695298365209,low,NEGATIVE_PROXY,capacity_too_low,1780323356
20260601_141103,0xc211e1f853a898bd1302385ccde55f33a8c4b3f3,cbBTC/WETH,1000.0,2h,44.610604862512254,1000.6801346990331,-46.9343822278228,-1003.0039120643437,-956.0695298365209,low,NEGATIVE_PROXY,capacity_too_low,1780323356
20260601_141103,0xc211e1f853a898bd1302385ccde55f33a8c4b3f3,cbBTC/WETH,2000.0,15m,190.92114037231815,2000.6932317210385,-192.9333915422438,-2002.705482890964,-1809.7720913487203,low,NEGATIVE_PROXY,capacity_too_low,1780323356
20260601_141103,0xc211e1f853a898bd1302385ccde55f33a8c4b3f3,cbBTC/WETH,2000.0,30m,190.92114037231815,2000.6932317210385,-193.48295902614964,-2003.25505037487,-1809.7720913487203,low,NEGATIVE_PROXY,capacity_too_low,1780323356
20260601_141103,0xc211e1f853a898bd1302385ccde55f33a8c4b3f3,cbBTC/WETH,2000.0,1h,190.92114037231815,2000.6932317210385,-194.30760142364852,-2004.0796927723688,-1809.7720913487203,low,NEGATIVE_PROXY,capacity_too_low,1780323356
20260601_141103,0xc211e1f853a898bd1302385ccde55f33a8c4b3f3,cbBTC/WETH,2000.0,2h,190.92114037231815,2000.6932317210385,-195.56869510293924,-2005.3407864516596,-1809.7720913487203,low,NEGATIVE_PROXY,capacity_too_low,1780323356
20260601_141103,0xd0b53d9277642d899df5c87a3966a349a798f224,USDC/WETH,20.0,15m,0.110836,16.57928220483854,,-16.57926614037473,,low,NEGATIVE_PROXY,il_lvr_too_high,1780323356
20260601_141103,0xd0b53d9277642d899df5c87a3966a349a798f224,USDC/WETH,20.0,30m,0.110836,16.57928220483854,,-16.579250075910924,,low,NEGATIVE_PROXY,il_lvr_too_high,1780323356
20260601_141103,0xd0b53d9277642d899df5c87a3966a349a798f224,USDC/WETH,20.0,1h,0.110836,16.57928220483854,,-16.579217946983306,,low,NEGATIVE_PROXY,il_lvr_too_high,1780323356
20260601_141103,0xd0b53d9277642d899df5c87a3966a349a798f224,USDC/WETH,20.0,2h,0.110836,16.57928220483854,,-16.579153689128066,,low,NEGATIVE_PROXY,il_lvr_too_high,1780323356
20260601_141103,0xd0b53d9277642d899df5c87a3966a349a798f224,USDC/WETH,100.0,15m,0.41820427168254437,96.16876481982102,,-96.16868449750197,,low,NEGATIVE_PROXY,il_lvr_too_high,1780323356
20260601_141103,0xd0b53d9277642d899df5c87a3966a349a798f224,USDC/WETH,100.0,30m,0.41820427168254437,96.16876481982102,,-96.16860417518294,,low,NEGATIVE_PROXY,il_lvr_too_high,1780323356
20260601_141103,0xd0b53d9277642d899df5c87a3966a349a798f224,USDC/WETH,100.0,1h,0.41820427168254437,96.16876481982102,,-96.16844353054483,,low,NEGATIVE_PROXY,il_lvr_too_high,1780323356
20260601_141103,0xd0b53d9277642d899df5c87a3966a349a798f224,USDC/WETH,100.0,2h,0.41820427168254437,96.16876481982102,,-96.16812224126865,,low,NEGATIVE_PROXY,il_lvr_too_high,1780323356
20260601_141103,0xd0b53d9277642d899df5c87a3966a349a798f224,USDC/WETH,500.0,15m,9.444219132246081,496.0776018115362,,-496.077200199941,,low,NEGATIVE_PROXY,il_lvr_too_high,1780323356
20260601_141103,0xd0b53d9277642d899df5c87a3966a349a798f224,USDC/WETH,500.0,30m,9.444219132246081,496.0776018115362,,-496.07679858834575,,low,NEGATIVE_PROXY,il_lvr_too_high,1780323356
20260601_141103,0xd0b53d9277642d899df5c87a3966a349a798f224,USDC/WETH,500.0,1h,9.444219132246081,496.0776018115362,,-496.0759953651553,,low,NEGATIVE_PROXY,il_lvr_too_high,1780323356
20260601_141103,0xd0b53d9277642d899df5c87a3966a349a798f224,USDC/WETH,500.0,2h,9.444219132246081,496.0776018115362,,-496.0743889187744,,low,NEGATIVE_PROXY,il_lvr_too_high,1780323356
20260601_141103,0xd0b53d9277642d899df5c87a3966a349a798f224,USDC/WETH,1000.0,15m,40.15954437626104,996.0844742575307,,-996.0836710343402,,low,NEGATIVE_PROXY,il_lvr_too_high,1780323356
20260601_141103,0xd0b53d9277642d899df5c87a3966a349a798f224,USDC/WETH,1000.0,30m,40.15954437626104,996.0844742575307,,-996.0828678111498,,low,NEGATIVE_PROXY,il_lvr_too_high,1780323356
20260601_141103,0xd0b53d9277642d899df5c87a3966a349a798f224,USDC/WETH,1000.0,1h,40.15954437626104,996.0844742575307,,-996.0812613647688,,low,NEGATIVE_PROXY,il_lvr_too_high,1780323356
20260601_141103,0xd0b53d9277642d899df5c87a3966a349a798f224,USDC/WETH,1000.0,2h,40.15954437626104,996.0844742575307,,-996.078048472007,,low,NEGATIVE_PROXY,il_lvr_too_high,1780323356
20260601_141103,0xd0b53d9277642d899df5c87a3966a349a798f224,USDC/WETH,2000.0,15m,171.83902633508634,1996.0839903601036,,-1996.0823839137227,,low,NEGATIVE_PROXY,il_lvr_too_high,1780323356
20260601_141103,0xd0b53d9277642d899df5c87a3966a349a798f224,USDC/WETH,2000.0,30m,171.83902633508634,1996.0839903601036,,-1996.0807774673417,,low,NEGATIVE_PROXY,il_lvr_too_high,1780323356
20260601_141103,0xd0b53d9277642d899df5c87a3966a349a798f224,USDC/WETH,2000.0,1h,171.83902633508634,1996.0839903601036,,-1996.0775645745798,,low,NEGATIVE_PROXY,il_lvr_too_high,1780323356
20260601_141103,0xd0b53d9277642d899df5c87a3966a349a798f224,USDC/WETH,2000.0,2h,171.83902633508634,1996.0839903601036,,-1996.0711387890562,,low,NEGATIVE_PROXY,il_lvr_too_high,1780323356
20260601_141103,0xb94b22332abf5f89877a14cc88f2abc48c34b3df,cbBTC/USDC,20.0,15m,0.1097524,20.28309888245436,,-20.283038853966858,,low,NEGATIVE_PROXY,il_lvr_too_high,1780323356
20260601_141103,0xb94b22332abf5f89877a14cc88f2abc48c34b3df,cbBTC/USDC,20.0,30m,0.1097524,20.28309888245436,,-20.28297882547935,,low,NEGATIVE_PROXY,il_lvr_too_high,1780323356
20260601_141103,0xb94b22332abf5f89877a14cc88f2abc48c34b3df,cbBTC/USDC,20.0,1h,0.1097524,20.28309888245436,,-20.282858768504344,,low,NEGATIVE_PROXY,il_lvr_too_high,1780323356
20260601_141103,0xb94b22332abf5f89877a14cc88f2abc48c34b3df,cbBTC/USDC,20.0,2h,0.1097524,20.28309888245436,,-20.282618654554327,,low,NEGATIVE_PROXY,il_lvr_too_high,1780323356
20260601_141103,0xb94b22332abf5f89877a14cc88f2abc48c34b3df,cbBTC/USDC,100.0,15m,0.38638384451429,100.31862545795786,,-100.31832531552034,,low,NEGATIVE_PROXY,il_lvr_too_high,1780323356
20260601_141103,0xb94b22332abf5f89877a14cc88f2abc48c34b3df,cbBTC/USDC,100.0,30m,0.38638384451429,100.31862545795786,,-100.31802517308282,,low,NEGATIVE_PROXY,il_lvr_too_high,1780323356
20260601_141103,0xb94b22332abf5f89877a14cc88f2abc48c34b3df,cbBTC/USDC,100.0,1h,0.38638384451429,100.31862545795786,,-100.31742488820778,,low,NEGATIVE_PROXY,il_lvr_too_high,1780323356
20260601_141103,0xb94b22332abf5f89877a14cc88f2abc48c34b3df,cbBTC/USDC,100.0,2h,0.38638384451429,100.31862545795786,,-100.31622431845769,,low,NEGATIVE_PROXY,il_lvr_too_high,1780323356
20260601_141103,0xb94b22332abf5f89877a14cc88f2abc48c34b3df,cbBTC/USDC,500.0,15m,8.509797219021472,500.35362982373505,,-500.3521291115474,,low,NEGATIVE_PROXY,il_lvr_too_high,1780323356
20260601_141103,0xb94b22332abf5f89877a14cc88f2abc48c34b3df,cbBTC/USDC,500.0,30m,8.509797219021472,500.35362982373505,,-500.35062839935983,,low,NEGATIVE_PROXY,il_lvr_too_high,1780323356
20260601_141103,0xb94b22332abf5f89877a14cc88f2abc48c34b3df,cbBTC/USDC,500.0,1h,8.509797219021472,500.35362982373505,,-500.3476269749846,,low,NEGATIVE_PROXY,il_lvr_too_high,1780323356
20260601_141103,0xb94b22332abf5f89877a14cc88f2abc48c34b3df,cbBTC/USDC,500.0,2h,8.509797219021472,500.35362982373505,,-500.34162412623414,,low,NEGATIVE_PROXY,il_lvr_too_high,1780323356
20260601_141103,0xb94b22332abf5f89877a14cc88f2abc48c34b3df,cbBTC/USDC,1000.0,15m,36.15358993863493,1000.3680540473738,,-1000.3650526229985,,low,NEGATIVE_PROXY,il_lvr_too_high,1780323356
20260601_141103,0xb94b22332abf5f89877a14cc88f2abc48c34b3df,cbBTC/USDC,1000.0,30m,36.15358993863493,1000.3680540473738,,-1000.3620511986234,,low,NEGATIVE_PROXY,il_lvr_too_high,1780323356
20260601_141103,0xb94b22332abf5f89877a14cc88f2abc48c34b3df,cbBTC/USDC,1000.0,1h,36.15358993863493,1000.3680540473738,,-1000.3560483498729,,low,NEGATIVE_PROXY,il_lvr_too_high,1780323356
20260601_141103,0xb94b22332abf5f89877a14cc88f2abc48c34b3df,cbBTC/USDC,1000.0,2h,36.15358993863493,1000.3680540473738,,-1000.344042652372,,low,NEGATIVE_PROXY,il_lvr_too_high,1780323356
20260601_141103,0xb94b22332abf5f89877a14cc88f2abc48c34b3df,cbBTC/USDC,2000.0,15m,154.66512370157767,2000.3815856183987,,-2000.3755827696482,,low,NEGATIVE_PROXY,il_lvr_too_high,1780323356
20260601_141103,0xb94b22332abf5f89877a14cc88f2abc48c34b3df,cbBTC/USDC,2000.0,30m,154.66512370157767,2000.3815856183987,,-2000.3695799208979,,low,NEGATIVE_PROXY,il_lvr_too_high,1780323356
20260601_141103,0xb94b22332abf5f89877a14cc88f2abc48c34b3df,cbBTC/USDC,2000.0,1h,154.66512370157767,2000.3815856183987,,-2000.357574223397,,low,NEGATIVE_PROXY,il_lvr_too_high,1780323356
20260601_141103,0xb94b22332abf5f89877a14cc88f2abc48c34b3df,cbBTC/USDC,2000.0,2h,154.66512370157767,2000.3815856183987,,-2000.333562828395,,low,NEGATIVE_PROXY,il_lvr_too_high,1780323356
