run_id,pool_id,token_pair,chain,cost_scenario,virtual_notional_usd,quote_method,gas_price_wei,eth_usd,quote_gas_estimate,swap_gas_units,mint_gas_units,increase_liquidity_gas_units,decrease_liquidity_gas_units,collect_gas_units,entry_swap_cost_usd,exit_swap_cost_usd,lp_add_fixed_cost_usd,lp_remove_fixed_cost_usd,collect_fixed_cost_usd,total_fixed_cost_usd,proportional_slippage_cost_usd,total_cost_usd,confidence,future_probe_only_fields,invalid_reason,read_only_safe,wallet_or_tx_touched,created_at
20260601_141103,0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,WETH/USDC,base,realistic_mid,1000.0,quoter_v2_staticcall,6000000.0,1981.1232671735268,881775,881775,220000,280000,190000,95000,0.010481429813471619,0.010481429813471619,0.006537706781672638,0.0028528175047298782,0.00112924026228891,0.010519764548691427,3.882114,3.913596624175635,medium,"mint_gas_units,increase_liquidity_gas_units,decrease_liquidity_gas_units,collect_gas_units,approval_cost",,True,False,1780323337
20260601_141103,0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,WETH/USDC,base,conservative_high,1000.0,quoter_v2_staticcall,7200000.0,1981.1232671735268,881775,881775,280000,340000,240000,130000,0.012577715776165944,0.012577715776165944,0.009770899953699834,0.0041365853818583235,0.001854331378074421,0.015761816713632578,4.8526425,4.8935597482659645,low,"mint_gas_units,increase_liquidity_gas_units,decrease_liquidity_gas_units,collect_gas_units,approval_cost",,True,False,1780323337
20260601_141103,0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,WETH/USDC,base,diagnostic_low,2000.0,quoter_v2_staticcall,5100000.0,1981.1232671735268,1149953,1149953,180000,220000,150000,70000,0.01161881308672559,0.01161881308672559,0.004496159254850318,0.002020745732516997,0.000707261006380949,0.007224165993748264,14.3592672,14.3897289921672,low,"mint_gas_units,increase_liquidity_gas_units,decrease_liquidity_gas_units,collect_gas_units,approval_cost",,True,False,1780323337
20260601_141103,0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,WETH/USDC,base,realistic_mid,2000.0,quoter_v2_staticcall,6000000.0,1981.1232671735268,1149953,1149953,220000,280000,190000,95000,0.013669191866735991,0.013669191866735991,0.006537706781672638,0.0028528175047298782,0.00112924026228891,0.010519764548691427,17.949084,17.986942148282164,medium,"mint_gas_units,increase_liquidity_gas_units,decrease_liquidity_gas_units,collect_gas_units,approval_cost",,True,False,1780323337
20260601_141103,0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,WETH/USDC,base,conservative_high,2000.0,quoter_v2_staticcall,7200000.0,1981.1232671735268,1149953,1149953,280000,340000,240000,130000,0.01640303024008319,0.01640303024008319,0.009770899953699834,0.0041365853818583235,0.001854331378074421,0.015761816713632578,22.436355,22.4849228771938,low,"mint_gas_units,increase_liquidity_gas_units,decrease_liquidity_gas_units,collect_gas_units,approval_cost",,True,False,1780323337
20260601_141103,0xb94b22332abf5f89877a14cc88f2abc48c34b3df,cbBTC/USDC,base,diagnostic_low,20.0,quoter_v2_staticcall,5100000.0,1981.1232671735268,11467285,11467285,180000,220000,150000,70000,0.11586233613653085,0.11586233613653085,0.004496159254850318,0.002020745732516997,0.000707261006380949,0.007224165993748264,15.99996948512636,16.23891832339317,low,"mint_gas_units,increase_liquidity_gas_units,decrease_liquidity_gas_units,collect_gas_units,approval_cost",,True,False,1780323337
20260601_141103,0xb94b22332abf5f89877a14cc88f2abc48c34b3df,cbBTC/USDC,base,realistic_mid,20.0,quoter_v2_staticcall,6000000.0,1981.1232671735268,11467285,11467285,220000,280000,190000,95000,0.13630863074885985,0.13630863074885985,0.006537706781672638,0.0028528175047298782,0.00112924026228891,0.010519764548691427,19.99996185640795,20.28309888245436,medium,"mint_gas_units,increase_liquidity_gas_units,decrease_liquidity_gas_units,collect_gas_units,approval_cost",,True,False,1780323337
20260601_141103,0xb94b22332abf5f89877a14cc88f2abc48c34b3df,cbBTC/USDC,base,conservative_high,20.0,quoter_v2_staticcall,7200000.0,1981.1232671735268,11467285,11467285,280000,340000,240000,130000,0.16357035689863184,0.16357035689863184,0.009770899953699834,0.0041365853818583235,0.001854331378074421,0.015761816713632578,24.999952320509937,25.342854851020835,low,"mint_gas_units,increase_liquidity_gas_units,decrease_liquidity_gas_units,collect_gas_units,approval_cost",,True,False,1780323337
20260601_141103,0xb94b22332abf5f89877a14cc88f2abc48c34b3df,cbBTC/USDC,base,diagnostic_low,100.0,quoter_v2_staticcall,5100000.0,1981.1232671735268,12968074,12968074,180000,220000,150000,70000,0.1310259009723231,0.1310259009723231,0.004496159254850318,0.002020745732516997,0.000707261006380949,0.007224165993748264,79.99984756466179,80.26912353260019,low,"mint_gas_units,increase_liquidity_gas_units,decrease_liquidity_gas_units,collect_gas_units,approval_cost",,True,False,1780323337
20260601_141103,0xb94b22332abf5f89877a14cc88f2abc48c34b3df,cbBTC/USDC,base,realistic_mid,100.0,quoter_v2_staticcall,6000000.0,1981.1232671735268,12968074,12968074,220000,280000,190000,95000,0.15414811879096837,0.15414811879096837,0.006537706781672638,0.0028528175047298782,0.00112924026228891,0.010519764548691427,99.99980945582723,100.31862545795786,medium,"mint_gas_units,increase_liquidity_gas_units,decrease_liquidity_gas_units,collect_gas_units,approval_cost",,True,False,1780323337
20260601_141103,0xb94b22332abf5f89877a14cc88f2abc48c34b3df,cbBTC/USDC,base,conservative_high,100.0,quoter_v2_staticcall,7200000.0,1981.1232671735268,12968074,12968074,280000,340000,240000,130000,0.18497774254916208,0.18497774254916208,0.009770899953699834,0.0041365853818583235,0.001854331378074421,0.015761816713632578,124.99976181978404,125.38547912159599,low,"mint_gas_units,increase_liquidity_gas_units,decrease_liquidity_gas_units,collect_gas_units,approval_cost",,True,False,1780323337
20260601_141103,0xb94b22332abf5f89877a14cc88f2abc48c34b3df,cbBTC/USDC,base,diagnostic_low,500.0,quoter_v2_staticcall,5100000.0,1981.1232671735268,14472361,14472361,180000,220000,150000,70000,0.1462248086509771,0.1462248086509771,0.004496159254850318,0.002020745732516997,0.000707261006380949,0.007224165993748264,399.99924134871196,400.29891513200766,low,"mint_gas_units,increase_liquidity_gas_units,decrease_liquidity_gas_units,collect_gas_units,approval_cost",,True,False,1780323337
