window,trace_count,candidate_filtered_count,selected_count,intent_open_count,open_or_reuse_count,unique_pool_count,avg_score,max_score
recent_2h,2400,1920,480,480,0,20,50.2841825801529,76.2375532964267
recent_6h,7200,5760,1440,1440,0,20,50.2841825801553,76.2375532964267
recent_12h,14379,11499,2880,2880,0,21,50.2833308772179,76.2375532964267
recent_24h,28040,22284,5756,5607,0,23,50.1007353556078,76.2375532964267
recent_48h,73345,61829,11516,10832,0,51,48.4234680139617,76.9459528571019
