scenario,priority_fee_lamports,per_tx_sol,per_tx_usd,round_trip_tx_count,round_trip_usd,setup_sol,setup_usd,recovery_usd,total_cost_usd,net_cost_usd,sol_price_used,heuristic,refundable,applies_to_probe,applies_to_scaled_notional,confidence,invalid_reason
low,1000,6e-06,0.00078,2,0.00156,0.00218928,0.284606,0.132627,0.286166,0.15354,130.0,True,partial,False,True,0.5,SOL price heuristic; priority fee heuristic; rent heuristic; mark heuristic
realistic,10000,1.5e-05,0.00195,2,0.0039,0.00218928,0.284606,0.132627,0.288506,0.15588,130.0,True,partial,False,True,0.5,SOL price heuristic; priority fee heuristic; rent heuristic; mark heuristic
conservative,100000,0.000105,0.01365,2,0.0273,0.00218928,0.284606,0.132627,0.311906,0.17928,130.0,True,partial,False,True,0.5,SOL price heuristic; priority fee heuristic; rent heuristic; mark heuristic
