run_id,pool_id,token_pair,inferred_tier,chain,pool_type,method,quote_side,virtual_notional_usd,feature_cutoff_time,entry_safe,reserve_liquidity_usd,tvl_proxy_usd,estimated_output_usd,estimated_slippage_pct,estimated_price_impact_pct,exit_depth_available,exit_depth_usd,capacity_pass,capacity_limit_usd,confidence,confidence_reason,invalid_reason,monotonicity_check
20260601_091739,0x4e962bb3889bf030368f56810a9c96b83cb3e778,cbBTC/USDC,B,base,concentrated_liquidity,v3_conservative_liquidity_proxy,exit,1000,1780108779,yes,11477458.4182,11477458.4182,974.1217413590045,2.5878258640995497,1.8632346221516758,yes,791.1669433639287,no,791.1669433639287,low,tick_or_liquidity_missing_used_conservative_proxy;large_notional_research_only,,pass
20260601_091739,0x4e962bb3889bf030368f56810a9c96b83cb3e778,cbBTC/USDC,B,base,concentrated_liquidity,v3_conservative_liquidity_proxy,exit,2000,1780108779,yes,11477458.4182,11477458.4182,1889.057476527722,5.5471261736139,3.9939308450020077,yes,791.1669433639287,no,791.1669433639287,low,tick_or_liquidity_missing_used_conservative_proxy;large_notional_research_only,,pass
20260601_091739,0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,WETH/USDC,B,base,concentrated_liquidity,v3_conservative_liquidity_proxy,exit,20,1780108779,yes,5077636.9716,5077636.9716,19.993000000000002,0.034999999999999996,0.0252,yes,791.1669433639287,yes,791.1669433639287,high,tick_or_liquidity_missing_used_conservative_proxy;entry_size_within_high_confidence_band,,pass
20260601_091739,0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,WETH/USDC,B,base,concentrated_liquidity,v3_conservative_liquidity_proxy,exit,100,1780108779,yes,5077636.9716,5077636.9716,99.7944416849596,0.20555831504040337,0.1480019868290904,yes,791.1669433639287,yes,791.1669433639287,high,tick_or_liquidity_missing_used_conservative_proxy;100usd_supported_with_buffer,,pass
20260601_091739,0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,WETH/USDC,B,base,concentrated_liquidity,v3_conservative_liquidity_proxy,exit,500,1780108779,yes,5077636.9716,5077636.9716,493.9636827311072,1.2072634537785634,0.8692296867205657,yes,791.1669433639287,yes,791.1669433639287,low,tick_or_liquidity_missing_used_conservative_proxy;500usd_not_broadly_supported,,pass
20260601_091739,0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,WETH/USDC,B,base,concentrated_liquidity,v3_conservative_liquidity_proxy,exit,1000,1780108779,yes,5077636.9716,5077636.9716,974.1217413590045,2.5878258640995497,1.8632346221516758,yes,791.1669433639287,no,791.1669433639287,low,tick_or_liquidity_missing_used_conservative_proxy;large_notional_research_only,,pass
20260601_091739,0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,WETH/USDC,B,base,concentrated_liquidity,v3_conservative_liquidity_proxy,exit,2000,1780108779,yes,5077636.9716,5077636.9716,1889.057476527722,5.5471261736139,3.9939308450020077,yes,791.1669433639287,no,791.1669433639287,low,tick_or_liquidity_missing_used_conservative_proxy;large_notional_research_only,,pass
20260601_091739,0x9a993fc0eec60faaa0c391ff11b840ce16685150,USAD/USDT,B,base,concentrated_liquidity,v3_conservative_liquidity_proxy,exit,20,1779750040,yes,50339606.4857,50339606.4857,19.993000000000002,0.034999999999999996,0.0252,yes,791.1669433639287,yes,791.1669433639287,high,tick_or_liquidity_missing_used_conservative_proxy;entry_size_within_high_confidence_band,,pass
20260601_091739,0x9a993fc0eec60faaa0c391ff11b840ce16685150,USAD/USDT,B,base,concentrated_liquidity,v3_conservative_liquidity_proxy,exit,100,1779750040,yes,50339606.4857,50339606.4857,99.7944416849596,0.20555831504040337,0.1480019868290904,yes,791.1669433639287,yes,791.1669433639287,high,tick_or_liquidity_missing_used_conservative_proxy;100usd_supported_with_buffer,,pass
20260601_091739,0x9a993fc0eec60faaa0c391ff11b840ce16685150,USAD/USDT,B,base,concentrated_liquidity,v3_conservative_liquidity_proxy,exit,500,1779750040,yes,50339606.4857,50339606.4857,493.9636827311072,1.2072634537785634,0.8692296867205657,yes,791.1669433639287,yes,791.1669433639287,low,tick_or_liquidity_missing_used_conservative_proxy;500usd_not_broadly_supported,,pass
20260601_091739,0x9a993fc0eec60faaa0c391ff11b840ce16685150,USAD/USDT,B,base,concentrated_liquidity,v3_conservative_liquidity_proxy,exit,1000,1779750040,yes,50339606.4857,50339606.4857,974.1217413590045,2.5878258640995497,1.8632346221516758,yes,791.1669433639287,no,791.1669433639287,low,tick_or_liquidity_missing_used_conservative_proxy;large_notional_research_only,,pass
20260601_091739,0x9a993fc0eec60faaa0c391ff11b840ce16685150,USAD/USDT,B,base,concentrated_liquidity,v3_conservative_liquidity_proxy,exit,2000,1779750040,yes,50339606.4857,50339606.4857,1889.057476527722,5.5471261736139,3.9939308450020077,yes,791.1669433639287,no,791.1669433639287,low,tick_or_liquidity_missing_used_conservative_proxy;large_notional_research_only,,pass
20260601_091739,0xc211e1f853a898bd1302385ccde55f33a8c4b3f3,cbBTC/WETH,B,base,concentrated_liquidity,v3_conservative_liquidity_proxy,exit,20,1780037347,yes,4827493.4067,4827493.4067,19.993000000000002,0.034999999999999996,0.0252,yes,791.1669433639287,yes,791.1669433639287,high,tick_or_liquidity_missing_used_conservative_proxy;entry_size_within_high_confidence_band,,pass
20260601_091739,0xc211e1f853a898bd1302385ccde55f33a8c4b3f3,cbBTC/WETH,B,base,concentrated_liquidity,v3_conservative_liquidity_proxy,exit,100,1780037347,yes,4827493.4067,4827493.4067,99.7944416849596,0.20555831504040337,0.1480019868290904,yes,791.1669433639287,yes,791.1669433639287,high,tick_or_liquidity_missing_used_conservative_proxy;100usd_supported_with_buffer,,pass
20260601_091739,0xc211e1f853a898bd1302385ccde55f33a8c4b3f3,cbBTC/WETH,B,base,concentrated_liquidity,v3_conservative_liquidity_proxy,exit,500,1780037347,yes,4827493.4067,4827493.4067,493.9636827311072,1.2072634537785634,0.8692296867205657,yes,791.1669433639287,yes,791.1669433639287,low,tick_or_liquidity_missing_used_conservative_proxy;500usd_not_broadly_supported,,pass
20260601_091739,0xc211e1f853a898bd1302385ccde55f33a8c4b3f3,cbBTC/WETH,B,base,concentrated_liquidity,v3_conservative_liquidity_proxy,exit,1000,1780037347,yes,4827493.4067,4827493.4067,974.1217413590045,2.5878258640995497,1.8632346221516758,yes,791.1669433639287,no,791.1669433639287,low,tick_or_liquidity_missing_used_conservative_proxy;large_notional_research_only,,pass
20260601_091739,0xc211e1f853a898bd1302385ccde55f33a8c4b3f3,cbBTC/WETH,B,base,concentrated_liquidity,v3_conservative_liquidity_proxy,exit,2000,1780037347,yes,4827493.4067,4827493.4067,1889.057476527722,5.5471261736139,3.9939308450020077,yes,791.1669433639287,no,791.1669433639287,low,tick_or_liquidity_missing_used_conservative_proxy;large_notional_research_only,,pass
20260601_091739,0xd0b53d9277642d899df5c87a3966a349a798f224,USDC/WETH,C,base,concentrated_liquidity,v3_conservative_liquidity_proxy,exit,20,1780108779,no,13512367.3749,13512367.3749,19.9937,0.0315,0.022680000000000002,yes,870.6946018365137,yes,870.6946018365137,high,tick_or_liquidity_missing_used_conservative_proxy;entry_size_within_high_confidence_band,,pass
20260601_091739,0xd0b53d9277642d899df5c87a3966a349a798f224,USDC/WETH,C,base,concentrated_liquidity,v3_conservative_liquidity_proxy,exit,100,1780108779,no,13512367.3749,13512367.3749,99.81499751646363,0.18500248353636303,0.13320178814618136,yes,870.6946018365137,yes,870.6946018365137,high,tick_or_liquidity_missing_used_conservative_proxy;100usd_supported_with_buffer,,pass
20260601_091739,0xd0b53d9277642d899df5c87a3966a349a798f224,USDC/WETH,C,base,concentrated_liquidity,v3_conservative_liquidity_proxy,exit,500,1780108779,no,13512367.3749,13512367.3749,494.5673144579965,1.0865371084007072,0.782306718048509,yes,870.6946018365137,yes,870.6946018365137,low,tick_or_liquidity_missing_used_conservative_proxy;500usd_not_broadly_supported,,pass
20260601_091739,0xd0b53d9277642d899df5c87a3966a349a798f224,USDC/WETH,C,base,concentrated_liquidity,v3_conservative_liquidity_proxy,exit,1000,1780108779,no,13512367.3749,13512367.3749,976.709567223104,2.329043277689595,1.6769111599365085,yes,870.6946018365137,no,870.6946018365137,low,tick_or_liquidity_missing_used_conservative_proxy;large_notional_research_only,,pass
20260601_091739,0xd0b53d9277642d899df5c87a3966a349a798f224,USDC/WETH,C,base,concentrated_liquidity,v3_conservative_liquidity_proxy,exit,2000,1780108779,no,13512367.3749,13512367.3749,1900.1517288749499,4.99241355625251,3.594537760501807,yes,870.6946018365137,no,870.6946018365137,low,tick_or_liquidity_missing_used_conservative_proxy;large_notional_research_only,,pass
20260601_091739,0xb94b22332abf5f89877a14cc88f2abc48c34b3df,cbBTC/USDC,B,base,concentrated_liquidity,v3_conservative_liquidity_proxy,exit,20,1780108779,no,2224093.0069,2224093.0069,19.99433,0.02835,0.020412,yes,958.2163360413842,yes,958.2163360413842,high,tick_or_liquidity_missing_used_conservative_proxy;entry_size_within_high_confidence_band,,pass
20260601_091739,0xb94b22332abf5f89877a14cc88f2abc48c34b3df,cbBTC/USDC,B,base,concentrated_liquidity,v3_conservative_liquidity_proxy,exit,100,1780108779,no,2224093.0069,2224093.0069,99.83349776481727,0.16650223518272672,0.11988160933156322,yes,958.2163360413842,yes,958.2163360413842,high,tick_or_liquidity_missing_used_conservative_proxy;100usd_supported_with_buffer,,pass
20260601_091739,0xb94b22332abf5f89877a14cc88f2abc48c34b3df,cbBTC/USDC,B,base,concentrated_liquidity,v3_conservative_liquidity_proxy,exit,500,1780108779,no,2224093.0069,2224093.0069,495.1105830121968,0.9778833975606364,0.7040760462436582,yes,958.2163360413842,yes,958.2163360413842,low,tick_or_liquidity_missing_used_conservative_proxy;500usd_not_broadly_supported,,pass
20260601_091739,0xb94b22332abf5f89877a14cc88f2abc48c34b3df,cbBTC/USDC,B,base,concentrated_liquidity,v3_conservative_liquidity_proxy,exit,1000,1780108779,no,2224093.0069,2224093.0069,979.0386105007937,2.0961389499206353,1.5092200439428574,yes,958.2163360413842,no,958.2163360413842,low,tick_or_liquidity_missing_used_conservative_proxy;large_notional_research_only,,pass
20260601_091739,0xb94b22332abf5f89877a14cc88f2abc48c34b3df,cbBTC/USDC,B,base,concentrated_liquidity,v3_conservative_liquidity_proxy,exit,2000,1780108779,no,2224093.0069,2224093.0069,1910.1365559874548,4.493172200627258,3.2350839844516264,yes,958.2163360413842,no,958.2163360413842,low,tick_or_liquidity_missing_used_conservative_proxy;large_notional_research_only,,pass
20260601_091739,0x160d7e9d948b16c163332a277b393c288408eb12,cbBTC/USDC,B,base,concentrated_liquidity,v3_conservative_liquidity_proxy,exit,20,1780037347,no,2963421.4008,2963421.4008,19.99433,0.02835,0.020412,yes,958.2163360413842,yes,958.2163360413842,high,tick_or_liquidity_missing_used_conservative_proxy;entry_size_within_high_confidence_band,,pass
20260601_091739,0x160d7e9d948b16c163332a277b393c288408eb12,cbBTC/USDC,B,base,concentrated_liquidity,v3_conservative_liquidity_proxy,exit,100,1780037347,no,2963421.4008,2963421.4008,99.83349776481727,0.16650223518272672,0.11988160933156322,yes,958.2163360413842,yes,958.2163360413842,high,tick_or_liquidity_missing_used_conservative_proxy;100usd_supported_with_buffer,,pass
20260601_091739,0x160d7e9d948b16c163332a277b393c288408eb12,cbBTC/USDC,B,base,concentrated_liquidity,v3_conservative_liquidity_proxy,exit,500,1780037347,no,2963421.4008,2963421.4008,495.1105830121968,0.9778833975606364,0.7040760462436582,yes,958.2163360413842,yes,958.2163360413842,low,tick_or_liquidity_missing_used_conservative_proxy;500usd_not_broadly_supported,,pass
20260601_091739,0x160d7e9d948b16c163332a277b393c288408eb12,cbBTC/USDC,B,base,concentrated_liquidity,v3_conservative_liquidity_proxy,exit,1000,1780037347,no,2963421.4008,2963421.4008,979.0386105007937,2.0961389499206353,1.5092200439428574,yes,958.2163360413842,no,958.2163360413842,low,tick_or_liquidity_missing_used_conservative_proxy;large_notional_research_only,,pass
