pool,pool_name,size_usd,range_pct,hold_hours,hedge_ratio,funding_scenario,funding_apr_pct,reward_scenario_pct,reward_income_usd,claim_gas_usd,lp_fee_usd,il_usd,rebalance_count_24h,perp_trading_fee_usd,rebal_gas_usd,residual_delta_risk_usd,funding_income_usd,net_pnl_fee_only_usd,net_pnl_delta_hedged_usd,net_pnl_reward_adjusted_usd,signal_noise_reward_adjusted,recommendation
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,Aerodrome Slipstream WETH/USDC 0.05%,250,2,24,0.500000,0,0.000000,31.760000,0.217534,0.100000,4.499842,0.199991,1.000000,0.050000,0.159000,5.000000,0.000000,4.220351,-0.988649,-0.871114,1.737459,NO_GO
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,Aerodrome Slipstream WETH/USDC 0.05%,250,2,24,0.500000,0,0.000000,63.520000,0.435068,0.100000,4.499842,0.199991,1.000000,0.050000,0.159000,5.000000,0.000000,4.220351,-0.988649,-0.653580,1.821126,NO_GO
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,Aerodrome Slipstream WETH/USDC 0.05%,250,2,24,0.500000,0,0.000000,100,0.684932,0.100000,4.499842,0.199991,1.000000,0.050000,0.159000,5.000000,0.000000,4.220351,-0.988649,-0.403717,1.917228,NO_GO
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,Aerodrome Slipstream WETH/USDC 0.05%,250,2,24,0.500000,5,5.000000,0,0.000000,0.100000,4.499842,0.199991,1.000000,0.050000,0.159000,5.000000,0.017123,4.220351,-0.971525,-1.071525,1.653792,NO_GO
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,Aerodrome Slipstream WETH/USDC 0.05%,250,2,24,0.500000,5,5.000000,15,0.102740,0.100000,4.499842,0.199991,1.000000,0.050000,0.159000,5.000000,0.017123,4.220351,-0.971525,-0.968786,1.693307,NO_GO
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,Aerodrome Slipstream WETH/USDC 0.05%,250,2,24,0.500000,5,5.000000,31.760000,0.217534,0.100000,4.499842,0.199991,1.000000,0.050000,0.159000,5.000000,0.017123,4.220351,-0.971525,-0.853991,1.737459,NO_GO
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,Aerodrome Slipstream WETH/USDC 0.05%,250,2,24,0.500000,5,5.000000,63.520000,0.435068,0.100000,4.499842,0.199991,1.000000,0.050000,0.159000,5.000000,0.017123,4.220351,-0.971525,-0.636457,1.821126,NO_GO
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,Aerodrome Slipstream WETH/USDC 0.05%,250,2,24,0.500000,5,5.000000,100,0.684932,0.100000,4.499842,0.199991,1.000000,0.050000,0.159000,5.000000,0.017123,4.220351,-0.971525,-0.386594,1.917228,NO_GO
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,Aerodrome Slipstream WETH/USDC 0.05%,250,2,24,0.750000,median,0.825600,0,0.000000,0.100000,4.499842,0.199991,1.000000,0.075000,0.159000,2.500000,0.004241,4.220351,1.490592,1.390592,3.185086,GO
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,Aerodrome Slipstream WETH/USDC 0.05%,250,2,24,0.750000,median,0.825600,15,0.102740,0.100000,4.499842,0.199991,1.000000,0.075000,0.159000,2.500000,0.004241,4.220351,1.490592,1.493332,3.261190,GO
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,Aerodrome Slipstream WETH/USDC 0.05%,250,2,24,0.750000,median,0.825600,31.760000,0.217534,0.100000,4.499842,0.199991,1.000000,0.075000,0.159000,2.500000,0.004241,4.220351,1.490592,1.608127,3.346223,GO
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,Aerodrome Slipstream WETH/USDC 0.05%,250,2,24,0.750000,median,0.825600,63.520000,0.435068,0.100000,4.499842,0.199991,1.000000,0.075000,0.159000,2.500000,0.004241,4.220351,1.490592,1.825661,3.507360,GO
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,Aerodrome Slipstream WETH/USDC 0.05%,250,2,24,0.750000,median,0.825600,100,0.684932,0.100000,4.499842,0.199991,1.000000,0.075000,0.159000,2.500000,0.004241,4.220351,1.490592,2.075524,3.692444,GO
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,Aerodrome Slipstream WETH/USDC 0.05%,250,2,24,0.750000,p5,-9.017300,0,0.000000,0.100000,4.499842,0.199991,1.000000,0.075000,0.159000,2.500000,-0.046322,4.220351,1.440030,1.340030,3.185086,GO
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,Aerodrome Slipstream WETH/USDC 0.05%,250,2,24,0.750000,p5,-9.017300,15,0.102740,0.100000,4.499842,0.199991,1.000000,0.075000,0.159000,2.500000,-0.046322,4.220351,1.440030,1.442769,3.261190,GO
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,Aerodrome Slipstream WETH/USDC 0.05%,250,2,24,0.750000,p5,-9.017300,31.760000,0.217534,0.100000,4.499842,0.199991,1.000000,0.075000,0.159000,2.500000,-0.046322,4.220351,1.440030,1.557564,3.346223,GO
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,Aerodrome Slipstream WETH/USDC 0.05%,250,2,24,0.750000,p5,-9.017300,63.520000,0.435068,0.100000,4.499842,0.199991,1.000000,0.075000,0.159000,2.500000,-0.046322,4.220351,1.440030,1.775098,3.507360,GO
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,Aerodrome Slipstream WETH/USDC 0.05%,250,2,24,0.750000,p5,-9.017300,100,0.684932,0.100000,4.499842,0.199991,1.000000,0.075000,0.159000,2.500000,-0.046322,4.220351,1.440030,2.024961,3.692444,GO
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,Aerodrome Slipstream WETH/USDC 0.05%,250,2,24,0.750000,current,-2.632400,0,0.000000,0.100000,4.499842,0.199991,1.000000,0.075000,0.159000,2.500000,-0.013523,4.220351,1.472829,1.372829,3.185086,GO
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,Aerodrome Slipstream WETH/USDC 0.05%,250,2,24,0.750000,current,-2.632400,15,0.102740,0.100000,4.499842,0.199991,1.000000,0.075000,0.159000,2.500000,-0.013523,4.220351,1.472829,1.475568,3.261190,GO
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,Aerodrome Slipstream WETH/USDC 0.05%,250,2,24,0.750000,current,-2.632400,31.760000,0.217534,0.100000,4.499842,0.199991,1.000000,0.075000,0.159000,2.500000,-0.013523,4.220351,1.472829,1.590363,3.346223,GO
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,Aerodrome Slipstream WETH/USDC 0.05%,250,2,24,0.750000,current,-2.632400,63.520000,0.435068,0.100000,4.499842,0.199991,1.000000,0.075000,0.159000,2.500000,-0.013523,4.220351,1.472829,1.807897,3.507360,GO
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,Aerodrome Slipstream WETH/USDC 0.05%,250,2,24,0.750000,current,-2.632400,100,0.684932,0.100000,4.499842,0.199991,1.000000,0.075000,0.159000,2.500000,-0.013523,4.220351,1.472829,2.057760,3.692444,GO
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,Aerodrome Slipstream WETH/USDC 0.05%,250,2,24,0.750000,0,0.000000,0,0.000000,0.100000,4.499842,0.199991,1.000000,0.075000,0.159000,2.500000,0.000000,4.220351,1.486351,1.386351,3.185086,GO
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,Aerodrome Slipstream WETH/USDC 0.05%,250,2,24,0.750000,0,0.000000,15,0.102740,0.100000,4.499842,0.199991,1.000000,0.075000,0.159000,2.500000,0.000000,4.220351,1.486351,1.489091,3.261190,GO
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,Aerodrome Slipstream WETH/USDC 0.05%,250,2,24,0.750000,0,0.000000,31.760000,0.217534,0.100000,4.499842,0.199991,1.000000,0.075000,0.159000,2.500000,0.000000,4.220351,1.486351,1.603886,3.346223,GO
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,Aerodrome Slipstream WETH/USDC 0.05%,250,2,24,0.750000,0,0.000000,63.520000,0.435068,0.100000,4.499842,0.199991,1.000000,0.075000,0.159000,2.500000,0.000000,4.220351,1.486351,1.821420,3.507360,GO
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,Aerodrome Slipstream WETH/USDC 0.05%,250,2,24,0.750000,0,0.000000,100,0.684932,0.100000,4.499842,0.199991,1.000000,0.075000,0.159000,2.500000,0.000000,4.220351,1.486351,2.071283,3.692444,GO
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,Aerodrome Slipstream WETH/USDC 0.05%,250,2,24,0.750000,5,5.000000,0,0.000000,0.100000,4.499842,0.199991,1.000000,0.075000,0.159000,2.500000,0.025685,4.220351,1.512036,1.412036,3.185086,GO
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,Aerodrome Slipstream WETH/USDC 0.05%,250,2,24,0.750000,5,5.000000,15,0.102740,0.100000,4.499842,0.199991,1.000000,0.075000,0.159000,2.500000,0.025685,4.220351,1.512036,1.514776,3.261190,GO
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,Aerodrome Slipstream WETH/USDC 0.05%,250,2,24,0.750000,5,5.000000,31.760000,0.217534,0.100000,4.499842,0.199991,1.000000,0.075000,0.159000,2.500000,0.025685,4.220351,1.512036,1.629570,3.346223,GO
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,Aerodrome Slipstream WETH/USDC 0.05%,250,2,24,0.750000,5,5.000000,63.520000,0.435068,0.100000,4.499842,0.199991,1.000000,0.075000,0.159000,2.500000,0.025685,4.220351,1.512036,1.847105,3.507360,GO
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,Aerodrome Slipstream WETH/USDC 0.05%,250,2,24,0.750000,5,5.000000,100,0.684932,0.100000,4.499842,0.199991,1.000000,0.075000,0.159000,2.500000,0.025685,4.220351,1.512036,2.096968,3.692444,GO
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,Aerodrome Slipstream WETH/USDC 0.05%,250,2,72,0.500000,median,0.825600,0,0.000000,0.300000,4.499842,0.199991,0.333333,0.100000,0.159000,8.660254,0.008482,4.220351,-4.690421,-4.990421,0.970594,NO_GO
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,Aerodrome Slipstream WETH/USDC 0.05%,250,2,72,0.500000,median,0.825600,15,0.308219,0.300000,4.499842,0.199991,0.333333,0.100000,0.159000,8.660254,0.008482,4.220351,-4.690421,-4.682201,1.040168,NO_GO
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,Aerodrome Slipstream WETH/USDC 0.05%,250,2,72,0.500000,median,0.825600,31.760000,0.652603,0.300000,4.499842,0.199991,0.333333,0.100000,0.159000,8.660254,0.008482,4.220351,-4.690421,-4.337818,1.117905,NO_GO
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,Aerodrome Slipstream WETH/USDC 0.05%,250,2,72,0.500000,median,0.825600,63.520000,1.305205,0.300000,4.499842,0.199991,0.333333,0.100000,0.159000,8.660254,0.008482,4.220351,-4.690421,-3.685215,1.265215,NO_GO
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,Aerodrome Slipstream WETH/USDC 0.05%,250,2,72,0.500000,median,0.825600,100,2.054795,0.300000,4.499842,0.199991,0.333333,0.100000,0.159000,8.660254,0.008482,4.220351,-4.690421,-2.935626,1.434418,NO_GO
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,Aerodrome Slipstream WETH/USDC 0.05%,250,2,72,0.500000,p5,-9.017300,0,0.000000,0.300000,4.499842,0.199991,0.333333,0.100000,0.159000,8.660254,-0.092643,4.220351,-4.791546,-5.091546,0.970594,NO_GO
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,Aerodrome Slipstream WETH/USDC 0.05%,250,2,72,0.500000,p5,-9.017300,15,0.308219,0.300000,4.499842,0.199991,0.333333,0.100000,0.159000,8.660254,-0.092643,4.220351,-4.791546,-4.783327,1.040168,NO_GO
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,Aerodrome Slipstream WETH/USDC 0.05%,250,2,72,0.500000,p5,-9.017300,31.760000,0.652603,0.300000,4.499842,0.199991,0.333333,0.100000,0.159000,8.660254,-0.092643,4.220351,-4.791546,-4.438944,1.117905,NO_GO
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,Aerodrome Slipstream WETH/USDC 0.05%,250,2,72,0.500000,p5,-9.017300,63.520000,1.305205,0.300000,4.499842,0.199991,0.333333,0.100000,0.159000,8.660254,-0.092643,4.220351,-4.791546,-3.786341,1.265215,NO_GO
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,Aerodrome Slipstream WETH/USDC 0.05%,250,2,72,0.500000,p5,-9.017300,100,2.054795,0.300000,4.499842,0.199991,0.333333,0.100000,0.159000,8.660254,-0.092643,4.220351,-4.791546,-3.036752,1.434418,NO_GO
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,Aerodrome Slipstream WETH/USDC 0.05%,250,2,72,0.500000,current,-2.632400,0,0.000000,0.300000,4.499842,0.199991,0.333333,0.100000,0.159000,8.660254,-0.027045,4.220351,-4.725948,-5.025948,0.970594,NO_GO
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,Aerodrome Slipstream WETH/USDC 0.05%,250,2,72,0.500000,current,-2.632400,15,0.308219,0.300000,4.499842,0.199991,0.333333,0.100000,0.159000,8.660254,-0.027045,4.220351,-4.725948,-4.717729,1.040168,NO_GO
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,Aerodrome Slipstream WETH/USDC 0.05%,250,2,72,0.500000,current,-2.632400,31.760000,0.652603,0.300000,4.499842,0.199991,0.333333,0.100000,0.159000,8.660254,-0.027045,4.220351,-4.725948,-4.373345,1.117905,NO_GO
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,Aerodrome Slipstream WETH/USDC 0.05%,250,2,72,0.500000,current,-2.632400,63.520000,1.305205,0.300000,4.499842,0.199991,0.333333,0.100000,0.159000,8.660254,-0.027045,4.220351,-4.725948,-3.720742,1.265215,NO_GO
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,Aerodrome Slipstream WETH/USDC 0.05%,250,2,72,0.500000,current,-2.632400,100,2.054795,0.300000,4.499842,0.199991,0.333333,0.100000,0.159000,8.660254,-0.027045,4.220351,-4.725948,-2.971153,1.434418,NO_GO
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,Aerodrome Slipstream WETH/USDC 0.05%,250,2,72,0.500000,0,0.000000,0,0.000000,0.300000,4.499842,0.199991,0.333333,0.100000,0.159000,8.660254,0.000000,4.220351,-4.698903,-4.998903,0.970594,NO_GO
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,Aerodrome Slipstream WETH/USDC 0.05%,250,2,72,0.500000,0,0.000000,15,0.308219,0.300000,4.499842,0.199991,0.333333,0.100000,0.159000,8.660254,0.000000,4.220351,-4.698903,-4.690684,1.040168,NO_GO
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,Aerodrome Slipstream WETH/USDC 0.05%,250,2,72,0.500000,0,0.000000,31.760000,0.652603,0.300000,4.499842,0.199991,0.333333,0.100000,0.159000,8.660254,0.000000,4.220351,-4.698903,-4.346300,1.117905,NO_GO
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,Aerodrome Slipstream WETH/USDC 0.05%,250,2,72,0.500000,0,0.000000,63.520000,1.305205,0.300000,4.499842,0.199991,0.333333,0.100000,0.159000,8.660254,0.000000,4.220351,-4.698903,-3.693697,1.265215,NO_GO
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,Aerodrome Slipstream WETH/USDC 0.05%,250,2,72,0.500000,0,0.000000,100,2.054795,0.300000,4.499842,0.199991,0.333333,0.100000,0.159000,8.660254,0.000000,4.220351,-4.698903,-2.944108,1.434418,NO_GO
