variant_name,capacity_usd,window,horizon,retained_sample_count,opportunity_retention_rate,false_filter_rate,missed_profit_rate,fee_minus_exit_cost_median,fee_minus_exit_cost_p10,tail_improvement_p10,tail_improvement_p5,tail_improvement_p1,primary_failure_reason
false_filter_cap_50pct,10,recent_7d,2h,1415,0.766158315177923,0.23384168482207698,0.2760626650475184,-0.0674805765178934,-0.0790095211181489,0.06113066718690596,0.2589025429049401,0.11522256805294973,fee_minus_exit_cost_negative
missed_profit_cap_30pct,10,recent_7d,2h,621,0.3282498184458969,0.6717501815541032,0.7530611808234211,-0.0501842600980017,-0.0639648652601755,0.14319061463704297,0.517533459926422,1.8674115826278501,fee_minus_exit_cost_negative
fee_cost_nonnegative_median,10,recent_7d,2h,0,0.0,1.0,1.0,,,,,,over_filtering
fee_cost_nonnegative_p10,10,recent_7d,2h,0,0.0,1.0,1.0,,,,,,over_filtering
exit_depth_soft_10usd,10,recent_7d,2h,199,0.08714596949891068,0.9128540305010894,0.999352765394994,-0.0301916266127154,-0.0302267462185031,0.6127315304863937,1.3416535389414557,4.696286001545496,over_filtering
exit_depth_soft_20usd,10,recent_7d,2h,0,0.0,1.0,1.0,,,,,,over_filtering
fee_velocity_rank_top30,10,recent_7d,2h,537,0.307915758896151,0.6920842411038489,0.6150504762887089,-0.0802456228339228,-0.0949866546881304,0.32239887190246297,-0.84924534961536,-3.07087879796088,fee_minus_exit_cost_negative
fee_velocity_rank_top50,10,recent_7d,2h,944,0.533042846768337,0.46695715323166304,0.348081483691843,-0.075265932024763,-0.0931930997516322,-0.3643060162685411,-0.81450925790414,-2.32807935906363,fee_minus_exit_cost_negative
fee_depth_balanced_score,10,recent_7d,2h,874,0.4974582425562818,0.5025417574437182,0.36764970821295534,-0.0762327370554018,-0.0932354349826649,-0.19728602292017305,-0.87894016507575,-2.9905160474739603,fee_minus_exit_cost_negative
fee_depth_tail_guard,10,recent_7d,2h,691,0.35802469135802467,0.6419753086419753,0.7380315561187484,-0.0503278733151228,-0.0639648652601755,0.09399818643806002,0.444387386463994,1.8674115826278501,fee_minus_exit_cost_negative
small_cap_10usd_lenient,10,recent_7d,2h,220,0.09586056644880174,0.9041394335511983,0.9993396666482526,-0.0301916266127154,-0.0302267462185031,0.6136355995844137,1.3417539761886572,4.697793198926697,over_filtering
small_cap_20usd_lenient,10,recent_7d,2h,0,0.0,1.0,1.0,,,,,,over_filtering
hybrid_fee_depth_plus_data_freshness,10,recent_7d,2h,0,0.0,1.0,1.0,,,,,,over_filtering
hybrid_fee_depth_plus_regime_soft,10,recent_7d,2h,182,0.10675381263616558,0.8932461873638344,0.8478062904864869,-0.0592119407322283,-0.0648179428678541,-0.21512497193194402,0.1618681627346399,0.8725316707064699,over_filtering
retention_floor_30pct,10,recent_7d,1h,200,0.08910212474297464,0.9108978752570254,0.9991781739659641,-0.0301928184860478,-0.030228235726015,0.25163909655686,1.0555062448565538,4.3907866417039685,over_filtering
retention_floor_50pct,10,recent_7d,1h,695,0.3591501028101439,0.6408498971898561,0.7553529207547413,-0.0512044777523197,-0.0654972004472004,0.201945959756438,0.19551442706727795,1.76078081751835,fee_minus_exit_cost_negative
false_filter_cap_50pct,10,recent_7d,1h,1420,0.7642220699108979,0.2357779300891021,0.3139786708583866,-0.0691726829747682,-0.0811593078786118,0.038191072612040994,0.1797746279730289,0.6121620071004701,fee_minus_exit_cost_negative
missed_profit_cap_30pct,10,recent_7d,1h,622,0.32625085675119947,0.6737491432488005,0.7741098487042347,-0.0510902234144518,-0.0654972004472004,0.21982153364245172,0.4054725741414579,1.76078081751835,fee_minus_exit_cost_negative
fee_cost_nonnegative_median,10,recent_7d,1h,0,0.0,1.0,1.0,,,,,,over_filtering
fee_cost_nonnegative_p10,10,recent_7d,1h,0,0.0,1.0,1.0,,,,,,over_filtering
exit_depth_soft_10usd,10,recent_7d,1h,200,0.08910212474297464,0.9108978752570254,0.9991781739659641,-0.0301928184860478,-0.030228235726015,0.25163909655686,1.0555062448565538,4.3907866417039685,over_filtering
exit_depth_soft_20usd,10,recent_7d,1h,0,0.0,1.0,1.0,,,,,,over_filtering
fee_velocity_rank_top30,10,recent_7d,1h,537,0.3132282385195339,0.686771761480466,0.6747412281748763,-0.0825179480265981,-0.0979290633825757,0.02933078808384401,-0.2173545055858901,-2.8417446702378903,fee_minus_exit_cost_negative
fee_velocity_rank_top50,10,recent_7d,1h,944,0.5325565455791638,0.4674434544208362,0.38631955531952045,-0.077311964830011,-0.0960539447076262,-0.027582205169248974,-0.31538876999370014,-0.30702196459291997,fee_minus_exit_cost_negative
fee_depth_balanced_score,10,recent_7d,1h,874,0.4962302947224126,0.5037697052775874,0.4073553730813091,-0.0783227134300235,-0.096098254507641,0.0,-0.16074219131918,-2.2212998270369404,fee_minus_exit_cost_negative
fee_depth_tail_guard,10,recent_7d,1h,695,0.3591501028101439,0.6408498971898561,0.7553529207547413,-0.0512044777523197,-0.0654972004472004,0.201945959756438,0.19551442706727795,1.76078081751835,fee_minus_exit_cost_negative
small_cap_10usd_lenient,10,recent_7d,1h,224,0.10006854009595613,0.8999314599040439,0.9991515163508846,-0.0301927058658229,-0.0302270359494516,0.25208269841900627,1.0565172953858653,4.392263825920321,over_filtering
small_cap_20usd_lenient,10,recent_7d,1h,0,0.0,1.0,1.0,,,,,,over_filtering
hybrid_fee_depth_plus_data_freshness,10,recent_7d,1h,0,0.0,1.0,1.0,,,,,,over_filtering
hybrid_fee_depth_plus_regime_soft,10,recent_7d,1h,182,0.0993831391363948,0.9006168608636053,0.8651946667518515,-0.0605282471415456,-0.0663890187613563,-0.028144899065856988,-0.12616398182453015,0.6060163672119998,over_filtering
retention_floor_30pct,20,recent_7d,1h,200,0.08910212474297464,0.9108978752570254,0.9991781739659641,-0.0616960535471038,-0.0618240318256731,0.25163909655686,1.0555062448565538,4.3907866417039685,over_filtering
retention_floor_50pct,20,recent_7d,1h,930,0.48046607265250174,0.5195339273474983,0.5913079546248035,-0.146788250512676,-0.216860003539547,0.003976018247981994,0.06688636261887981,0.6244169458327802,fee_minus_exit_cost_negative
false_filter_cap_50pct,20,recent_7d,1h,1632,0.8711446196024675,0.12885538039753255,0.2286186230992359,-0.215470136063763,-0.269436858573688,0.04302043419731699,0.08510421531185786,0.6100627650810302,fee_minus_exit_cost_negative
missed_profit_cap_30pct,20,recent_7d,1h,844,0.4407128169979438,0.5592871830020562,0.6109911699168648,-0.14542650969715,-0.217263716504722,0.054527347421258004,0.20450717081314096,0.6129935614487798,fee_minus_exit_cost_negative
fee_cost_nonnegative_median,20,recent_7d,1h,0,0.0,1.0,1.0,,,,,,over_filtering
fee_cost_nonnegative_p10,20,recent_7d,1h,0,0.0,1.0,1.0,,,,,,over_filtering
exit_depth_soft_10usd,20,recent_7d,1h,0,0.0,1.0,1.0,,,,,,over_filtering
exit_depth_soft_20usd,20,recent_7d,1h,200,0.08910212474297464,0.9108978752570254,0.9991781739659641,-0.0616960535471038,-0.0618240318256731,0.25163909655686,1.0555062448565538,4.3907866417039685,over_filtering
fee_velocity_rank_top30,20,recent_7d,1h,537,0.3132282385195339,0.686771761480466,0.6747412281748763,-0.253700333204033,-0.310252482088385,0.02933078808384401,-0.2173545055858901,-2.8417446702378903,fee_minus_exit_cost_negative
fee_velocity_rank_top50,20,recent_7d,1h,944,0.5325565455791638,0.4674434544208362,0.38631955531952045,-0.234596725876437,-0.303371552877045,-0.027582205169248974,-0.31538876999370014,-0.30702196459291997,fee_minus_exit_cost_negative
fee_depth_balanced_score,20,recent_7d,1h,873,0.49554489376285127,0.5044551062371487,0.4075305354265057,-0.238305730547479,-0.303534227467469,0.0,-0.12616398182453015,-2.2212998270369404,fee_minus_exit_cost_negative
fee_depth_tail_guard,20,recent_7d,1h,930,0.48046607265250174,0.5195339273474983,0.5913079546248035,-0.146788250512676,-0.216860003539547,0.003976018247981994,0.06688636261887981,0.6244169458327802,fee_minus_exit_cost_negative
small_cap_10usd_lenient,20,recent_7d,1h,0,0.0,1.0,1.0,,,,,,over_filtering
small_cap_20usd_lenient,20,recent_7d,1h,224,0.10006854009595613,0.8999314599040439,0.9991515163508846,-0.0616956466187744,-0.0618196964959214,0.25208269841900627,1.0565172953858653,4.392263825920321,over_filtering
hybrid_fee_depth_plus_data_freshness,20,recent_7d,1h,54,0.029472241261137764,0.9705277587388622,0.9492642426546889,-0.214421046893955,-0.220838499291159,-0.26389644991658295,0.35665132509335096,3.3152007939366097,over_filtering
hybrid_fee_depth_plus_regime_soft,20,recent_7d,1h,281,0.1514736120630569,0.8485263879369431,0.7520211527833808,-0.190045127844005,-0.215470136063763,-0.26142388977540604,-0.006659145784680076,-0.2160608751597204,over_filtering
retention_floor_30pct,20,recent_7d,2h,199,0.08714596949891068,0.9128540305010894,0.999352765394994,-0.061693669800439,-0.0618210528106493,0.6127315304863937,1.3416535389414557,4.696286001545496,over_filtering
retention_floor_50pct,20,recent_7d,2h,926,0.49019607843137253,0.5098039215686274,0.6015361956089386,-0.144776946389918,-0.215898781914412,0.07607435728984191,0.33462520698253995,0.9175471517588001,fee_minus_exit_cost_negative
false_filter_cap_50pct,20,recent_7d,2h,1627,0.8634713144517067,0.1365286855482934,0.195218119460905,-0.212433743077775,-0.264519311976569,0.023794843665720933,0.13938464559388009,-1.8158934628696404,fee_minus_exit_cost_negative
missed_profit_cap_30pct,20,recent_7d,2h,843,0.4524328249818446,0.5475671750181554,0.6188786210249277,-0.143447455615945,-0.216136055623012,0.09278584293900294,0.36002212570416703,0.9168031709860598,fee_minus_exit_cost_negative
fee_cost_nonnegative_median,20,recent_7d,2h,0,0.0,1.0,1.0,,,,,,over_filtering
fee_cost_nonnegative_p10,20,recent_7d,2h,0,0.0,1.0,1.0,,,,,,over_filtering
exit_depth_soft_10usd,20,recent_7d,2h,0,0.0,1.0,1.0,,,,,,over_filtering
exit_depth_soft_20usd,20,recent_7d,2h,199,0.08714596949891068,0.9128540305010894,0.999352765394994,-0.061693669800439,-0.0618210528106493,0.6127315304863937,1.3416535389414557,4.696286001545496,over_filtering
fee_velocity_rank_top30,20,recent_7d,2h,537,0.307915758896151,0.6920842411038489,0.6150504762887089,-0.249155682818683,-0.304367664699494,0.32239887190246297,-0.84924534961536,-3.07087879796088,fee_minus_exit_cost_negative
fee_velocity_rank_top50,20,recent_7d,2h,944,0.533042846768337,0.46695715323166304,0.348081483691843,-0.23050466026594,-0.297649862965057,-0.3643060162685411,-0.81450925790414,-2.32807935906363,fee_minus_exit_cost_negative
fee_depth_balanced_score,20,recent_7d,2h,873,0.49673202614379086,0.5032679738562091,0.3679078462808441,-0.234125777798236,-0.297808588417517,-0.179608069059624,-0.84924534961536,-2.9905160474739603,fee_minus_exit_cost_negative
fee_depth_tail_guard,20,recent_7d,2h,926,0.49019607843137253,0.5098039215686274,0.6015361956089386,-0.144776946389918,-0.215898781914412,0.07607435728984191,0.33462520698253995,0.9175471517588001,fee_minus_exit_cost_negative
small_cap_10usd_lenient,20,recent_7d,2h,0,0.0,1.0,1.0,,,,,,over_filtering
small_cap_20usd_lenient,20,recent_7d,2h,220,0.09586056644880174,0.9041394335511983,0.9993396666482526,-0.061693669800439,-0.0618210528106493,0.6136355995844137,1.3417539761886572,4.697793198926697,over_filtering
hybrid_fee_depth_plus_data_freshness,20,recent_7d,2h,54,0.02832244008714597,0.971677559912854,0.9731625340238861,-0.210807065425433,-0.217072414725156,0.14525786917427796,0.828786891268544,3.71388989721299,over_filtering
hybrid_fee_depth_plus_regime_soft,20,recent_7d,2h,281,0.16194625998547568,0.8380537400145244,0.7681979276849854,-0.18700883804203,-0.211831290587165,-0.03933486807534903,0.16897046812017003,0.10483330770350996,over_filtering
retention_floor_30pct,50,recent_7d,1h,277,0.13708019191226867,0.8629198080877313,0.9683994499615654,-0.239035116735135,-0.644664186873213,0.2517226351666214,1.055170926163791,3.3608026821788197,over_filtering
retention_floor_50pct,50,recent_7d,1h,1261,0.6655243317340644,0.33447566826593556,0.4017741742728742,-0.967929036749383,-1.2274554396356,0.003976018247981994,0.06167723920529,0.6105037161082398,fee_minus_exit_cost_negative
false_filter_cap_50pct,50,recent_7d,1h,1775,0.9479095270733379,0.0520904729266621,0.15735067829392244,-1.13121686524703,-1.47846813576976,0.009227637883596984,0.024034571177279807,0.6105037161082398,fee_minus_exit_cost_negative
missed_profit_cap_30pct,50,recent_7d,1h,1137,0.6065798492117889,0.3934201507882111,0.4264625332861344,-0.967929036749383,-1.23078949152607,0.007944994706615027,0.13296874744027787,0.6100627650810302,fee_minus_exit_cost_negative
fee_cost_nonnegative_median,50,recent_7d,1h,0,0.0,1.0,1.0,,,,,,over_filtering
fee_cost_nonnegative_p10,50,recent_7d,1h,0,0.0,1.0,1.0,,,,,,over_filtering
exit_depth_soft_10usd,50,recent_7d,1h,0,0.0,1.0,1.0,,,,,,over_filtering
exit_depth_soft_20usd,50,recent_7d,1h,0,0.0,1.0,1.0,,,,,,over_filtering
fee_velocity_rank_top30,50,recent_7d,1h,537,0.3132282385195339,0.686771761480466,0.6747412281748763,-1.31944383842209,-1.63771739806819,0.02933078808384401,-0.2173545055858901,-2.8417446702378903,fee_minus_exit_cost_negative
fee_velocity_rank_top50,50,recent_7d,1h,944,0.5325565455791638,0.4674434544208362,0.38631955531952045,-1.21192978867894,-1.59899156849244,-0.027582205169248974,-0.31538876999370014,-0.30702196459291997,fee_minus_exit_cost_negative
fee_depth_balanced_score,50,recent_7d,1h,877,0.5003427004797807,0.4996572995202193,0.4074390929938536,-1.23078949152607,-1.59990738302746,0.003976018247981994,-0.08413066929440016,-2.2212998270369404,fee_minus_exit_cost_negative
fee_depth_tail_guard,50,recent_7d,1h,1261,0.6655243317340644,0.33447566826593556,0.4017741742728742,-0.967929036749383,-1.2274554396356,0.003976018247981994,0.06167723920529,0.6105037161082398,fee_minus_exit_cost_negative
small_cap_10usd_lenient,50,recent_7d,1h,0,0.0,1.0,1.0,,,,,,over_filtering
small_cap_20usd_lenient,50,recent_7d,1h,0,0.0,1.0,1.0,,,,,,over_filtering
hybrid_fee_depth_plus_data_freshness,50,recent_7d,1h,273,0.16106922549691569,0.8389307745030843,0.7868656729221798,-1.18946374633762,-1.25415407839703,0.009227637883596984,-0.026784366392110126,-2.24209000719837,over_filtering
hybrid_fee_depth_plus_regime_soft,50,recent_7d,1h,520,0.29472241261137766,0.7052775873886223,0.5874613434121095,-1.10428611708829,-1.25002889484488,-0.034817845470833,-0.11827261074887008,-0.2833480220507001,over_filtering
retention_floor_30pct,50,recent_7d,2h,276,0.13725490196078433,0.8627450980392157,0.9669917727585057,-0.239034823356256,-0.640405202985021,0.6127315304863937,1.33696349702828,3.767012088684068,over_filtering
retention_floor_50pct,50,recent_7d,2h,1256,0.6659404502541757,0.33405954974582425,0.38594022054035276,-0.963003872819194,-1.21706187176628,-0.006176255537464037,0.16645572226032002,0.0447656898521096,fee_minus_exit_cost_negative
false_filter_cap_50pct,50,recent_7d,2h,1770,0.9426289034132171,0.05737109658678286,0.10906507232396707,-1.125083931932,-1.47587462794504,-0.009465202381609084,0.0,0.0,fee_minus_exit_cost_negative
missed_profit_cap_30pct,50,recent_7d,2h,1135,0.6085693536673928,0.3914306463326071,0.4100833051003164,-0.960267360814258,-1.22036098081328,-0.0023308825220760276,0.20682450113728001,0.04088589694514955,fee_minus_exit_cost_negative
fee_cost_nonnegative_median,50,recent_7d,2h,0,0.0,1.0,1.0,,,,,,over_filtering
fee_cost_nonnegative_p10,50,recent_7d,2h,0,0.0,1.0,1.0,,,,,,over_filtering
exit_depth_soft_10usd,50,recent_7d,2h,0,0.0,1.0,1.0,,,,,,over_filtering
exit_depth_soft_20usd,50,recent_7d,2h,0,0.0,1.0,1.0,,,,,,over_filtering
fee_velocity_rank_top30,50,recent_7d,2h,537,0.307915758896151,0.6920842411038489,0.6150504762887089,-1.30808221245871,-1.62300535459597,0.32239887190246297,-0.84924534961536,-3.07087879796088,fee_minus_exit_cost_negative
fee_velocity_rank_top50,50,recent_7d,2h,944,0.533042846768337,0.46695715323166304,0.348081483691843,-1.2016996246527,-1.58468734371247,-0.3643060162685411,-0.81450925790414,-2.32807935906363,fee_minus_exit_cost_negative
fee_depth_balanced_score,50,recent_7d,2h,877,0.5010893246187363,0.4989106753812636,0.36724518080585605,-1.22036098081328,-1.58559328540258,-0.153061213939215,-0.7930737845609799,-2.9905160474739603,fee_minus_exit_cost_negative
fee_depth_tail_guard,50,recent_7d,2h,1256,0.6659404502541757,0.33405954974582425,0.38594022054035276,-0.963003872819194,-1.21706187176628,-0.006176255537464037,0.16645572226032002,0.0447656898521096,fee_minus_exit_cost_negative
small_cap_10usd_lenient,50,recent_7d,2h,0,0.0,1.0,1.0,,,,,,over_filtering
small_cap_20usd_lenient,50,recent_7d,2h,0,0.0,1.0,1.0,,,,,,over_filtering
hybrid_fee_depth_plus_data_freshness,50,recent_7d,2h,273,0.1539578794480755,0.8460421205519245,0.7827680971075203,-1.17947006034555,-1.24347968879601,0.11440389800615491,-0.95294578614413,-1.9204832833418601,over_filtering
hybrid_fee_depth_plus_regime_soft,50,recent_7d,2h,520,0.2970225127087872,0.7029774872912128,0.5761937740326671,-1.09518900339679,-1.23939792096277,-0.21512497193194402,-0.8979158061559702,-1.8566832488208203,over_filtering
retention_floor_30pct,20,recent_7d,30m,200,0.09671052631578947,0.9032894736842105,0.9990360308291719,-0.0616972454204361,-0.061825521333185,0.09044310311764701,0.7105143481098878,3.418253615398523,over_filtering
retention_floor_50pct,20,recent_7d,30m,932,0.4776315789473684,0.5223684210526316,0.6111987281369959,-0.147793902574055,-0.217626628683415,0.016746870917103793,0.08535539110670098,1.7887474324836803,fee_minus_exit_cost_negative
false_filter_cap_50pct,20,recent_7d,30m,1634,0.8690789473684211,0.13092105263157894,0.2695266637769408,-0.216608451239696,-0.271895631872247,0.022142475147718402,0.08091147308013191,0.7475147751904601,fee_minus_exit_cost_negative
missed_profit_cap_30pct,20,recent_7d,30m,844,0.4355263157894737,0.5644736842105263,0.6443699506264668,-0.146416036737753,-0.218121575743173,0.018234474910126003,0.09263102143616697,1.7887474324836803,fee_minus_exit_cost_negative
fee_cost_nonnegative_median,20,recent_7d,30m,0,0.0,1.0,1.0,,,,,,over_filtering
fee_cost_nonnegative_p10,20,recent_7d,30m,0,0.0,1.0,1.0,,,,,,over_filtering
exit_depth_soft_10usd,20,recent_7d,30m,0,0.0,1.0,1.0,,,,,,over_filtering
exit_depth_soft_20usd,20,recent_7d,30m,200,0.09671052631578947,0.9032894736842105,0.9990360308291719,-0.0616972454204361,-0.061825521333185,0.09044310311764701,0.7105143481098878,3.418253615398523,over_filtering
fee_velocity_rank_top30,20,recent_7d,30m,537,0.3059210526315789,0.694078947368421,0.7106097669063148,-0.255972658396709,-0.31319489078283,0.016122166143334393,0.017492674377919015,-1.2587416902921293,fee_minus_exit_cost_negative
fee_velocity_rank_top50,20,recent_7d,30m,944,0.5263157894736842,0.47368421052631576,0.44180972460256895,-0.236642758681685,-0.306232397833039,-0.049072817200582805,-0.23479053543878303,0.0,fee_minus_exit_cost_negative
fee_depth_balanced_score,20,recent_7d,30m,873,0.4881578947368421,0.5118421052631579,0.47734401022602657,-0.240395706922101,-0.306397046992445,-0.020582928510333803,0.0,-1.14170795538968,fee_minus_exit_cost_negative
fee_depth_tail_guard,20,recent_7d,30m,932,0.4776315789473684,0.5223684210526316,0.6111987281369959,-0.147793902574055,-0.217626628683415,0.016746870917103793,0.08535539110670098,1.7887474324836803,fee_minus_exit_cost_negative
small_cap_10usd_lenient,20,recent_7d,30m,0,0.0,1.0,1.0,,,,,,over_filtering
small_cap_20usd_lenient,20,recent_7d,30m,226,0.10789473684210527,0.8921052631578947,0.9990326237842815,-0.0616968375574069,-0.0618211759196062,0.09036297695924622,0.7125266864049238,3.424620876061015,over_filtering
hybrid_fee_depth_plus_data_freshness,20,recent_7d,30m,54,0.029605263157894735,0.9703947368421053,0.9540806537444779,-0.216228037628217,-0.222721541574161,-0.4284835746099418,0.14934886745874,2.33797441507589,over_filtering
hybrid_fee_depth_plus_regime_soft,20,recent_7d,30m,281,0.15,0.85,0.7878011807680807,-0.191563272744993,-0.217289558802062,-0.1043723943611178,-0.079680536246441,0.7475147751904601,over_filtering
retention_floor_30pct,10,recent_7d,15m,201,0.10025706940874037,0.8997429305912596,0.9990182282725086,-0.030193712391047,-0.0302281455172152,0.013575019858767677,0.4141089027903357,2.7122864879579818,over_filtering
retention_floor_50pct,10,recent_7d,15m,698,0.34897172236503854,0.6510282776349614,0.7142203741909234,-0.0518876765712286,-0.0666464518374691,-0.009123872305482601,0.0,1.16120503506008,fee_minus_exit_cost_negative
