variant_name,window,horizon,capacity_usd,raw_sample_count,valid_sample_count,retained_sample_count,filtered_out_count,invalid_count,opportunity_retention_rate,data_quality_distribution,fee_proxy_coverage,exit_depth_coverage,leakage_risk_distribution
exit_depth_soft_10usd,recent_7d,1h,20,1892,1884,0,1884,8,0.0,"{""invalid"": 8, ""ok"": 1884}",0.9619450317124736,0.9619450317124736,"{""LOW"": 1892}"
exit_depth_soft_10usd,recent_7d,1h,50,1892,1884,0,1884,8,0.0,"{""invalid"": 8, ""ok"": 1884}",0.9619450317124736,0.9619450317124736,"{""LOW"": 1892}"
exit_depth_soft_10usd,recent_7d,2h,10,1892,1877,199,1678,15,0.08714596949891068,"{""invalid"": 15, ""ok"": 1877}",0.9619450317124736,0.9619450317124736,"{""LOW"": 1892}"
exit_depth_soft_10usd,recent_7d,2h,20,1892,1877,0,1877,15,0.0,"{""invalid"": 15, ""ok"": 1877}",0.9619450317124736,0.9619450317124736,"{""LOW"": 1892}"
exit_depth_soft_10usd,recent_7d,2h,50,1892,1877,0,1877,15,0.0,"{""invalid"": 15, ""ok"": 1877}",0.9619450317124736,0.9619450317124736,"{""LOW"": 1892}"
exit_depth_soft_10usd,recent_7d,30m,10,1892,1886,200,1686,6,0.09671052631578947,"{""invalid"": 6, ""ok"": 1886}",0.9619450317124736,0.9619450317124736,"{""LOW"": 1892}"
exit_depth_soft_10usd,recent_7d,30m,20,1892,1886,0,1886,6,0.0,"{""invalid"": 6, ""ok"": 1886}",0.9619450317124736,0.9619450317124736,"{""LOW"": 1892}"
exit_depth_soft_10usd,recent_7d,30m,50,1892,1886,0,1886,6,0.0,"{""invalid"": 6, ""ok"": 1886}",0.9619450317124736,0.9619450317124736,"{""LOW"": 1892}"
exit_depth_soft_20usd,recent_24h,15m,10,320,312,0,312,8,0.0,"{""invalid"": 8, ""ok"": 312}",1.0,1.0,"{""LOW"": 320}"
exit_depth_soft_20usd,recent_24h,15m,20,320,312,0,312,8,0.0,"{""invalid"": 8, ""ok"": 312}",1.0,1.0,"{""LOW"": 320}"
exit_depth_soft_20usd,recent_24h,15m,50,320,312,0,312,8,0.0,"{""invalid"": 8, ""ok"": 312}",1.0,1.0,"{""LOW"": 320}"
exit_depth_soft_20usd,recent_24h,1h,10,320,300,0,300,20,0.0,"{""invalid"": 20, ""ok"": 300}",1.0,1.0,"{""LOW"": 320}"
