pool_address,coverage_arrays,bin_array_pubkey,neighbor_offset,getAccountInfo_success,owner,data_len,rpc_error_type,latency_ms,confidence,invalid_reason
9DiruRpjnAnzhn6ts5HGLouHtJrT1JGsPbXNYCrFz2ad,5,Cw8jbQM1Z6cJ7FdFfciXqXoCj7MCJEo8jXdr7phEUdmi,-2,false,,0,account_null,24,0,getAccountInfo returned null (account doesn't exist)
9DiruRpjnAnzhn6ts5HGLouHtJrT1JGsPbXNYCrFz2ad,5,yhkw7F4xFVLWmF775cfj56gMQhNZchrmdpSBALC6Z5j,-1,true,LBUZKhRxPF3XUpBCjp4YzTKgLccjZhTSDM9YuVaPwxo,10136,ok,38,0.9,
9DiruRpjnAnzhn6ts5HGLouHtJrT1JGsPbXNYCrFz2ad,5,29JynFXae8M6FLSmNPpDbTsEfXhxhxmSCQFGnBnFsU2N,0,true,LBUZKhRxPF3XUpBCjp4YzTKgLccjZhTSDM9YuVaPwxo,10136,ok,81,0.9,
9DiruRpjnAnzhn6ts5HGLouHtJrT1JGsPbXNYCrFz2ad,5,G1BHyB19ozazdUtAdHJbHW8KXoJqsWq4XMiH64WNRHFz,1,true,LBUZKhRxPF3XUpBCjp4YzTKgLccjZhTSDM9YuVaPwxo,10136,ok,233,0.9,
9DiruRpjnAnzhn6ts5HGLouHtJrT1JGsPbXNYCrFz2ad,5,3vRwQLkGVtwEApqwnnAFkZCCefS29tKdcwe53eJG1XQX,2,true,LBUZKhRxPF3XUpBCjp4YzTKgLccjZhTSDM9YuVaPwxo,10136,ok,88,0.9,
9DiruRpjnAnzhn6ts5HGLouHtJrT1JGsPbXNYCrFz2ad,7,D1mEgWupqiEUaM7V3ds4KjNbVRBxsNYoW4kfXfTSCq8q,-3,false,,0,account_null,215,0,getAccountInfo returned null (account doesn't exist)
9DiruRpjnAnzhn6ts5HGLouHtJrT1JGsPbXNYCrFz2ad,7,Cw8jbQM1Z6cJ7FdFfciXqXoCj7MCJEo8jXdr7phEUdmi,-2,false,,0,account_null,69,0,getAccountInfo returned null (account doesn't exist)
9DiruRpjnAnzhn6ts5HGLouHtJrT1JGsPbXNYCrFz2ad,7,yhkw7F4xFVLWmF775cfj56gMQhNZchrmdpSBALC6Z5j,-1,true,LBUZKhRxPF3XUpBCjp4YzTKgLccjZhTSDM9YuVaPwxo,10136,ok,211,0.9,
9DiruRpjnAnzhn6ts5HGLouHtJrT1JGsPbXNYCrFz2ad,7,29JynFXae8M6FLSmNPpDbTsEfXhxhxmSCQFGnBnFsU2N,0,true,LBUZKhRxPF3XUpBCjp4YzTKgLccjZhTSDM9YuVaPwxo,10136,ok,63,0.9,
9DiruRpjnAnzhn6ts5HGLouHtJrT1JGsPbXNYCrFz2ad,7,G1BHyB19ozazdUtAdHJbHW8KXoJqsWq4XMiH64WNRHFz,1,true,LBUZKhRxPF3XUpBCjp4YzTKgLccjZhTSDM9YuVaPwxo,10136,ok,232,0.9,
9DiruRpjnAnzhn6ts5HGLouHtJrT1JGsPbXNYCrFz2ad,7,3vRwQLkGVtwEApqwnnAFkZCCefS29tKdcwe53eJG1XQX,2,true,LBUZKhRxPF3XUpBCjp4YzTKgLccjZhTSDM9YuVaPwxo,10136,ok,88,0.9,
9DiruRpjnAnzhn6ts5HGLouHtJrT1JGsPbXNYCrFz2ad,7,HBGLbQqPEjAwf1nR7CPdLDN65NLkprC4gd6vL8pUvNnA,3,true,LBUZKhRxPF3XUpBCjp4YzTKgLccjZhTSDM9YuVaPwxo,10136,ok,191,0.9,
9DiruRpjnAnzhn6ts5HGLouHtJrT1JGsPbXNYCrFz2ad,9,CrMVgShyF7c4YbFxcx2dQNQ7psR5eKofLtVaUar3XewB,-4,false,,0,account_null,28,0,getAccountInfo returned null (account doesn't exist)
9DiruRpjnAnzhn6ts5HGLouHtJrT1JGsPbXNYCrFz2ad,9,D1mEgWupqiEUaM7V3ds4KjNbVRBxsNYoW4kfXfTSCq8q,-3,false,,0,account_null,34,0,getAccountInfo returned null (account doesn't exist)
9DiruRpjnAnzhn6ts5HGLouHtJrT1JGsPbXNYCrFz2ad,9,Cw8jbQM1Z6cJ7FdFfciXqXoCj7MCJEo8jXdr7phEUdmi,-2,false,,0,account_null,53,0,getAccountInfo returned null (account doesn't exist)
9DiruRpjnAnzhn6ts5HGLouHtJrT1JGsPbXNYCrFz2ad,9,yhkw7F4xFVLWmF775cfj56gMQhNZchrmdpSBALC6Z5j,-1,true,LBUZKhRxPF3XUpBCjp4YzTKgLccjZhTSDM9YuVaPwxo,10136,ok,469,0.9,
9DiruRpjnAnzhn6ts5HGLouHtJrT1JGsPbXNYCrFz2ad,9,29JynFXae8M6FLSmNPpDbTsEfXhxhxmSCQFGnBnFsU2N,0,true,LBUZKhRxPF3XUpBCjp4YzTKgLccjZhTSDM9YuVaPwxo,10136,ok,118,0.9,
9DiruRpjnAnzhn6ts5HGLouHtJrT1JGsPbXNYCrFz2ad,9,G1BHyB19ozazdUtAdHJbHW8KXoJqsWq4XMiH64WNRHFz,1,true,LBUZKhRxPF3XUpBCjp4YzTKgLccjZhTSDM9YuVaPwxo,10136,ok,84,0.9,
9DiruRpjnAnzhn6ts5HGLouHtJrT1JGsPbXNYCrFz2ad,9,3vRwQLkGVtwEApqwnnAFkZCCefS29tKdcwe53eJG1XQX,2,true,LBUZKhRxPF3XUpBCjp4YzTKgLccjZhTSDM9YuVaPwxo,10136,ok,65,0.9,
9DiruRpjnAnzhn6ts5HGLouHtJrT1JGsPbXNYCrFz2ad,9,HBGLbQqPEjAwf1nR7CPdLDN65NLkprC4gd6vL8pUvNnA,3,true,LBUZKhRxPF3XUpBCjp4YzTKgLccjZhTSDM9YuVaPwxo,10136,ok,92,0.9,
9DiruRpjnAnzhn6ts5HGLouHtJrT1JGsPbXNYCrFz2ad,9,63o1oSo3YsznWHKENGyKH9wzc9JS4Q3EDqNrwAi5Qutx,4,true,LBUZKhRxPF3XUpBCjp4YzTKgLccjZhTSDM9YuVaPwxo,10136,ok,232,0.9,
