pool_address,coverage_arrays,bin_array_pubkey,neighbor_offset,getAccountInfo_success,account_null,owner,data_len,rpc_error_type,latency_ms,confidence,invalid_reason
5BKxfWMbmYBAEWvyPZS9esPducUba9GqyMjtLCfbaqyF,15,6eKePPT6Z5HNifUrv1WQ9joJgV33opcpf5NC7Zx5j4f6,3,true,false,LBUZKhRxPF3XUpBCjp4YzTKgLccjZhTSDM9YuVaPwxo,10136,ok,99,0.9,
5BKxfWMbmYBAEWvyPZS9esPducUba9GqyMjtLCfbaqyF,15,6YBVoTvd9AM6PWbqT4EZXcDcDEkDTvHiDMzy44HAnZvc,4,true,false,LBUZKhRxPF3XUpBCjp4YzTKgLccjZhTSDM9YuVaPwxo,10136,ok,681,0.9,
5BKxfWMbmYBAEWvyPZS9esPducUba9GqyMjtLCfbaqyF,15,B1rvUUVQuGgEWDkT7Q1cDZPYkgm1cUtWGuuqMCRKsoLH,5,true,false,LBUZKhRxPF3XUpBCjp4YzTKgLccjZhTSDM9YuVaPwxo,10136,ok,231,0.9,
5BKxfWMbmYBAEWvyPZS9esPducUba9GqyMjtLCfbaqyF,15,FXCqmBgE9nZGn5fw3whDCvPbqek7oqwkqHgCCy7A2P8W,6,true,false,LBUZKhRxPF3XUpBCjp4YzTKgLccjZhTSDM9YuVaPwxo,10136,ok,757,0.9,
5BKxfWMbmYBAEWvyPZS9esPducUba9GqyMjtLCfbaqyF,15,DvkVN8zQX6aE3DpSVQgGMPcAsohUEcAgbxBKahpVnAhp,7,true,false,LBUZKhRxPF3XUpBCjp4YzTKgLccjZhTSDM9YuVaPwxo,10136,ok,70,0.9,
9DiruRpjnAnzhn6ts5HGLouHtJrT1JGsPbXNYCrFz2ad,5,Cw8jbQM1Z6cJ7FdFfciXqXoCj7MCJEo8jXdr7phEUdmi,-2,false,true,,0,account_null,48,0,getAccountInfo returned null (account doesn't exist)
9DiruRpjnAnzhn6ts5HGLouHtJrT1JGsPbXNYCrFz2ad,5,yhkw7F4xFVLWmF775cfj56gMQhNZchrmdpSBALC6Z5j,-1,true,false,LBUZKhRxPF3XUpBCjp4YzTKgLccjZhTSDM9YuVaPwxo,10136,ok,49,0.9,
9DiruRpjnAnzhn6ts5HGLouHtJrT1JGsPbXNYCrFz2ad,5,29JynFXae8M6FLSmNPpDbTsEfXhxhxmSCQFGnBnFsU2N,0,true,false,LBUZKhRxPF3XUpBCjp4YzTKgLccjZhTSDM9YuVaPwxo,10136,ok,65,0.9,
9DiruRpjnAnzhn6ts5HGLouHtJrT1JGsPbXNYCrFz2ad,5,G1BHyB19ozazdUtAdHJbHW8KXoJqsWq4XMiH64WNRHFz,1,true,false,LBUZKhRxPF3XUpBCjp4YzTKgLccjZhTSDM9YuVaPwxo,10136,ok,114,0.9,
9DiruRpjnAnzhn6ts5HGLouHtJrT1JGsPbXNYCrFz2ad,5,3vRwQLkGVtwEApqwnnAFkZCCefS29tKdcwe53eJG1XQX,2,true,false,LBUZKhRxPF3XUpBCjp4YzTKgLccjZhTSDM9YuVaPwxo,10136,ok,173,0.9,
