pool_address,protocol,name,token0_symbol,token1_symbol,fee_tier_bps,tvl_usd,volume_usd_h24,price_change_pct_h24,risk_level,size_usdc,range_label,range_pct,expected_fee_usd_per_day,expected_il_usd_per_day,gas_usd_per_cycle,net_usd_per_day,fee_to_gas_ratio,il_pct_per_day,can_tiny_live
0x4e962bb3889bf030368f56810a9c96b83cb3e778,aerodrome,cbBTC / USDC 0.05%,cbBTC,USDC,5,9171570.3533,117596882.184985,1.024,MEDIUM,10.0,wide_40pct,0.4,0.064109,0.01024,0.3,-0.246131,0.2137,0.001024,False
0x6c561b446416e1a00e8e93e221854d6ea4171372,aerodrome,WETH / USDC 0.3%,WETH,USDC,30,95528681.5918,114023465.272292,0.577,LOW,1.0,narrow_5pct,0.05,0.003581,0.003462,0.3,-0.299881,0.0119,0.003462,True
0x6c561b446416e1a00e8e93e221854d6ea4171372,aerodrome,WETH / USDC 0.3%,WETH,USDC,30,95528681.5918,114023465.272292,0.577,LOW,3.0,narrow_5pct,0.05,0.010742,0.010386,0.3,-0.299644,0.0358,0.003462,True
0x6c561b446416e1a00e8e93e221854d6ea4171372,aerodrome,WETH / USDC 0.3%,WETH,USDC,30,95528681.5918,114023465.272292,0.577,LOW,5.0,narrow_5pct,0.05,0.017904,0.01731,0.3,-0.299406,0.0597,0.003462,True
0x6c561b446416e1a00e8e93e221854d6ea4171372,aerodrome,WETH / USDC 0.3%,WETH,USDC,30,95528681.5918,114023465.272292,0.577,LOW,10.0,narrow_5pct,0.05,0.035808,0.03462,0.3,-0.298812,0.1194,0.003462,True
0x6c561b446416e1a00e8e93e221854d6ea4171372,aerodrome,WETH / USDC 0.3%,WETH,USDC,30,95528681.5918,114023465.272292,0.577,LOW,1.0,medium_15pct,0.15,0.003581,0.001731,0.3,-0.29815,0.0119,0.001731,True
0x6c561b446416e1a00e8e93e221854d6ea4171372,aerodrome,WETH / USDC 0.3%,WETH,USDC,30,95528681.5918,114023465.272292,0.577,LOW,3.0,medium_15pct,0.15,0.010742,0.005193,0.3,-0.294451,0.0358,0.001731,True
0x6c561b446416e1a00e8e93e221854d6ea4171372,aerodrome,WETH / USDC 0.3%,WETH,USDC,30,95528681.5918,114023465.272292,0.577,LOW,5.0,medium_15pct,0.15,0.017904,0.008655,0.3,-0.290751,0.0597,0.001731,True
0x6c561b446416e1a00e8e93e221854d6ea4171372,aerodrome,WETH / USDC 0.3%,WETH,USDC,30,95528681.5918,114023465.272292,0.577,LOW,10.0,medium_15pct,0.15,0.035808,0.01731,0.3,-0.281502,0.1194,0.001731,True
0x6c561b446416e1a00e8e93e221854d6ea4171372,aerodrome,WETH / USDC 0.3%,WETH,USDC,30,95528681.5918,114023465.272292,0.577,LOW,1.0,wide_40pct,0.4,0.003581,0.000577,0.3,-0.296996,0.0119,0.000577,True
0x6c561b446416e1a00e8e93e221854d6ea4171372,aerodrome,WETH / USDC 0.3%,WETH,USDC,30,95528681.5918,114023465.272292,0.577,LOW,3.0,wide_40pct,0.4,0.010742,0.001731,0.3,-0.290989,0.0358,0.000577,True
0x6c561b446416e1a00e8e93e221854d6ea4171372,aerodrome,WETH / USDC 0.3%,WETH,USDC,30,95528681.5918,114023465.272292,0.577,LOW,5.0,wide_40pct,0.4,0.017904,0.002885,0.3,-0.284981,0.0597,0.000577,True
0x6c561b446416e1a00e8e93e221854d6ea4171372,aerodrome,WETH / USDC 0.3%,WETH,USDC,30,95528681.5918,114023465.272292,0.577,LOW,10.0,wide_40pct,0.4,0.035808,0.00577,0.3,-0.269962,0.1194,0.000577,True
0x70acdf2ad0bf2402c957154f944c19ef4e1cbae1,aerodrome,cbBTC / WETH 0.05%,cbBTC,WETH,5,12383995.527,82051631.158721,1.023,MEDIUM,1.0,narrow_5pct,0.05,0.003313,0.006138,0.3,-0.302825,0.011,0.006138,False
0x70acdf2ad0bf2402c957154f944c19ef4e1cbae1,aerodrome,cbBTC / WETH 0.05%,cbBTC,WETH,5,12383995.527,82051631.158721,1.023,MEDIUM,3.0,narrow_5pct,0.05,0.009938,0.018414,0.3,-0.308476,0.0331,0.006138,False
0x70acdf2ad0bf2402c957154f944c19ef4e1cbae1,aerodrome,cbBTC / WETH 0.05%,cbBTC,WETH,5,12383995.527,82051631.158721,1.023,MEDIUM,5.0,narrow_5pct,0.05,0.016564,0.03069,0.3,-0.314126,0.0552,0.006138,False
0x70acdf2ad0bf2402c957154f944c19ef4e1cbae1,aerodrome,cbBTC / WETH 0.05%,cbBTC,WETH,5,12383995.527,82051631.158721,1.023,MEDIUM,10.0,narrow_5pct,0.05,0.033128,0.06138,0.3,-0.328252,0.1104,0.006138,False
0x70acdf2ad0bf2402c957154f944c19ef4e1cbae1,aerodrome,cbBTC / WETH 0.05%,cbBTC,WETH,5,12383995.527,82051631.158721,1.023,MEDIUM,1.0,medium_15pct,0.15,0.003313,0.003069,0.3,-0.299756,0.011,0.003069,False
0x70acdf2ad0bf2402c957154f944c19ef4e1cbae1,aerodrome,cbBTC / WETH 0.05%,cbBTC,WETH,5,12383995.527,82051631.158721,1.023,MEDIUM,3.0,medium_15pct,0.15,0.009938,0.009207,0.3,-0.299269,0.0331,0.003069,False
0x70acdf2ad0bf2402c957154f944c19ef4e1cbae1,aerodrome,cbBTC / WETH 0.05%,cbBTC,WETH,5,12383995.527,82051631.158721,1.023,MEDIUM,5.0,medium_15pct,0.15,0.016564,0.015345,0.3,-0.298781,0.0552,0.003069,False
0x70acdf2ad0bf2402c957154f944c19ef4e1cbae1,aerodrome,cbBTC / WETH 0.05%,cbBTC,WETH,5,12383995.527,82051631.158721,1.023,MEDIUM,10.0,medium_15pct,0.15,0.033128,0.03069,0.3,-0.297562,0.1104,0.003069,False
0x70acdf2ad0bf2402c957154f944c19ef4e1cbae1,aerodrome,cbBTC / WETH 0.05%,cbBTC,WETH,5,12383995.527,82051631.158721,1.023,MEDIUM,1.0,wide_40pct,0.4,0.003313,0.001023,0.3,-0.29771,0.011,0.001023,False
0x70acdf2ad0bf2402c957154f944c19ef4e1cbae1,aerodrome,cbBTC / WETH 0.05%,cbBTC,WETH,5,12383995.527,82051631.158721,1.023,MEDIUM,3.0,wide_40pct,0.4,0.009938,0.003069,0.3,-0.293131,0.0331,0.001023,False
0x70acdf2ad0bf2402c957154f944c19ef4e1cbae1,aerodrome,cbBTC / WETH 0.05%,cbBTC,WETH,5,12383995.527,82051631.158721,1.023,MEDIUM,5.0,wide_40pct,0.4,0.016564,0.005115,0.3,-0.288551,0.0552,0.001023,False
0x70acdf2ad0bf2402c957154f944c19ef4e1cbae1,aerodrome,cbBTC / WETH 0.05%,cbBTC,WETH,5,12383995.527,82051631.158721,1.023,MEDIUM,10.0,wide_40pct,0.4,0.033128,0.01023,0.3,-0.277102,0.1104,0.001023,False
0xc211e1f853a898bd1302385ccde55f33a8c4b3f3,aerodrome,cbBTC / WETH 0.01%,cbBTC,WETH,1,3657760.1852,47946386.5288782,1.046,MEDIUM,1.0,narrow_5pct,0.05,0.001311,0.006276,0.3,-0.304965,0.0044,0.006276,False
0xc211e1f853a898bd1302385ccde55f33a8c4b3f3,aerodrome,cbBTC / WETH 0.01%,cbBTC,WETH,1,3657760.1852,47946386.5288782,1.046,MEDIUM,3.0,narrow_5pct,0.05,0.003932,0.018828,0.3,-0.314896,0.0131,0.006276,False
0xc211e1f853a898bd1302385ccde55f33a8c4b3f3,aerodrome,cbBTC / WETH 0.01%,cbBTC,WETH,1,3657760.1852,47946386.5288782,1.046,MEDIUM,5.0,narrow_5pct,0.05,0.006554,0.03138,0.3,-0.324826,0.0218,0.006276,False
0xc211e1f853a898bd1302385ccde55f33a8c4b3f3,aerodrome,cbBTC / WETH 0.01%,cbBTC,WETH,1,3657760.1852,47946386.5288782,1.046,MEDIUM,10.0,narrow_5pct,0.05,0.013108,0.06276,0.3,-0.349652,0.0437,0.006276,False
0xc211e1f853a898bd1302385ccde55f33a8c4b3f3,aerodrome,cbBTC / WETH 0.01%,cbBTC,WETH,1,3657760.1852,47946386.5288782,1.046,MEDIUM,1.0,medium_15pct,0.15,0.001311,0.003138,0.3,-0.301827,0.0044,0.003138,False
0xc211e1f853a898bd1302385ccde55f33a8c4b3f3,aerodrome,cbBTC / WETH 0.01%,cbBTC,WETH,1,3657760.1852,47946386.5288782,1.046,MEDIUM,3.0,medium_15pct,0.15,0.003932,0.009414,0.3,-0.305482,0.0131,0.003138,False
0xc211e1f853a898bd1302385ccde55f33a8c4b3f3,aerodrome,cbBTC / WETH 0.01%,cbBTC,WETH,1,3657760.1852,47946386.5288782,1.046,MEDIUM,5.0,medium_15pct,0.15,0.006554,0.01569,0.3,-0.309136,0.0218,0.003138,False
