pool_id,window,block_number,tx_hash,log_index,sender,recipient,amount0,amount1,tick
0xf2688Fb5B81049DFB7703aDa5e770543770612C4,24h,101816684,0x35cf027bb33a7d976d8481c604a586255eaabae99bfdbec19b46dce614b2ed3c,25,0x93c30e6e09f698cfea99b09b5166ed90cfaedd17,0x76801132a22801640284cd67f7dd41fed2926b6a,-6428993949870779161493,9350362134776418304,-65335
0xf2688Fb5B81049DFB7703aDa5e770543770612C4,24h,101816684,0x5dbea677f4adce1adda92a0c53a67228b89b509d6141d13dd1679ce6bb0d9032,118,0x1de460f363af910f51726def188f9004276bf4bc,0x1de460f363af910f51726def188f9004276bf4bc,-30216446117321994628,43951565375740271,-65335
0xf2688Fb5B81049DFB7703aDa5e770543770612C4,24h,101816684,0x37f1c759bb1f05680217ce8db191c7c03de7faaece93d8694b84c6803cd5448c,210,0xc2eff1f1ce35d395408a34ad881dbcd978f40b89,0xc2eff1f1ce35d395408a34ad881dbcd978f40b89,39694554000000000000,-57726464586839285,-65335
0xf2688Fb5B81049DFB7703aDa5e770543770612C4,24h,101816685,0x87e6620b09bb7a8ece2fb3e19423c7d0c15f2610fbe9a81bf5c53fc8f9692ebb,47,0x93c30e6e09f698cfea99b09b5166ed90cfaedd17,0x76801132a22801640284cd67f7dd41fed2926b6a,-991838919332175751863,1442709054683366144,-65335
0xf2688Fb5B81049DFB7703aDa5e770543770612C4,24h,101816685,0xa12563b8d8e92e65d93412f4a563d6d607bc3b06e46b8c5311a16d33d3fd747b,73,0xb5cb0550811d3ded8203b64a51b8c6781644df4e,0xb5cb0550811d3ded8203b64a51b8c6781644df4e,8107522710647567961170,-11789319822202673016,-65338
0xf2688Fb5B81049DFB7703aDa5e770543770612C4,24h,101816685,0x26f0add627c47d134b40c2c7bbd671db72eafe354106fc92a76da70f6727a69e,112,0xc47226a2870300739065a025bbf216a59c984e70,0xc47226a2870300739065a025bbf216a59c984e70,-1770887900101819442012,2575335587410277857,-65337
0xf2688Fb5B81049DFB7703aDa5e770543770612C4,24h,101816686,0xc36d073a7dd8585cb5e5479b2dfee59d1ae1c68030de2b46a88874416a6b70da,2,0x93c30e6e09f698cfea99b09b5166ed90cfaedd17,0x76801132a22801640284cd67f7dd41fed2926b6a,-6441022959256538428779,9368186227974256640,-65335
0xf2688Fb5B81049DFB7703aDa5e770543770612C4,24h,101816686,0xd6685b1d674b3b6f0bc4a24bf969f71c8172be20c1336aaa57ed1360b5c4d36a,20,0x9999b0cdd35d7f3b281ba02efc0d228486940515,0x9999b0cdd35d7f3b281ba02efc0d228486940515,19138676825007884,-27833712427010,-65335
0xf2688Fb5B81049DFB7703aDa5e770543770612C4,24h,101816686,0x6f0c3982200c410950ace88242ebd548d03895c654de8de24458a01397137d2b,39,0x9999b0cdd35d7f3b281ba02efc0d228486940515,0x9999b0cdd35d7f3b281ba02efc0d228486940515,76466819416148724,-111207032648787,-65335
0xf2688Fb5B81049DFB7703aDa5e770543770612C4,24h,101816687,0x4a88af6860f4176a7d8d00a27ec0ba9ab8f1d65111094de8abadb131afecf5c1,20,0xb5cb0550811d3ded8203b64a51b8c6781644df4e,0xb5cb0550811d3ded8203b64a51b8c6781644df4e,7144296229540376804435,-10388869793527244239,-65337
0xf2688Fb5B81049DFB7703aDa5e770543770612C4,24h,101816687,0x775fadfd3760b59cc045d7af22b2e707b7b44f0c46e91932f31a29100b9a0fa7,65,0x93c30e6e09f698cfea99b09b5166ed90cfaedd17,0x76801132a22801640284cd67f7dd41fed2926b6a,-813193348588894596293,1182619099053667584,-65337
0xf2688Fb5B81049DFB7703aDa5e770543770612C4,24h,101816687,0x06615cc7b69ee9a0f512cb66b1b3b78268768d02834189898e5dc8a59c133110,100,0xa152fd89f3708f7d2fad29ea53673219aaa7e7da,0xa152fd89f3708f7d2fad29ea53673219aaa7e7da,-947325362312892367542,1377725351572016994,-65337
0xf2688Fb5B81049DFB7703aDa5e770543770612C4,24h,101816687,0x135f574859e1a5fcb7a2fcd394db03c6f506892a547ee3df85b40f6e4b568b69,361,0xb5cb0550811d3ded8203b64a51b8c6781644df4e,0xb5cb0550811d3ded8203b64a51b8c6781644df4e,496813406134901591711,-722392295925990923,-65337
0xf2688Fb5B81049DFB7703aDa5e770543770612C4,24h,101816687,0x1cd212ea30cef7d5525acb44314ca94358420b3b96ff08c6d9ea99196d7a0caa,366,0xf20aa5e9d428432b49b4cc857be6feccef0b65bd,0x4141325bac36affe9db165e854982230a14e6d48,8848425434167157964,-12865960960999312,-65337
0xf2688Fb5B81049DFB7703aDa5e770543770612C4,24h,101816688,0x6f491b1639d7af116aae8c44a8c828358cdb39f93138eed38574b5965940afb9,6,0xbce729580490534fdaa5a4306c49c019418e2823,0xbce729580490534fdaa5a4306c49c019418e2823,-3752462316868015394452,5457651954271333826,-65336
0xf2688Fb5B81049DFB7703aDa5e770543770612C4,24h,101816689,0x2b4151f05b78ac7a8bececcbcee9caf44d02db8bee731c8bb558b21afb2be38b,12,0xb5cb0550811d3ded8203b64a51b8c6781644df4e,0xb5cb0550811d3ded8203b64a51b8c6781644df4e,1954807820302192642295,-2842623744021828154,-65336
0xf2688Fb5B81049DFB7703aDa5e770543770612C4,24h,101816689,0x2b4151f05b78ac7a8bececcbcee9caf44d02db8bee731c8bb558b21afb2be38b,19,0xb5cb0550811d3ded8203b64a51b8c6781644df4e,0xb5cb0550811d3ded8203b64a51b8c6781644df4e,2908447114229003633050,-4229043879284647185,-65337
0xf2688Fb5B81049DFB7703aDa5e770543770612C4,24h,101816689,0xa64fc7ddf6e063fc76114a3d0befd665df0d7c65af3b7cdc9a04af9b5cf216cc,36,0x9999b0cdd35d7f3b281ba02efc0d228486940515,0x9999b0cdd35d7f3b281ba02efc0d228486940515,-745841962420787775277,1084674546896151050,-65337
0xf2688Fb5B81049DFB7703aDa5e770543770612C4,24h,101816689,0xa64fc7ddf6e063fc76114a3d0befd665df0d7c65af3b7cdc9a04af9b5cf216cc,45,0x9999b0cdd35d7f3b281ba02efc0d228486940515,0x9999b0cdd35d7f3b281ba02efc0d228486940515,48156911312595467,-70021217098102,-65337
0xf2688Fb5B81049DFB7703aDa5e770543770612C4,24h,101816689,0x4389009e1ac63fb012c860a105935704f23354c293431a9278e5c2243b563d8b,56,0x9999b0cdd35d7f3b281ba02efc0d228486940515,0x9999b0cdd35d7f3b281ba02efc0d228486940515,7975464760676188,-11596502635553,-65337
0xf2688Fb5B81049DFB7703aDa5e770543770612C4,24h,101816689,0xb909c624ad21d8ea19aa4bae87bcd3545f07eb6af90f4b084248b38ef535ce1b,178,0xb5cb0550811d3ded8203b64a51b8c6781644df4e,0xb5cb0550811d3ded8203b64a51b8c6781644df4e,546982726595276972213,-795317952109307273,-65337
0xf2688Fb5B81049DFB7703aDa5e770543770612C4,24h,101816689,0x67e29647d5d412bddf792604f370ff1ed9eaf8d6c776d5c82d943b5fe571cc94,603,0x733ce7beed75a8c98268be0b05ec0e11359b5d38,0x733ce7beed75a8c98268be0b05ec0e11359b5d38,-5838850698707885450002,8492170904744911528,-65335
0xf2688Fb5B81049DFB7703aDa5e770543770612C4,24h,101816690,0x056ce74421312cc8baef5208a0445ede56feb57c2d31dced3f14dfbcc7a7f84e,78,0x1de460f363af910f51726def188f9004276bf4bc,0x1de460f363af910f51726def188f9004276bf4bc,-14963809476988164438,21765808610619439,-65335
0xf2688Fb5B81049DFB7703aDa5e770543770612C4,24h,101816691,0xe23fbe698b7416d17f9ea4b29b6f13881b1940772c2b2493c012f7ff27f1afb7,44,0x93c30e6e09f698cfea99b09b5166ed90cfaedd17,0x76801132a22801640284cd67f7dd41fed2926b6a,-2073568663825773587385,3016239244197945856,-65335
0xf2688Fb5B81049DFB7703aDa5e770543770612C4,24h,101816694,0x23e29533707c29baffc70382374889467af00a65267d4e7c5f5a4c9f422abde6,20,0x1de460f363af910f51726def188f9004276bf4bc,0x1de460f363af910f51726def188f9004276bf4bc,-878681514371424093,1278184317605299,-65335
