run_id,pool_id,token_pair,virtual_notional_usd,horizon,fee_case,previous_positive_proxy,net_ev_proxy_usd,confidence,actual_fee_available,future_probe_only,created_at
20260601_145519,0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,WETH/USDC,1000.0,2h,pool_level_fee_fallback,0,-5.704066887617033,low,False,True,1780325777
20260601_145519,0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,WETH/USDC,1000.0,2h,simulated_fee_diagnostic,0,-5.704066887617033,low,False,True,1780325777
20260601_145519,0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,WETH/USDC,2000.0,15m,pool_level_fee_fallback,0,-19.11694876710431,low,False,True,1780325777
20260601_145519,0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,WETH/USDC,2000.0,15m,simulated_fee_diagnostic,0,-19.11694876710431,low,False,True,1780325777
20260601_145519,0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,WETH/USDC,2000.0,30m,pool_level_fee_fallback,0,-19.628599211428238,low,False,True,1780325777
20260601_145519,0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,WETH/USDC,2000.0,30m,simulated_fee_diagnostic,0,-19.628599211428238,low,False,True,1780325777
20260601_145519,0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,WETH/USDC,2000.0,1h,pool_level_fee_fallback,0,-20.395768586221784,low,False,True,1780325777
20260601_145519,0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,WETH/USDC,2000.0,1h,simulated_fee_diagnostic,0,-20.395768586221784,low,False,True,1780325777
20260601_145519,0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,WETH/USDC,2000.0,2h,pool_level_fee_fallback,0,-21.56788267516496,low,False,True,1780325777
20260601_145519,0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,WETH/USDC,2000.0,2h,simulated_fee_diagnostic,0,-21.56788267516496,low,False,True,1780325777
20260601_145519,0xc211e1f853a898bd1302385ccde55f33a8c4b3f3,cbBTC/WETH,20.0,15m,pool_level_fee_fallback,0,-20.614979830369013,medium,False,True,1780325777
20260601_145519,0xc211e1f853a898bd1302385ccde55f33a8c4b3f3,cbBTC/WETH,20.0,15m,simulated_fee_diagnostic,0,-20.614979830369013,medium,False,True,1780325777
20260601_145519,0xc211e1f853a898bd1302385ccde55f33a8c4b3f3,cbBTC/WETH,20.0,30m,pool_level_fee_fallback,0,-20.62047550520807,medium,False,True,1780325777
20260601_145519,0xc211e1f853a898bd1302385ccde55f33a8c4b3f3,cbBTC/WETH,20.0,30m,simulated_fee_diagnostic,0,-20.62047550520807,medium,False,True,1780325777
20260601_145519,0xc211e1f853a898bd1302385ccde55f33a8c4b3f3,cbBTC/WETH,20.0,1h,pool_level_fee_fallback,0,-20.62872192918306,medium,False,True,1780325777
20260601_145519,0xc211e1f853a898bd1302385ccde55f33a8c4b3f3,cbBTC/WETH,20.0,1h,simulated_fee_diagnostic,0,-20.62872192918306,medium,False,True,1780325777
20260601_145519,0xc211e1f853a898bd1302385ccde55f33a8c4b3f3,cbBTC/WETH,20.0,2h,pool_level_fee_fallback,0,-20.64133286597597,medium,False,True,1780325777
20260601_145519,0xc211e1f853a898bd1302385ccde55f33a8c4b3f3,cbBTC/WETH,20.0,2h,simulated_fee_diagnostic,0,-20.64133286597597,medium,False,True,1780325777
20260601_145519,0xc211e1f853a898bd1302385ccde55f33a8c4b3f3,cbBTC/WETH,100.0,15m,pool_level_fee_fallback,0,-100.73119725029582,medium,False,True,1780325777
20260601_145519,0xc211e1f853a898bd1302385ccde55f33a8c4b3f3,cbBTC/WETH,100.0,15m,simulated_fee_diagnostic,0,-100.73119725029582,medium,False,True,1780325777
