?column?
24h,24485,16295,8190,8190,1875,0.118443,0.007121,0.000441,0.000193,better,3.591802,0.093351
6h,26275,9761,16514,16514,3436,0.110705,0.003071,0.000458,0.000078,better,0.233600,0.028041
horizon,raw_count,excluded_count,clean_count,selected_clean_count,top20_clean_count,median_net_pnl_pct,p10_net_pnl_pct,p5_net_pnl_pct,p1_net_pnl_pct,pct_signal,top20_p10,bottom20_p10
(3 rows)
